ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
3033	SCARED	Emotions and values	Property of being scared of something or someone, having an uncontrollable emotion of anxiety.	Property	
3034	GREEN COCONUT	Agriculture and vegetation	A green (i.e., not mature) oval nut with a fibrous husk of the cocos palm, used as source of coconut water.	Person/Thing	
3035	RIPE COCONUT	Agriculture and vegetation	A ripe (i.e., mature) oval nut with a fibrous husk of the cocos palm, used as source of coconut meat.	Person/Thing	
3036	TREETOP	Agriculture and vegetation	The uppermost part of a tree; crown.	Person/Thing	
3037	SAME-SEX OLDER SIBLING	Kinship	A person of the same sex who is born before another person who has the same parents.	Person/Thing	
3038	SAME-SEX YOUNGER SIBLING	Kinship	A person of the same sex who is born after another person who has the same parents.	Person/Thing	
3039	DIFFERENT-SEX OLDER SIBLING	Kinship	A person of the different sex who is born before another person who has the same parents.	Person/Thing	
3040	DIFFERENT-SEX YOUNGER SIBLING	Kinship	A person of the different sex who is born after another person who has the same parents.	Person/Thing	
3041	PATERNAL AUNT (FATHER'S OLDER SISTER)	Kinship	The older sister of one's father.	Person/Thing	
3042	MATERNAL AUNT (MOTHER'S OLDER SISTER)	Kinship	The older sister of one's mother.	Person/Thing	
3043	MATERNAL AUNT (MOTHER'S YOUNGER SISTER)	Kinship	The younger sister of one's mother.	Person/Thing	
3044	BOVINE	Animals	Member of the Bovinae subfamily, mostly pointing to bulls, cows and oxes.	Person/Thing	
3045	COPPER (COLOR)	Sense perception	Having a red to yellow metallic color that resembles the metal copper.	Property	
3046	FODDER	Food and drink	Feed for livestock, especially chopped hay or straw.	Person/Thing	
3047	HOT SEASON	Time	Period of the year associated with hot or warm weather.	Person/Thing	
3048	MOUTH HARP	Modern world	Lamellophone instrument consisting of a tongue or reed attached to a frame, placed in the performer's mouth and plucked; Jew's harp, jaw harp.	Person/Thing	
3049	COURAGE	Emotions and values	A state or quality of mind that enables to face danger and fear; bravery.	Property	
3050	SEEDLING	Agriculture and vegetation	A young plant produced from a seed.	Person/Thing	
3051	REED PIPE	Modern world	Organ pipe that is sounded by a vibrating a metal tongue which rests agains a tunnel.	Person/Thing	
3052	ERHU	Modern world	A two-stringed fiddle common in Eastern Asia; Chinese violin, Chinese two-stringed fiddle.	Person/Thing	
3053	TIGHT	Basic actions and technology	Being not loose.	Property	
3054	BEAR FRUIT	Agriculture and vegetation	To produce or yield fruits.	Action/Process	
3055	SWINDLE	Law	To deceive or deprive by trickery and fraud; to cheat.	Action/Process	
3056	ANIMAL (CLASSIFIER)	Quantity	Classifier for animals.	Classifier	
3057	FLAIL	Basic actions and technology	A manual device used for beating or striking with, consisting of a free-swinging stick attached to a handle.	Person/Thing	
3058	GRAZE	Animals	To feed on grasses and herbage in a field or on pastureland.	Action/Process	
3059	MALARIA	The body	Infectious disease characterized by chills, fevers, and sweating, caused by a protozoan of the genus Plasmodium and transmitted by infected Anopheles mosquitos.	Person/Thing	
3060	PHEASANT	Animals	Bird of the family Phasianidae.	Person/Thing	
3061	PHLEGM	The body	Mucus secreted by the respiratory tract, particularly during respiratory infections, usually thick and sticky.	Person/Thing	
3062	TURNIP	Agriculture and vegetation	A cultivated Eurasian plant, Brassica rapa, of the mustard family, whose whitish root and leaves are edible.	Person/Thing	
3063	RAMIE	Agriculture and vegetation	A perennial shrub native to Eastern Asia, with broad leaves and clusters of greenish flowers.	Person/Thing	
3064	RUST	Basic actions and technology	Any of various metallic coatings formed by corrosion, especially after oxidation in presence of water.	Person/Thing	
3065	SADDLE	Basic actions and technology	A seat for an animal (especially horse) rider, secured by a girth.	Person/Thing	
3066	SCARF OR TURBAN	Clothing and grooming	A garnment, usually consisting of a long piece of cloth, wound around the head or neck or shoulders.	Person/Thing	
3067	CLEAVER	Food and drink	A knife with a large and square blade used for cutting and mincing meat, especially by butchers.	Person/Thing	
3068	COOL DOWN	The physical world	To cause a decrease in temperature of an object or space; to cause something to become cold.	Action/Process	
3069	FALSE	Emotions and values	Not concurring with a given set of facts; fake; unreal.	Property	
3070	HOLD A MEETING	Social and political relations	To assemble and conduct a gathering of people; to convene.	Action/Process	
3071	INSERT	Motion	To cause something to go into; to infix; to introduce.	Action/Process	
3072	MISPLACE	Basic actions and technology	To place something in a place where one cannot find it again or in a wrong place; to lose something.	Action/Process	
3073	MANAGE	Basic actions and technology	To watch and direct someone and/or some activity; to be in charge.	Action/Process	
3074	FIX	Basic actions and technology	To restore something by replacing a broken part or putting together what is broken; to patch; to restore; to mend.	Action/Process	
3075	SLANTED	Spatial relations	Being positioned not straight vertically or horizontally.	Property	
3076	SLOPE	The physical world	A stretch of ground forming a geological incline, e.g. a hillside.	Person/Thing	
3077	SWALLOW (BIRD)	Animals	Any of the various passerine birds of the family Hirundinidae; martin.	Person/Thing	
3078	IRRIGATE	Agriculture and vegetation	To supply with water; to water.	Action/Process	
3079	HIGHLAND BARLEY	Agriculture and vegetation	A subpecies of the cereal of the genus Hordeum, typically cultivated in the Himalaya region.	Person/Thing	
3080	SPLIT OPEN	Basic actions and technology	To open something with a cut or incision, revealing its inside.	Action/Process	
3081	CROPS	Agriculture and vegetation	The output of plants cultivated that is grown on a large scale.	Person/Thing	
3082	MINCE (SOMETHING)	Basic actions and technology	To cut something, especially food, into small pieces.	Action/Process	
3083	BALLOON	Modern world	A small, elastic hollow body used for decoration and as toy.	Person/Thing	
3084	BLACKBOARD	The house	Reusable surface for writing or drawing.	Person/Thing	
3085	CARROT	Agriculture and vegetation	Domesticated root vegetable usually orange or red in colour.	Person/Thing	
3086	COMPUTER	Modern world	A device for automatically performing sets of logical or arithmetical instructions.	Person/Thing	
3087	PACIFIER	Clothing and grooming	An artificial teat made of rubber, plastic, or silicone put into an infant's mouth to calm it.	Person/Thing	
3088	ENVELOPE	Basic actions and technology	An item to commonly used to package or wrap letters.	Person/Thing	
3089	GIRAFFE	Animals	A quadruped animal native to Africa, remarkable for the length of its legs and neck.	Person/Thing	
3090	GUITAR	Speech and language	Musical instrument with usally six strings.	Person/Thing	
3091	LEMON	Agriculture and vegetation	Fruit with yellow rind and acidic/sour juice.	Person/Thing	
3092	LIGHTER	Basic actions and technology	Portable instrument for igniting something.	Person/Thing	
3093	LIPSTICK	Clothing and grooming	Stick containing wax, oil, or pigments used to apply colour to one's lips.	Person/Thing	
3094	PAINTBRUSH	Basic actions and technology	Brush used to spread pigments of colour on a surface.	Person/Thing	
3095	POSTMAN	Modern world	Person who transports and delivers items sent with a postal service.	Person/Thing	
3096	RACKET	Modern world	Tool used for hitting a ball in tennis-like games.	Person/Thing	
3097	SEWING MACHINE	Modern world	A machine that partially automates the process of sewing, i.e. uniting pieces of material by using a needle and a thread.	Person/Thing	
3098	SNOWMAN	Basic actions and technology	A mass of snow sculptured into the shape of a human.	Person/Thing	
3099	SOFA	The house	Piece of furniture usually stuffed and used for seating two or more persons.	Person/Thing	
3100	SUNGLASSES	Clothing and grooming	Form of glasses with tinted lenses to protect one's eyes from sunlight.	Person/Thing	
3101	SWING	Basic actions and technology	Tool used for play with a seat hanging from ropes.	Person/Thing	
3102	TANK	Warfare and hunting	Armoured vehicle used by the military.	Person/Thing	
3103	TENNIS BALL	Modern world	Yellow, spherical object used for playing the game of tennis.	Person/Thing	
3104	THERMOMETER	Basic actions and technology	Instrument used for measuring temperature, mostly by means of a contracting or expanding substanced contained within the instrument.	Person/Thing	
3105	UMBRELLA	Clothing and grooming	Portable folding canopy used for protection against weather influences.	Person/Thing	
3106	WARDROBE	The house	Large object, often made out of wood, used for storing clothes or other fabrics.	Person/Thing	
3107	WHISTLE (INSTRUMENT)	Basic actions and technology	Wind instrument most often made out of metal or wood used for producing a loud, shrill tone.	Person/Thing	
3108	BOX (SOMEBODY OR SOMETHING)	Basic actions and technology	The act of using fists to fight or hit.	Action/Process	
3109	BRUSH (TEETH)	Clothing and grooming	Clean one's teeth by repeatedly grating over them with an object.	Action/Process	
3110	CLAP	Motion	Make noise by putting one's hand together.	Action/Process	
3111	CONDUCT	Speech and language	To lead some kind of musical performance.	Action/Process	
3112	ERUPT	The physical world	Burst of matter from a volcano.	Action/Process	
3113	FILE (SOMETHING)	Clothing and grooming	Make something smooth, often nails or other parts of the body.	Action/Process	
3114	GRATE (SOMETHING)	Basic actions and technology	To abrade an object by rubbing it against a rough surface.	Action/Process	
3115	HAMMER (SOMETHING)	Basic actions and technology	Strike or beat something with a hammer.	Action/Process	
3116	HATCH (OUT)	Animals	Emergence from an egg.	Action/Process	
3117	HITCHHIKE	Motion	Travel by means of lifts in vehicles.	Action/Process	
3118	IRON (CLOTHES)	Clothing and grooming	To make clothes smooth by brushing over them with a heated tool.	Action/Process	
3119	MASSAGE (SOMEBODY)	Basic actions and technology	To rub someone's body with the hands.	Action/Process	
3120	MOP (SOMETHING)	Basic actions and technology	To clean or wipe up by using cloth or a mop.	Action/Process	
3121	OPERATE (MEDICINE)	The body	Perform a medical procedure by cutting or making incisions.	Action/Process	
3122	PAINT (SOMETHING)	Basic actions and technology	The act of spreading coloured pigments on a surface.	Action/Process	
3123	PHOTOGRAPH (SOMETHING)	Modern world	Use a light-sensitive device to take an image of something.	Action/Process	
3124	PLAY (INSTRUMENT)	Speech and language	Execute coordinated movements on or with a musical instrument to produce sounds.	Action/Process	
3125	PLAY (GAME)	Social and political relations	Act within the frame and rules of a game.	Action/Process	
3126	POST (SOMETHING)	Basic actions and technology	To send something by means of a postal service.	Action/Process	
3127	RAKE (SOMETHING)	Basic actions and technology	The act of moving a tool over a surface in order to level or clean it.	Action/Process	
3128	SHOWER (ACTION)	Clothing and grooming	Douse oneself in a stream of water in order to clean oneself.	Action/Process	
3129	SKATE	Motion	Move swiftly over a smooth or slippery surface.	Action/Process	
3130	SPILL (SOMETHING)	Motion	Cause liquids to flow over the edge or out of a container.	Action/Process	
3131	SUNBATHE	The body	Sit or lie in the sun in order to tan the skin.	Action/Process	
3132	SURF	Motion	Ride on waves by using a flat object.	Action/Process	
3133	TALK (PHONE)	Speech and language	To communicate by means of a telephone.	Action/Process	
3134	TYPE (ON SOMETHING)	Modern world	Using keys of a computer or typewriter.	Action/Process	
3135	VACUUM (SOMETHING)	Modern world	Clean something by using a vacuum cleaner.	Action/Process	
3136	WATCH (TV)	Modern world	The act of watching television.	Action/Process	
3137	OAR	Basic actions and technology	A pole with a blade at one end, used to row or steer a boat.	Person/Thing	
3138	STRAWBERRY	Agriculture and vegetation	Soft, red fruit with yellow seeds on its surface.	Person/Thing	
3139	LADYBUG	Animals	Flying insect of the Coleoptera order.	Person/Thing	
3140	VEST	Clothing and grooming	A piece of clothing for the upper body without sleeves and usually worn together with a shirt.	Person/Thing	
3141	TAMBOURINE	Speech and language	Musical instrument with round, wooden frame and covered by skin, plastic, etc. with metal discs around the frame.	Person/Thing	
3142	BISON	Animals	Large horned wild animal of the Bovidae family. Related to buffalo but differs, for example, in horn shape and form.	Person/Thing	
3143	POLAR BEAR	Animals	White bear living in the northern pole regions.	Person/Thing	
3144	GORILLA	Animals	Large, African ape covered in dark hair.	Person/Thing	
3145	HIPPOPOTAMUS	Animals	Heavy, African animal living in rivers and lakes.	Person/Thing	
3146	CHEETAH	Animals	Wild Animal of the cat family with characteristic dark spots.	Person/Thing	
3147	HAMSTER	Animals	Mouse-sized animal with large cheeks for storing food, often kept as a pet.	Person/Thing	
3148	MEERKAT	Animals	Southern African animal known for its long tail and often seen standing up on its back legs.	Person/Thing	
3149	ARMLET	Clothing and grooming	A band or bracelet worn round the upper part of a person's arm.	Person/Thing	
3150	BOX OR CHEST	Modern world	Either a generic manmade object with space in it that is used to keep and store many various different objects, or a strong box with a lid on top.	Property	
3151	CUT (WITH AXE)	Basic actions and technology	To chop with an axe, e.g. wood in order to use it as firewood.	Person/Thing	
3152	MUNTJACS	Animals	Also known as barking deer, a kind of small deer of the genus Muntiacus.	Person/Thing	
3153	LORD	Social and political relations	A man of noble rank or high office; a nobleman.	Person/Thing	
3154	WILD BOAR	Animals	Also known as wild pig, an undomestic four-legged animal (Sus scrofa) living in the wild.	Person/Thing	
3155	DIBBLE STICK	Agriculture and vegetation	A piece of wood with a point used for making holes in the ground for seeds, seedlings or small bulbs.	Person/Thing	
3156	GEBANG PALM	Agriculture and vegetation	Tree of the Corypha Utan species.	Person/Thing	
3157	CIVET	Animals	A carnivorous mammal of the Viverridae family, found across South East Asia.	Person/Thing	
3158	RICE EAR BUG	Animals	An insect of the species Leptocorisa oratoria, which gives of an unpleasant smell when disturbed and feeds on rice plants, destroying the crops.	Person/Thing	
3159	BURDEN STICK	Basic actions and technology	A long piece of wood used to carry a burden.	Person/Thing	
3160	SLAP	Basic actions and technology	Hit with the open palm of the hand	Action/Process	
3161	CHEW BETEL	Food and drink	To consume a mixture of areca nut and betel leaf.	Action/Process	
3162	CROSS-COUSIN	Kinship	The child of a parent’s opposite-sex sibling, for example the father’s sister’s son.	Person/Thing	
3163	SQUAT	Motion	Have bent knees with the body weight is on the feet.	Action/Process	296
3164	ONE HUNDRED AND TWENTY THREE	Quantity	The natural number one hundred and twenty-three (123).	Number	
3165	TWENTY THREE	Quantity	The natural number twenty-three (23).	Number	
3166	TWENTY TWO	Quantity	The natural number twenty-two (22).	Number	
3167	SERMON	Religion and belief	A religious lecture or speech, addressing issues of religion or morality.	Person/Thing	
3168	DOWRY	Social and political relations	Property, gifts or money transfered from the parents of a daughter to her new family at marriage.	Person/Thing	
3169	TREATY	Social and political relations	Formal agreement between nations, states or other international bodies.	Person/Thing	
3170	BATHE (SOMEONE)	The body	Clean someone else with water.	Action/Process	
3171	RINGWORM	The body	Dermatophytosis, fungal skin infection making round patches on the skin.	Person/Thing	
3172	SCABIES	The body	A contagious skin rash caused by the mite Sarcoptes scabiei.	Person/Thing	
3173	TINEA	The body	Dermatophytosis, fungal skin infection making white spots/non-symmetrical white patches on the skin.	Person/Thing	3171
3174	WAKE UP (SOMEONE)	The body	Rouse from sleep.	Action/Process	
3176	RACK (FOR STORING FOOD)	The house	Bamboo shelves in the kitchen to store food and utensils.	Person/Thing	
3177	BALE-BALE (RAISED PLATFORM IN HOUSE)	The house	An elevated wooden or bamboo platform on which people can sit, squat or sleep.	Person/Thing	
3178	RITUAL GROUND	The house	An uncovered open area used for ritual activities and public meetings.	Person/Thing	
3179	CORAL ROCK	The physical world	Limestone created from the skeleton of reef-forming stony corals (Scleractinia), displaying their growth patterns.	Person/Thing	
3180	SHOOT (WITH SLINGSHOT)	Warfare and hunting	Use a rubber-based projectile weapon to propel projectiles against a target.	Action/Process	
3181	MUSTARD	Food and drink	It can be a yellow sauce with a strong taste or a plant which is used to make mustard sauce.	Person/Thing	
3182	MARRIAGE OR WEDDING	Kinship	The ceremony of marrying someone or the state of being married.	Person/Thing	
3183	BREATH OR BREATHE	The body	The air that goes into one's lungs or the act of breathing	Other	
3184	BE ALIVE OR LIFE	The body	The act of being alive or the life itself.	Other	
3185	BE DEAD OR DIE OR KILL	The body	To be not alive or to cease to live or to cause the end of a life.	Other	
3186	BE DEAD OR DEATH OR DIE	The body	To be not alive or the end of a life or to cease to live.	Other	
3187	DROWNED	The body	To have perished by suffocation in water.	Property	
3188	MIGHTY OR POWERFUL OR STRONG	Emotions and values	Holding much (political, social, ...) power or being done using a huge amount of energy or having great physical strength.	Property	
3189	STAB TO DEATH	The body	To kill by stabbing with a knife.	Action/Process	
3190	BROKEN (NOT WORKING)	Basic actions and technology	Not capable of working.	Property	
3191	BROKEN (SHATTERED)	Basic actions and technology	Broken into pieces.	Property	
3192	BRONZE OR COPPER	The physical world	Chemical element with symbol Cu and atomic number 29 or an alloy made from it.	Person/Thing	
3193	CROSSBOW	Warfare and hunting	A weapon based on the bow, consisting of a bow mounted on a stock.	Person/Thing	
3194	PAINT (SOMETHING) OR PAINTING	Basic actions and technology	To apply color to a wall or to make a painting or drawing.	Action/Process	
3195	DAMAGE OR INJURE	Possession	To put a thing in bad condition by causing damage to it or to cause physical harm to a living creature.	Action/Process	
3196	BE LEFT	Spatial relations	To remain in the same place after others have left or been removed.	Property	
3197	SUSPICION	Cognition	An assumption without direct evidence.	Person/Thing	
3198	NOTHING OR ZERO	Miscellaneous function words	Not anything or the cardinal number that denotes no quantity or amount at all.	Number	
3199	TWIST (AROUND)	Motion	To wind something around something else.	Action/Process	
3200	COUNTRYSIDE	The physical world	The region outside of a city or town.	Person/Thing	
3201	HINDER OR PREVENT	Social and political relations	To make it difficult for something to occur or to fully stop it from occurring.	Action/Process	
3202	CANNON	Warfare and hunting	A bullet firing weapon mounted on a carriage.	Person/Thing	
3203	CANNON OR GUN	Warfare and hunting	A bullet-firing weapon mounted on a carriage or to be held in the hands or arms.	Person/Thing	
3204	INSULT	Social and political relations	To use swear-words towards someone.	Action/Process	
3205	GRAVEN IMAGE	Religion and belief	A representation of a deity who is considered to be false.	Person/Thing	
3206	ELF OR FAIRY	Religion and belief	A mythical being similar to but distinct from human, related to nature, and usually with supernatural or magic powers.	Person/Thing	
3207	GO UP OR RISE (ONESELF)	Motion	To move from a lower to a higher position or to get up from a lying, sitting, or kneeling position.	Action/Process	
3208	CENTER OR MIDDLE	Spatial relations	What's in the mid of a plane or sphere or equally far away from two ends.	Person/Thing	
3209	MAKE A SPEECH	Speech and language	To give a speech in front of an audience	Action/Process	
3210	KNIFE (FOR EATING)	Food and drink	A knife used while eating food.	Person/Thing	
3211	HOPE (FAITH)	Emotions and values	The belief in the possibility that something one wants will happen.	Person/Thing	
3212	HOPE (SOMETHING)	Emotions and values	To want something to happen.	Action/Process	
3213	HIRE OR RENT	Social and political relations	To employ a person or people in exchange of some kind of remuneration, usually a payment, or to pay for using an object.	Action/Process	
3215	CREEP	Motion	To move with one's belly touching the ground.	Action/Process	96
3217	TIN OR TINPLATE	Basic actions and technology	A metallic element with symbol Sn or a thin sheet of steel coated with tin to prevent rusting.	Person/Thing	
3220	MATERNAL UNCLE	Kinship	A brother of someone's mother.	Person/Thing	
3221	PLANTAGO	Agriculture and vegetation	A plant of the genus Plantago, with a rosette of sessile leaves about 10 cm long with a narrow part instead of a petiole, and with a spike inflorescence with the flower spacing varying widely among the species.	Person/Thing	
3222	TWIG	Agriculture and vegetation	A branch that doesn't arise from the trunk but from another branch.	Person/Thing	
3223	BRANCH OR TWIG	Agriculture and vegetation	A woody part of a tree arising from the trunk or from another branch.	Person/Thing	
3224	WRING	Basic actions and technology	To take a cloth and twist its ends into different directions in order to dry it.	Action/Process	
3228	BOW OR CROSSBOW	Warfare and hunting	A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows, or a weapon based on it, consisting of a bow mounted on a stock.	Person/Thing	
3230	DECEIVE	Cognition	To cause someone to believe an untruth; to practice trickery or fraud.	Action/Process	
3231	DEITY	Religion and belief	A supernatural, typically immortal being with superior powers.	Person/Thing	
3232	PELT	Clothing and grooming	The hair-covered, dressed pelt of a mammal, used in the making of garments and as trimming or decoration.	Person/Thing	
3233	SMALL KNIFE	Food and drink	A knife for cutting vegetables and other things in the kitchen.	Person/Thing	
3234	OPEN (EYES)	Basic actions and technology	Move ones eyelids in such a way that the eyes are visible.	Action/Process	
3235	OPEN (STATE)	Basic actions and technology	To be accessible and/or not closed.	Property	
3236	TWIST (TOGETHER)	Motion	To wind several things around each other (e.g. in order to form a rope or thread).	Action/Process	
3237	ALLOW OR PERMIT	Social and political relations	To give permission to an action or to not try to stop someone from doing it.	Action/Process	
3238	ALLOW	Social and political relations	To not try to stop someone from doing something.	Action/Process	
3239	AMUSE ONESELF (HAVE FUN)	Basic actions and technology	To do something joyful.	Action/Process	
3240	BAMBOO MAT	Modern world	A mat made from bamboo.	Person/Thing	
3241	CORIANDER	Agriculture and vegetation	Annual herb in the family Apiaceae.	Person/Thing	
3243	CYPRESS	Agriculture and vegetation	A common name for various coniferous trees or shrubs of northern temperate regions that belong to the family Cupressaceae.	Person/Thing	
3244	EAR (OF GRAIN)	Agriculture and vegetation	The upper part of grain plants.	Person/Thing	
3245	FROG (SMALL)	Animals	A small kind of frog (as opposed to big ones).	Person/Thing	
3246	FRUIT (CLASSIFIER)	Food and drink	The measure word used for typical fruits.	Person/Thing	
3247	KIWIFRUIT	Agriculture and vegetation	Edible berry of several species of woody vines in the genus Actinidia.	Person/Thing	
3248	MAPLE TREE	Agriculture and vegetation	A group of trees belonging to the genus acer.	Person/Thing	
3249	MATERNAL UNCLE (MOTHER'S OLDER BROTHER)	Kinship	Older brother of ego's mother.	Person/Thing	
3250	MATERNAL UNCLE (MOTHER'S YOUNGER BROTHER)	Kinship	Younger brother of ego's mother.	Person/Thing	
3251	MOLD (GET ROTTEN)	Basic actions and technology	Discoloration and food caused by fungal species.	Person/Thing	
3252	PANCREAS	The body	An organ of the digestive system of vertebrates.	Person/Thing	
3253	PRICKLY ASH	Agriculture and vegetation	A flowering plant in the family Rutaceae.	Person/Thing	
3254	YOUNG ANIMAL	Animals	Like a puppy of a dog, a general term for naming younger animals.	Person/Thing	
3255	POINT (POINTED END)	Spatial relations	The pointed, sharp end of an object like e.g. a spear or arrowhead.	Person/Thing	
3256	BITTER BUCKWHEAT	Agriculture and vegetation	Fagopyrum tataricum, a domesticated plant similar to the (sweet) buckwheat.	Person/Thing	
3257	CLITORIS	The body	A part of the female genitalia located at the front of the vulva, consisting of a sensitive erectile body.	Person/Thing	
3258	FALCON	Animals	A bird of prey of genus Falco, which kill preys with its beak (unlike Accipitridae as eagles and hawks, which kill with its feet).	Person/Thing	
3259	GORAL	Animals	A small ungulate with goat-like and antelope-like appearance.	Person/Thing	
3260	HORNBILL	Animals	A bird characterized by a long, down-curved, and frequently colored beak.	Person/Thing	
3261	HORNET	Animals	A large wasp that can inflict a severe sting, characteristically building large papery nests.	Person/Thing	
3262	HORSEFLY	Animals	A fly of the family Tabanidae, known for biting humans.	Person/Thing	
3263	LAP	The body	The front area from waist to knees, especially when sitting.	Person/Thing	
3264	TRIVET	Food and drink	A stand, usually metallic, used to support cooking vessels on top of fire.	Person/Thing	
3265	FINGER MILLET	Agriculture and vegetation	Eleusine coracana, a herbaceous plant characteristic for the hability to withstand cultivation at high altitudes.	Person/Thing	
3266	FOXTAIL MILLET	Agriculture and vegetation	Staria italica, an annual grass grown for human food and related to (broomcorn) millet.	Person/Thing	
3267	PULSE	The body	The rhytmic contraction and expansion of arteries at each heart beat, often discernible at points such the wrists and the neck.	Person/Thing	
3268	QUESTION	Speech and language	A sentence used to obtain information by evoking a response.	Person/Thing	
3269	PORCH	The house	A structure attached to the exterior of a building, often acting as a roofed entrance; a balcony; a veranda.	Person/Thing	
3270	SEROW	Animals	A short-horned, dark-coated goat antelope of southeast Asia mountain areas.	Person/Thing	
3271	FLYING SQUIRREL	Animals	A squirrel of the sub-family Pteromyinae of the family Sciuridae.	Person/Thing	
3272	TAKIN	Animals	A large goat antelope of eastern Himalayan area, Budorcas taxicolor.	Person/Thing	
3273	TILL	Agriculture and vegetation	Prepare land for cultivation by work such as ploughing, harrowing, and manuring.	Action/Process	
3274	ENCIRCLE	Basic actions and technology	To enclose or cause to be enclosed; to surround; to confine.	Action/Process	
3275	CLOUD OR FOG	The physical world	High or low elevation water suspensions.	Person/Thing	
3276	SUNSHINE	The physical world	The light emitted by the sun.	Person/Thing	
3277	FOUR DAYS FROM NOW	Time	Four days from today.	Other	
3278	FOUR DAYS BEFORE NOW	Time	Four days before today.	Other	
3279	MANTIS	Animals	A predatory insect of the order Mantodea; mantid; praying mantis.	Person/Thing	
3280	TUSK	Animals	A pointed elongated tooth, usually one of a pair, extending outside the mouth of a mammal.	Person/Thing	
3281	JOB'S TEARS	Agriculture and vegetation	A tall grain-bearing plant of the Poaceae family; coixseed; yi yi.	Person/Thing	
3282	GROOM	Kinship	A man who is going to get married or has just married.	Person/Thing	
3283	CAGE	Animals	A structure, usually made with bars or wire, for confining animals.	Person/Thing	
3284	GRAVEYARD	The body	A tract of land used for burials; burial ground; cemetery.	Person/Thing	
3285	RICE FLOUR	Agriculture and vegetation	A flour made from finely milled rice, distinct from rice starch which is produced by steeping rice in lye; rice powder.	Person/Thing	
3286	LARGE BOWL	Food and drink	A large utensil for eating fluid food.	Person/Thing	
3287	BLOOM	Agriculture and vegetation	To bear flowers or to start bearing flowers; to blossom.	Action/Process	
3288	WEED	Agriculture and vegetation	A plant that grows wild and profusely, especially when considered undesirable for agriculture.	Person/Thing	
3289	UNCOOKED RICE	Food and drink	Rice that has not been boiled or otherwise prepared for eating.	Person/Thing	
3290	IMPEL	Motion	Cause objects, people or animals to move (typically by following them).	Action/Process	
3291	DRIVE OR IMPEL OR RIDE	Motion	Drive a vehicle or cause vehicles, other objects, people or animals to move (typically while following them or sitting/standing on them).	Action/Process	
3292	THOU (HONORIFIC)	Kinship	The person addressed (honorific).	Other	
3293	YOU (HONORIFIC)	Kinship	The group of persons addressed (honorific)	Other	
3294	BRAID (VERB) OR WEAVE (BASKET)	Basic actions and technology	To braid together hair, threads, strings, twigs etc. in order to create a larger string-like object or to weave a basket or use similar techniques for creating other objects.	Action/Process	
3295	BRAID (VERB)	Basic actions and technology	To braid together hair, threads, strings, twigs etc. in order to create a larger string-like object (which can be linear as in a braid of hair or circular as in a wreath).	Action/Process	
3296	WEAVE (BASKET)	Basic actions and technology	To weave a basket or use similar techniques for creating other objects.	Action/Process	
3297	PRECIPICE OR SLOPE	The physical world	A very steep decline, typically found in the mountains or on shores, or a stretch of ground forming a geological incline, e.g. a hillside.	Person/Thing	
3298	APE OR MONKEY	Animals	Any of the species of Simiiformes, including Hominoidea (but typically excluding humans).	Person/Thing	
3299	KIND	Emotions and values	Being nice and giving off the impression of benevolence.	Property	
3300	POLITE	Emotions and values	Keeping to a given society's standards of social manners in order to show respect.	Property	
3301	BRAWL	Basic actions and technology	A normally unarmed and ruleless scuffle.	Action/Process	
3302	QUARREL (VERB)	Social and political relations	To have a loud or noisy verbal confrontation between two or more people.	Action/Process	
3303	PICTURE (PAINTING)	Basic actions and technology	A painted image.	Person/Thing	
3304	PICTURE (PHOTOGRAPH)	Modern world	An image taken with a camera.	Person/Thing	
3305	INSIDE A HOUSE	The house	Inside a building as opposed to outside in the open air.	Other	
3306	NAIL	Basic actions and technology	To hammer a nail into something.	Action/Process	
3307	HIT (A TARGET)	Basic actions and technology	To hit something that someone has aimed for.	Action/Process	
3308	STRIKE (SOMEONE)	Basic actions and technology	To intentionally hit someone with a sharp blow or to impel, usually with a hand or weapon.	Action/Process	
3309	STRIKE (SOMETHING)	Basic actions and technology	To intentionally hit something with a sharp blow or to impel, usually with a hand.	Action/Process	
3310	SHORE OR BANK	The physical world	The land touching a body of water, irrespective of the special characteristics of the body of water.	Person/Thing	
3311	FLOWING BODY OF WATER	The physical world	A generic way to refer to a flowing body of water, for example used to refer to rivers, brooks, streams, creeks etc.	Person/Thing	
3312	SHORT (TIME)	Time	For a brief period or a short amount of time.	Other	
3313	JACKAL	Animals	A wild dog-like animal of the Canis genus home to parts of Asia and Africa.	Person/Thing	
3314	LYNX	Animals	A wild animal of the Lynx genus, with characteristic spots on its fur and a short tail.	Person/Thing	
3315	FLAX	Agriculture and vegetation	A plant with blue flowers that is cultivated for its stem to make linen or its seeds to make oil.	Person/Thing	
3316	HOPS	Agriculture and vegetation	Used to refer to flowers of the hop plant, used as flavouring or bittering agent in cooking and brewing activities.	Person/Thing	
3317	ELM	Agriculture and vegetation	A tall tree with broad leaves.	Person/Thing	
3318	OAR OR PADDLE	Basic actions and technology	Referring to tools used for water-based motion, either connected to the water vehicle or not.	Person/Thing	
3319	JEW’S HARP	Speech and language	A small musical instruments put between the teeth and played with a finger.	Person/Thing	
3320	SNARE (TRAP)	Warfare and hunting	A specific trap for catching small animals with a string that prevents caught animals from escaping.	Person/Thing	
