ID	GLOSS	SEMANTICFIELD	DEFINITION	ONTOLOGICAL_CATEGORY	REPLACEMENT_ID
253	CARE FOR	Social and political relations	To keep under careful scrutiny.	Action/Process	
254	STICKING	The physical world	To stick or hold together and resist separation.	Action/Process	
255	SERVANT	Social and political relations	A person performing duties for others. For example a person employed in a household which cares about the domestic duties.	Person/Thing	
256	FOOD	Food and drink	A substance that can be ingested and utilized by the organism as a source of nutrition and energy.	Person/Thing	
257	WORSHIP	Religion and belief	To show devotion and obeisance to.	Action/Process	
258	CALM	The physical world	Smooth or having only gentle waves.	Property	
259	ROUGH (OF SEA)	The physical world	With large waves (of sea).	Property	
260	SAVANNA	The physical world	A large open grassland in tropical and subtropical regions.	Person/Thing	
261	ARCTIC LIGHTS	The physical world	A natural light display in the sky particularly in the Arctic regions.	Person/Thing	
262	HE OR SHE OR IT	Kinship	Third person singular pronoun, regardless of gender/sex.	Other	
263	HERDSMAN	Animals	A man who looks after a herd of animals.	Person/Thing	
264	HE-GOAT	Animals	A male goat.	Person/Thing	
265	FOWL	Animals	A bird that is kept for its meat and eggs.	Person/Thing	
266	SCALE	Animals	One of the small flat pieces of skin that cover the bodies of fish.	Person/Thing	
267	NIT	Animals	An egg of a louse that is sometimes found in people's hair.	Person/Thing	
268	DRIBBLE	The body	To let saliva flow out of one’s mouth onto one’s chin.	Action/Process	
269	COOKED	Food and drink	Contrasting with 'raw'.	Property	
270	JUG	Food and drink	A container for holding and pouring liquids with a handle and a spout.	Person/Thing	
271	SAUCER	Food and drink	A small dish for placing a cup.	Person/Thing	
272	TONGS	Food and drink	A tool that consists of two movable bars joined at one end, used to pick up an object.	Person/Thing	
273	DOUGH	Food and drink	A mixture of flour and water ready to be baked into bread, pastry etc.	Person/Thing	
274	KNEAD	Food and drink	To press a dough many times with one's hands.	Action/Process	
275	PEEL	Food and drink	To remove the skin from food or vegetables.	Action/Process	
276	BANISTERIUM	Food and drink	A psychoactive infusion prepared from the Banisteriopsis spp.	Person/Thing	
277	SPINDLE	Clothing and grooming	A stick used in spinning fiber into thread.	Person/Thing	
278	AWL	Clothing and grooming	Pointed tool for marking or piercing wood or leather.	Person/Thing	
279	THATCH	The house	Natural roofing material such as straw, reeds, leaves, etc.	Person/Thing	
280	RIDGEPOLE	The house	The highest horizontal beam in a roof.	Person/Thing	
281	POST	The house	A strong upright piece of wood, metal etc. that is fixed into the ground, especially to support something.	Person/Thing	
282	POLE	The house	A strong upright piece of wood, metal etc. that is fixed into the ground, especially to support something	Person/Thing	281
283	PADDY	Agriculture and vegetation	Wet land in which rice is grown.	Person/Thing	140
284	HOE	Agriculture and vegetation	A tool with handle and blade with two or more prongs used for weeding, raking, etc.	Person/Thing	
285	THRESH	Agriculture and vegetation	Separating the grain from the straw or husks by beating.	Action/Process	
286	NEEDLE TREE	Agriculture and vegetation	A needle of coniferous tree	Person/Thing	
287	CONE	Agriculture and vegetation	The fruit of a pine or fir tree.	Person/Thing	
288	FORGE	Basic actions and technology	To create and mold by hammering.	Action/Process	
289	MOLD	Basic actions and technology	To create something, usually for a specific function.	Action/Process	
290	ADZE	Basic actions and technology	A sharp tool with the blade at a right angle to the handle, used to shape pieces of wood.	Person/Thing	
291	PULL OFF (SKIN)	Basic actions and technology	To strip or pull off the skin or hide of.	Action/Process	
292	RUG	Basic actions and technology	A piece of thick cloth or wool that is smaller than a carpet and is put on the floor as decoration.	Person/Thing	
293	NETBAG	Basic actions and technology	Bag made of net used to carry things.	Person/Thing	
294	TUMPLINE	Basic actions and technology	A strap slung over the forehead or chest used (especially by native Americans) for carrying packs or loads.	Person/Thing	
295	WHETSTONE	Basic actions and technology	Before cutting the meat, he sharpened his knife with a whetstone.	Person/Thing	
296	CROUCH	Motion	To lower one's body close to the ground by bending one's knees completely.	Action/Process	
297	CROOKED	Spatial relations	Opposite of straight.	Property	
298	SHRIEK	Speech and language	To make a very high, loud sound.	Action/Process	
299	SCOLD	Speech and language	To rebuke.	Action/Process	
300	RATTLE	Speech and language	A wooden instrument that makes a loud knocking noise [used by people watching football games].	Person/Thing	
301	CHIEFTAIN	Social and political relations	The leader/ruler of a tribe/clan.	Person/Thing	
302	CLAN	Social and political relations	Extended family.	Person/Thing	
303	ABSTAIN FROM FOOD	Religion and belief	To refrain from eating.	Action/Process	
304	PREACH	Religion and belief	To deliver a sermon.	Action/Process	
