ID	CATEGORY	ENGLISH	PART_OF_SPEECH	NUMBER	CONCEPTICON_ID	CONCEPTICON_GLOSS
Hale-1973-1798-1430	Role_and_Social_Structure-84	dance	v	11b1.01	1879	DANCE
Hale-1973-1798-1431	Role_and_Social_Structure-85	play	v	11b1.02	1413	PLAY
Hale-1973-1798-1432	Role_and_Social_Structure-86	sing	v	11b1.03	1261	SING
Hale-1973-1798-1433	Role_and_Social_Structure-87	whistle	v	11b1.04	1025	WHISTLE
Hale-1973-1798-1434	Role_and_Social_Structure-88	hum (a tune)	v	11b1.05	3671	HUM
Hale-1973-1798-1435	Role_and_Social_Structure-89	beat drum	v	11b1.06		
Hale-1973-1798-1436	Role_and_Social_Structure-90	play instr.	v	11b1.07	3124	PLAY (INSTRUMENT)
Hale-1973-1798-1437	Role_and_Social_Structure-91	sound	v	11b1.08	2879	SOUND (OF INSTRUMENT OR VOICE)
Hale-1973-1798-1438	Role_and_Social_Structure-92	rattle	v	11b1.09		
Hale-1973-1798-1439	Role_and_Social_Structure-93	clap hands	v	11b1.10	3110	CLAP
Hale-1973-1798-1440	Role_and_Social_Structure-94	snap with fingers	v	11b1.11		
Hale-1973-1798-1441	Role_and_Social_Structure-95	visit	v	11b1.12	1377	VISIT
Hale-1973-1798-1442	Role_and_Social_Structure-96	welcome	v	11b1.13		
Hale-1973-1798-1443	Role_and_Social_Structure-97	gossip	v	11b1.14	3640	GOSSIP
Hale-1973-1798-1444	Role_and_Social_Structure-98	joke	v	11b1.15	2760	MAKE A JOKE
Hale-1973-1798-1445	Role_and_Social_Structure-99	amuse	v	11b1.16		
Hale-1973-1798-1446	Role_and_Social_Structure-100	smoke	v	11b1.17	1689	SMOKE (INHALE)
Hale-1973-1798-1447	Role_and_Social_Structure-101	gamble	v	11b1.18		
Hale-1973-1798-1448	Role_and_Social_Structure-102	get drunk	v	11b1.19	1463	DRUNK
Hale-1973-1798-1449	Role_and_Social_Structure-103	travel	v	11b1.20	3665	TRAVEL
Hale-1973-1798-1450	Role_and_Social_Structure-104	prepare	v	11b1.21	2909	PREPARE
Hale-1973-1798-1451	Role_and_Social_Structure-105	decide	v	11b1.22	685	DECIDE
Hale-1973-1798-1452	Role_and_Social_Structure-106	walk	v	11b1.23	1443	WALK
Hale-1973-1798-1453	Role_and_Social_Structure-107	wander	v	11b1.24	3666	WANDER
Hale-1973-1798-1454	Role_and_Social_Structure-108	over take	v	11b1.25		
Hale-1973-1798-1455	Role_and_Social_Structure-109	pass by	v	11b1.26	558	PASS BY
Hale-1973-1798-1456	Role_and_Social_Structure-110	point	v	11b1.27	2669	POINT (WITH FINGER)
Hale-1973-1798-1457	Role_and_Social_Structure-111	load	v	11b1.28	3669	LOAD (SOMETHING)
Hale-1973-1798-1458	Role_and_Social_Structure-112	cram into	v	11b1.29		
Hale-1973-1798-1459	Role_and_Social_Structure-113	carry	v	11b1.30	700	CARRY
Hale-1973-1798-1460	Role_and_Social_Structure-114	leave, start out	v	11b1.31	1752	LEAVE
Hale-1973-1798-1461	Role_and_Social_Structure-115	leave behind	v	11b1.32		
Hale-1973-1798-1462	Role_and_Social_Structure-116	rest	v	11b1.33	168	REST
Hale-1973-1798-1463	Role_and_Social_Structure-117	reach there	v	11b1.34	1387	ARRIVE
Hale-1973-1798-1464	Role_and_Social_Structure-118	arrive here	v	11b1.35	1387	ARRIVE
Hale-1973-1798-1465	Role_and_Social_Structure-119	return	v	11b1.36	581	COME BACK
Hale-1973-1798-1466	Role_and_Social_Structure-120	paddle	v	11b1.37	3668	PADDLE (MOVEMENT)
Hale-1973-1798-1467	Role_and_Social_Structure-121	buy	v	11b2.01	1869	BUY
Hale-1973-1798-1468	Role_and_Social_Structure-122	sell	v	11b2.02	1571	SELL
Hale-1973-1798-1469	Role_and_Social_Structure-123	pay	v	11b2.03	718	PAY
Hale-1973-1798-1470	Role_and_Social_Structure-124	repay loan	v	11b2.04		
Hale-1973-1798-1471	Role_and_Social_Structure-125	lend money	v	11b2.05	582	LEND
Hale-1973-1798-1472	Role_and_Social_Structure-126	borrow money	v	11b2.06	1823	BORROW
Hale-1973-1798-1473	Role_and_Social_Structure-127	lend things	v	11b2.07	582	LEND
Hale-1973-1798-1474	Role_and_Social_Structure-128	borrow things	v	11b2.08	1823	BORROW
Hale-1973-1798-1475	Role_and_Social_Structure-129	exchange money	v	11b2.09	2509	EXCHANGE
Hale-1973-1798-1476	Role_and_Social_Structure-130	barter	v	11b2.10	370	BARTER
Hale-1973-1798-1477	Role_and_Social_Structure-131	trade	v	11b2.11	898	TRADE
Hale-1973-1798-1478	Role_and_Social_Structure-132	earn	v	11b2.12	733	EARN
Hale-1973-1798-1479	Role_and_Social_Structure-133	weigh	v	11b2.13	1098	WEIGH
Hale-1973-1798-1480	Role_and_Social_Structure-134	increase	v	11b2.14	1041	INCREASE
Hale-1973-1798-1481	Role_and_Social_Structure-135	decrease	v	11b2.15	2864	DECREASE
Hale-1973-1798-1482	Role_and_Social_Structure-136	bargain	v	11b2.16		
Hale-1973-1798-1483	Role_and_Social_Structure-137	marry	v	11b2.17	203	MARRY
Hale-1973-1798-1484	Role_and_Social_Structure-138	give in marriage	v	11b2.18		
Hale-1973-1798-1485	Role_and_Social_Structure-139	settle (marriage)	v	11b2.19		
Hale-1973-1798-1486	Role_and_Social_Structure-140	divorce	v	11b2.20	3672	DIVORCE (SEPARATE)
Hale-1973-1798-1487	Role_and_Social_Structure-141	desert	v	11b2.21		
Hale-1973-1798-1488	Role_and_Social_Structure-142	be defiled	vi	11b2.22		
Hale-1973-1798-1489	Role_and_Social_Structure-143	fulfill works of purification	v	11b2.23		
Hale-1973-1798-1490	Role_and_Social_Structure-144	sprinkle water of purification	v	11b2.24		
Hale-1973-1798-1491	Role_and_Social_Structure-145	become purified	v	11b2.25		
Hale-1973-1798-1492	Role_and_Social_Structure-146	become unclean	v	11b2.26		
Hale-1973-1798-1493	Role_and_Social_Structure-147	bury	v	11b2.27	1719	BURY
Hale-1973-1798-1494	Role_and_Social_Structure-148	inherit	v	11b2.28	3664	INHERIT
Hale-1973-1798-1495	Role_and_Social_Structure-149	divide	v	11b2.29	1119	DIVIDE
Hale-1973-1798-1496	Role_and_Social_Structure-150	share	v	11b2.30	884	SHARE
Hale-1973-1798-1497	Role_and_Social_Structure-151	own	v	11b2.31	684	OWN
Hale-1973-1798-1498	Role_and_Social_Structure-152	serve a master	v	11b2.32	3648	SERVE (SOMEONE)
Hale-1973-1798-1499	Role_and_Social_Structure-153	swear oath	v	11b2.33	1939	SWEAR
Hale-1973-1798-1500	Role_and_Social_Structure-154	assemble	v	11b2.34		
Hale-1973-1798-1501	Role_and_Social_Structure-155	elect	v	11b2.35		
Hale-1973-1798-1502	Role_and_Social_Structure-156	vote	v	11b2.36		
Hale-1973-1798-1503	Role_and_Social_Structure-157	collect taxes	v	11b2.37		
Hale-1973-1798-1504	Role_and_Social_Structure-158	rob	v	11b3.01	2073	ROB (VERB)
Hale-1973-1798-1505	Role_and_Social_Structure-159	steal	v	11b3.02	713	STEAL
Hale-1973-1798-1506	Role_and_Social_Structure-160	plunder	v	11b3.03	3670	PLUNDER
Hale-1973-1798-1507	Role_and_Social_Structure-161	attack	v	11b3.04		
Hale-1973-1798-1508	Role_and_Social_Structure-162	insult	v	11b3.05	3204	INSULT
Hale-1973-1798-1509	Role_and_Social_Structure-163	conspire	v	11b3.06		
Hale-1973-1798-1510	Role_and_Social_Structure-164	transgress	v	11b3.07		
Hale-1973-1798-1511	Role_and_Social_Structure-165	suspect s.o.	v	11b3.08	1841	SUSPECT
Hale-1973-1798-1512	Role_and_Social_Structure-166	accuse	v	11b3.09	1814	ACCUSE
Hale-1973-1798-1513	Role_and_Social_Structure-167	interrogate	v	11b3.10		
Hale-1973-1798-1514	Role_and_Social_Structure-168	deny	v	11b3.11	755	DENY
Hale-1973-1798-1515	Role_and_Social_Structure-169	judge	v	11b3.12	1818	ADJUDICATE
Hale-1973-1798-1516	Role_and_Social_Structure-170	condemn	v	11b3.13	484	CONDEMN
Hale-1973-1798-1517	Role_and_Social_Structure-171	fine s.o.	v	11b3.14		
