ID	NUMBER	ENGLISH	CHINESE	CONCEPTICON_ID	CONCEPTICON_GLOSS
Zhou-2020-350-126	126	night	夜	1233	NIGHT
Zhou-2020-350-127	127	nose	鼻子	1221	NOSE
Zhou-2020-350-128	128	not	不	1240	NOT
Zhou-2020-350-129	129	now	現在	1376	NOW
Zhou-2020-350-130	130	old lady	老太太	907	OLD WOMAN
Zhou-2020-350-131	131	one	一	1493	ONE
Zhou-2020-350-132	132	orange	柑子	2627	ORANGE (FRUIT)
Zhou-2020-350-133	133	oxbow	牛軛		
Zhou-2020-350-134	134	paint	漆	647	PAINT (PIGMENTS)
Zhou-2020-350-135	135	person	人	683	PERSON
Zhou-2020-350-136	136	pheasant	野雞	3060	PHEASANT
Zhou-2020-350-137	137	pig	豬	1337	PIG
Zhou-2020-350-138	138	pro-3rd-sg	他	262	HE OR SHE OR IT
Zhou-2020-350-139	139	radish	蘿蔔	2365	RADISH
Zhou-2020-350-140	140	rain	雨	658	RAIN (PRECIPITATION)
Zhou-2020-350-141	141	raw	生	1959	RAW
Zhou-2020-350-142	142	rice	穀子	926	RICE
Zhou-2020-350-143	143	rice (uncooked)	秧	3289	UNCOOKED RICE
Zhou-2020-350-144	144	rice steamer	甑子	3431	RICE STEAMER
Zhou-2020-350-145	145	rice, meal	飯	1191	COOKED RICE
Zhou-2020-350-146	146	right side	右	1019	RIGHT
Zhou-2020-350-147	147	riped	熟		
Zhou-2020-350-148	148	road	路	667	ROAD
Zhou-2020-350-149	149	rotten	腐爛	1728	ROTTEN
Zhou-2020-350-150	150	round	圓	1395	ROUND
Zhou-2020-350-151	151	saliva	涎水	1503	SALIVA
Zhou-2020-350-152	152	salt	鹽	1274	SALT
Zhou-2020-350-153	153	scale	秤	266	SCALE
Zhou-2020-350-154	154	seed	種子	714	SEED
Zhou-2020-350-155	155	sell	賣	1571	SELL
Zhou-2020-350-156	156	sharp	鋒利	1396	SHARP
Zhou-2020-350-157	157	sheep, goat	羊	2684	CAPRINE (GOAT OR SHEEP)
Zhou-2020-350-158	158	sheng	升		
Zhou-2020-350-159	159	shoe	鞋	1381	SHOE
Zhou-2020-350-160	160	short	短	1645	SHORT
Zhou-2020-350-161	161	shy	害羞	487	SHY
Zhou-2020-350-162	162	sickness	病	1986	DISEASE
Zhou-2020-350-163	163	silkworm	蠶	2351	SILKWORM
Zhou-2020-350-164	164	silver	銀子	759	SILVER
Zhou-2020-350-165	165	similar	像	1558	SIMILAR
Zhou-2020-350-166	166	six	六	1703	SIX
Zhou-2020-350-167	167	skin	皮	763	SKIN
Zhou-2020-350-168	168	sky	天	1732	SKY
Zhou-2020-350-169	169	sleep	睡	2972	SLEEP (STATE)
Zhou-2020-350-170	170	slow	慢	701	SLOW
Zhou-2020-350-171	171	small	小	1246	SMALL
Zhou-2020-350-172	172	smoke	煙	778	SMOKE (EXHAUST)
Zhou-2020-350-173	173	snow	雪	784	SNOW
Zhou-2020-350-174	174	soft	柔軟	1856	SOFT
Zhou-2020-350-175	175	some	些	1241	SOME
Zhou-2020-350-176	176	son	兒子	1620	SON
Zhou-2020-350-177	177	son-in-law	女婿	1056	SON-IN-LAW
Zhou-2020-350-178	178	song	歌	1096	SONG
Zhou-2020-350-179	179	sore	毒包、瘡	3708	FEELING SORE
Zhou-2020-350-180	180	sorghum	高粱	347	SORGHUM
Zhou-2020-350-181	181	sound	聲音	2879	SOUND (OF INSTRUMENT OR VOICE)
Zhou-2020-350-182	182	sour	酸	1906	SOUR
Zhou-2020-350-183	183	soy bean	豆	2027	SOYA
Zhou-2020-350-184	184	sparrow	喜鵲	1854	SPARROW
Zhou-2020-350-185	185	spider	蜘蛛	843	SPIDER
Zhou-2020-350-186	186	stone, bone	石頭、骨頭		
Zhou-2020-350-187	187	straight	直	1404	STRAIGHT
Zhou-2020-350-188	188	sun	太陽	1343	SUN
Zhou-2020-350-189	189	swollen	腫	1573	SWELL
Zhou-2020-350-190	190	tael	兩		
Zhou-2020-350-191	191	ten	十	1515	TEN
Zhou-2020-350-192	192	thick	厚	1244	THICK
Zhou-2020-350-193	193	thick (liquid)	濃		
Zhou-2020-350-194	194	thin (<> thick)	薄	2306	THIN (OF LEAF AND CLOTH)
Zhou-2020-350-195	195	thorn	刺兒	124	THORN
Zhou-2020-350-196	196	thread	綫	1161	THREAD
Zhou-2020-350-197	197	three	三	492	THREE
Zhou-2020-350-198	198	thunder, to sound	雷、響		
Zhou-2020-350-199	199	tiger	老虎	846	TIGER
Zhou-2020-350-200	200	to answer	答應	1275	ANSWER
Zhou-2020-350-201	201	to arrive	到	1387	ARRIVE
Zhou-2020-350-202	202	to ask, to tell	問、告訴		
Zhou-2020-350-203	203	to be able to	會	972	BE ABLE
Zhou-2020-350-204	204	to be willing to	肯		
Zhou-2020-350-205	205	to become	變成	1990	BECOME
Zhou-2020-350-206	206	to beg	乞討	3534	BEG
Zhou-2020-350-207	207	to belong to a Chinese zodiac	屬（豬）		
Zhou-2020-350-208	208	to bite	咬、吃	1403	BITE
Zhou-2020-350-209	209	to blink	眨	1655	BLINK
Zhou-2020-350-210	210	to block	堵塞	2762	BLOCK (THE WAY)
Zhou-2020-350-211	211	to blow	吹	175	BLOW (OF WIND)
Zhou-2020-350-212	212	to boil	煮	2492	BOIL (SOMETHING)
Zhou-2020-350-213	213	to break (from the middle)	斷	3020	BREAK (BREAKING)
Zhou-2020-350-214	214	to broke in the middle	破、斷		
