ID	NUMBER	ENGLISH	SIL_1980_281	SIL_2002_436	MATISOFF_1978_200	SWADESH_1955_100	SWADESH_1952_200	CONCEPTICON_ID	CONCEPTICON_GLOSS
Mann-2004-500-216	216	in	in	---	---	---	in	1460	IN
Mann-2004-500-217	217	insect	---	insect	insect/bug/vermin	---	---	620	INSECT
Mann-2004-500-218	218	intestine	intestine	intestine	guts	---	guts	1991	INTESTINES
Mann-2004-500-219	219	iron	---	iron	iron	---	---	621	IRON
Mann-2004-500-220	220	irrigated paddy field	---	wet rice field	irrigated paddy field	---	---	140	PADDY FIELD
Mann-2004-500-221	221	itchy	---	itch	itchy	---	---	149	ITCHY
Mann-2004-500-222	222	jackfruit (fruit)	---	jackfruit (fruit)	---	---	---		
Mann-2004-500-223	223	joint	---	---	joint	---	---	999	JOINT
Mann-2004-500-224	224	kapok	---	kapok	---	---	---	2499	KAPOK TREE
Mann-2004-500-225	225	kick	---	kick	kick	---	---	1135	KICK
Mann-2004-500-226	226	kill	kill	kill	kill	kill	kill	1417	KILL
Mann-2004-500-227	227	knee	knee	knee	---	knee	---	1371	KNEE
Mann-2004-500-228	228	kneel	---	kneel	---	---	---	66	KNEEL
Mann-2004-500-229	229	knife	---	knife	---	---	---	1352	KNIFE
Mann-2004-500-230	230	know	know	know	know	know	know	1410	KNOW (SOMETHING)
Mann-2004-500-231	231	ladle	---	coconut shell ladle	---	---	---		
Mann-2004-500-232	232	lake	lake	---	---	---	lake	624	LAKE
Mann-2004-500-233	233	laugh	laugh	laugh	laugh	---	laugh	1355	LAUGH
Mann-2004-500-234	234	launder	launder	launder	---	---	---	2503	LAUNDER
Mann-2004-500-235	235	leaf	leaf	leaf	leaf	leaf	leaf	628	LEAF
Mann-2004-500-236	236	leech (land)	---	land leech	leech (land)	---	---	2273	LEECH
Mann-2004-500-237	237	left (hand)	left (side)	left (side)	Left side	---	left (hand)	244	LEFT
Mann-2004-500-238	238	leg	leg	leg	---	---	leg	1297	LEG
Mann-2004-500-239	239	lick	---	lick	lick	---	---	319	LICK
Mann-2004-500-240	240	lie on side	lie down	---	---	lie on side	lie (on side)	1411	LIE (REST)
Mann-2004-500-241	241	lie, fib	lie, fib	lie, fib	---	---	---	601	LIE (MISLEAD)
Mann-2004-500-242	242	lift	---	lift	---	---	---	501	LIFT
Mann-2004-500-243	243	lightning	---	lightning	---	---	---	1654	LIGHTNING
Mann-2004-500-244	244	lightweight	---	---	lightweight	---	---	1052	LIGHT (WEIGHT)
Mann-2004-500-245	245	lime	---	lime for betel	---	---	---	982	LIME (FRUIT)
Mann-2004-500-246	246	liquor	---	liquor	liquor	---	---	842	LIQUOR
Mann-2004-500-247	247	live	live	---	---	---	live	1422	BE ALIVE
Mann-2004-500-248	248	liver	liver	liver	liver	liver	liver	1224	LIVER
Mann-2004-500-249	249	lizard (house)	---	lizard (house)	---	---	---	632	LIZARD
Mann-2004-500-250	250	long	long	long	long/tall	long	long	1203	LONG
Mann-2004-500-251	251	loose	---	loose	let go/set free/loosen	---	---	2506	LOOSE
Mann-2004-500-252	252	louse	louse	louse	louse	louse	louse	310	HEAD LOUSE
Mann-2004-500-253	253	love	---	love	---	---	---	923	LOVE
Mann-2004-500-254	254	lungs	---	lungs	---	---	---	688	LUNG
Mann-2004-500-255	255	man	man	man	---	man (male)	man (male)	1554	MAN
Mann-2004-500-256	256	mango (fruit)	---	mango (fruit)	---	---	---	2398	MANGO
Mann-2004-500-257	257	many	many	many	many	many	many	1198	MANY
Mann-2004-500-258	258	marrow	---	---	marrow	---	---	1835	MARROW
Mann-2004-500-259	259	mat	---	mat	---	---	---	195	MAT
Mann-2004-500-260	260	medicine	---	medicine	medicine/juice	---	---	1372	MEDICINE
Mann-2004-500-261	261	monkey	monkey	monkey	monkey	---	---	1350	MONKEY
Mann-2004-500-262	262	monkey	monkey	monkey	---	---	---	1350	MONKEY
Mann-2004-500-263	263	moon	moon	moon	moon	moon	---	1313	MOON
Mann-2004-500-264	264	morning	---	morning	---	---	---	1339	MORNING
Mann-2004-500-265	265	mortar	mortar	mortar	mortar	---	---	224	MORTAR CRUSHER
Mann-2004-500-266	266	mosquito	mosquito	mosquito	---	---	---	1509	MOSQUITO
Mann-2004-500-267	267	mother	mother	mother	---	---	mother	1216	MOTHER
Mann-2004-500-268	268	mountain	mountain	mountain	mountain	mountain	mountain	639	MOUNTAIN
Mann-2004-500-269	269	mouth	mouth	mouth	mouth	mouth	mouth	674	MOUTH
Mann-2004-500-270	270	mud	mud	---	---	---	---	640	MUD
Mann-2004-500-271	271	mushroom/fungus	---	mushroom	mushroom/fungus	---	---	641	MUSHROOM
