ID	NUMBER	ENGLISH	CONCEPTICON_GLOSS	CONCEPTICON_ID	PERCEPTUAL_DOMINANT	VISUAL_MEAN	HAPTIC_MEAN	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	PERCEPTUAL_EXCLUSIVITY	RANDOM_SET	PARTICIPANTS
Winter-2016-300-134	134	heed			Auditory	1.666666667	0.833333333	2.166666667	0.166666667	0.166666667	0.4	no	6
Winter-2016-300-135	135	hit	HIT	1433	Haptic	2.333333333	4.222222222	1.666666667	0.666666667	0.555555556	0.388235294	no	9
Winter-2016-300-136	136	hold	HOLD	1448	Haptic	0.714285714	4.857142857	0	0	0	0.871794872	no	7
Winter-2016-300-137	137	hum			Auditory	0.166666667	0.666666667	4.333333333	0.166666667	0	0.8125	no	6
Winter-2016-300-138	138	identify			Visual	4.111111111	2.777777778	2	1.666666667	1.555555556	0.211009174	no	9
Winter-2016-300-139	139	impress			Visual	3.222222222	1.888888889	2.444444444	0.888888889	1.222222222	0.24137931	yes	9
Winter-2016-300-140	140	incorporate			Haptic	1.142857143	3.142857143	1.571428571	0.285714286	0	0.511627907	yes	7
Winter-2016-300-141	141	incriminate			Auditory	1.571428571	0	1.857142857	0	0	0.541666667	yes	7
Winter-2016-300-142	142	inhale	INHALE	2705	Olfactory	0.444444444	0.777777778	1.222222222	1.888888889	4.666666667	0.469135802	no	9
Winter-2016-300-143	143	insist			Auditory	2.125	1	2.25	0	0	0.418604651	yes	8
Winter-2016-300-144	144	inspect			Visual	4.5	3.166666667	1.833333333	0.333333333	0.333333333	0.409836066	no	6
Winter-2016-300-145	145	interrupt			Auditory	2.6	1.4	3	0.8	0.8	0.255813953	yes	5
Winter-2016-300-146	146	jabber			Auditory	0.555555556	0.555555556	3.111111111	0	0.111111111	0.717948718	no	9
Winter-2016-300-147	147	jangle			Auditory	0.857142857	2.142857143	3.285714286	0	0	0.522727273	no	7
Winter-2016-300-148	148	journey			Visual	2.75	1.375	1.375	0.125	0.375	0.4375	yes	8
Winter-2016-300-149	149	jump	JUMP	1829	Haptic	0.666666667	2.444444444	0	0	0	0.785714286	yes	9
Winter-2016-300-150	150	justify			Auditory	0.857142857	0.428571429	1.714285714	0.428571429	0.428571429	0.333333333	yes	7
Winter-2016-300-151	151	keep	KEEP	1477	Haptic	0.5	3.25	0.375	0	0	0.787878788	yes	8
Winter-2016-300-152	152	kiss	KISS	578	Haptic	2.8	4	1.2	2.2	1	0.267857143	no	5
Winter-2016-300-153	153	know			Auditory	1.222222222	1.333333333	2.111111111	0.666666667	0.666666667	0.240740741	no	9
Winter-2016-300-154	154	label			Visual	3.666666667	3.333333333	1.777777778	1.444444444	1.333333333	0.201923077	yes	9
Winter-2016-300-155	155	leave	LEAVE	1752	Visual	2.833333333	2	2	0	0.166666667	0.404761905	yes	6
Winter-2016-300-156	156	license			Visual	1.833333333	1.833333333	0.666666667	0	0	0.423076923	yes	6
Winter-2016-300-157	157	lick	LICK	319	Gustatory	0.833333333	1.166666667	0.666666667	4.666666667	0.833333333	0.489795918	no	6
Winter-2016-300-158	158	listen	LISTEN	1608	Auditory	0	0	5	0	0	1	no	6
Winter-2016-300-159	159	look	LOOK	1819	Visual	5	0.714285714	0	0	0	0.875	no	7
