ID	NUMBER	IDS_KEY	ENGLISH	GERMAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
List-2020-1365-1252	1252	19-360	noble, nobleman	der Adlige	482	NOBLE
List-2020-1365-1253	1253	19-370	citizen, subject	der Bürger	1032	CITIZEN
List-2020-1365-1254	1254	19-410	master	der Herr	383	MASTER
List-2020-1365-1255	1255	19-420	slave	der Sklave	812	SLAVE
List-2020-1365-1256	1256	19-430	servant	der Diener	255	SERVANT
List-2020-1365-1257	1257	19-440	freeman	der freie Mann	384	FREEMAN
List-2020-1365-1258	1258	19-450	command, order	befehlen	1998	COMMAND
List-2020-1365-1259	1259	19-460	obey	gehorchen	1635	OBEY
List-2020-1365-1260	1260	19-470	let, permit	erlauben	3237	ALLOW OR PERMIT
List-2020-1365-1261	1261	19-510	friend, companion	der Freund	1325	FRIEND
List-2020-1365-1262	1262	19-520	enemy	der Feind	1358	ENEMY
List-2020-1365-1263	1263	19-540	neighbor	der Nachbar	1332	NEIGHBOUR
List-2020-1365-1264	1264	19-550	stranger	ein Fremder	791	STRANGER
List-2020-1365-1265	1265	19-560	guest	der Gast	1782	GUEST
List-2020-1365-1266	1266	19-570	host	der Gastgeber	1545	HOST
List-2020-1365-1267	1267	19-580	help, aid	helfen	1897	HELP
List-2020-1365-1268	1268	19-590	hinder, prevent	hindern	554	HINDER
List-2020-1365-1269	1269	19-590	hinder, prevent	verhindern	1550	PREVENT
List-2020-1365-1270	1270	19-610	custom	der Brauch	1747	CUSTOM
List-2020-1365-1271	1271	19-620	strife, quarrel	der Streit	1848	QUARREL
List-2020-1365-1272	1272	19-630	conspiracy, plot	die Verschwörung	2024	PLOT
List-2020-1365-1273	1273	19-650	meet	treffen	1831	MEET
List-2020-1365-1274	1274	19-720	prostitute	die Prostituierte	1610	PROSTITUTE
List-2020-1365-1275	1275	20-110	fight (vb)	kämpfen	1423	FIGHT
List-2020-1365-1276	1276	20-130	war, battle	die Schlacht	579	BATTLE
List-2020-1365-1277	1277	20-140	peace	der Frieden	1338	PEACE
List-2020-1365-1278	1278	20-150	army	die Armee	1561	ARMY
List-2020-1365-1279	1279	20-170	soldier	der Soldat	1941	SOLDIER
List-2020-1365-1280	1280	20-210	weapons, arms	die Waffen	951	WEAPONS
List-2020-1365-1281	1281	20-220	club	die Keule	1763	CLUB
List-2020-1365-1282	1282	20-222	battle-ax	die Streitaxt	386	BATTLE-AXE
List-2020-1365-1283	1283	20-230	sling	die Schleuder	387	SLING
List-2020-1365-1284	1284	20-240	bow	der Bogen (Waffe)	994	BOW
List-2020-1365-1285	1285	20-250	arrow	der Pfeil	977	ARROW
List-2020-1365-1286	1286	20-260	spear	der Speer	945	SPEAR
List-2020-1365-1287	1287	20-270	sword	das Schwert	1535	SWORD
List-2020-1365-1288	1288	20-280	gun, cannon	das Gewehr	1566	GUN
List-2020-1365-1289	1289	20-280	gun, cannon	die Kanone	3202	CANNON
List-2020-1365-1290	1290	20-310	armor (defensive)	die Rüstung	1061	ARMOUR
List-2020-1365-1291	1291	20-330	helmet	der Helm	1680	HELMET
List-2020-1365-1292	1292	20-340	shield	der Schild	1064	SHIELD
List-2020-1365-1293	1293	20-350	fortress	die Festung	1938	FORTRESS
List-2020-1365-1294	1294	20-360	tower	der Turm	1671	TOWER
List-2020-1365-1295	1295	20-410	victory	der Sieg	783	VICTORY
List-2020-1365-1296	1296	20-420	defeat	die Niederlage	782	DEFEAT
List-2020-1365-1297	1297	20-430	attack	Angriff	722	ATTACK
List-2020-1365-1298	1298	20-440	defend	die Verteidigung	1330	DEFEND
List-2020-1365-1299	1299	20-450	retreat	der Rückzug	421	RETREAT
List-2020-1365-1300	1300	20-460	surrender	sich ergeben	1696	SURRENDER
List-2020-1365-1301	1301	20-470	captive, prisoner	der Gefangene	1072	PRISONER
List-2020-1365-1302	1302	20-471	guard, sentinel	der Wächter	1940	GUARD
List-2020-1365-1303	1303	20-480	booty, spoils	die Beute	1022	BOOTY
List-2020-1365-1304	1304	20-490	ambush	der Hinterhalt	65	AMBUSH
List-2020-1365-1305	1305	20-510	fisherman	der Fischer	1858	FISHERMAN
List-2020-1365-1306	1306	20-520	fishhook	der Angelhaken	1074	FISHHOOK
List-2020-1365-1307	1307	20-530	fishing line	die Angelschnur	19	FISHING LINE
List-2020-1365-1308	1308	20-540	fishnet	das Fischernetz	388	FISHNET
List-2020-1365-1309	1309	20-550	fish trap	die Reuse	389	FISH TRAP
