ID	NUMBER	SPANISH	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GLOSS_IN_DIGITAL_SOURCE
Huber-1992-375-212	141	mosca	fly	1504	FLY (INSECT)	MOSCA_FLY
Huber-1992-375-213	262	muchos	many	1198	MANY	MUCHO(S)_MANY
Huber-1992-375-214	40	mujer	woman	962	WOMAN	MUJER_WOMAN
Huber-1992-375-215	241	muñeca	wrist	799	WRIST	MUÑECA_WRIST
Huber-1992-375-216	103	murciélago	bat	1793	BAT	MURCIÉLAGO_BAT
Huber-1992-375-217	26	muslo	thigh	800	THIGH	MUSLO_THIGH
Huber-1992-375-218	283	nadar	swim	1439	SWIM	NADAR_SWIM
Huber-1992-375-219	168	ñame	yam	410	YAM	ÑAME_YAM
Huber-1992-375-220	5	nariz	nose	1221	NOSE	NARIZ_NOSE
Huber-1992-375-221	309	neblina	fog	249	FOG	NEBLINA_FOG
Huber-1992-375-222	227	negro	black	163	BLACK	NEGRO_BLACK
Huber-1992-375-223	325	nieve	snow	784	SNOW	NIEVE_SNOW
Huber-1992-375-224	148	nigua, pigue	chiggoe, jigger flea	438	CHIGGOE (JIGGER FLEA)	NIGUA, PIGUE_CHIGGOE, JIGGER FLEA
Huber-1992-375-225	327	niño	child	1304	CHILD (YOUNG HUMAN)	NIÑO_CHILD
Huber-1992-375-226	260	no	not	1240	NOT	NO_NOT
Huber-1992-375-227	68	noche	night	1233	NIGHT	NOCHE_NIGHT
Huber-1992-375-228	301	nombre	name	1405	NAME	NOMBRE_NAME
Huber-1992-375-229	205	nosotros	nosotros		WE	NOSOTROS_WE
Huber-1992-375-230	248	nubes de tormenta	storm clouds	448	STORM CLOUDS	NUBES DE TORMENTA_STORM CLOUDS
Huber-1992-375-231	247	nubes quietas	clouds at rest	1489	CLOUD	NUBES QUIETAS_CLOUDS AT REST
Huber-1992-375-232	211	nuestras manos	our hands			NUESTRAS MANOS_OUR HANDS
Huber-1992-375-233	217	nuestro arco	our bow			NUESTRO ARCO_OUR BOW
Huber-1992-375-234	298	nuevo	new	1231	NEW	NUEVO_NEW
Huber-1992-375-235	238	nuez de la garganta	adam's apple	802	ADAM'S APPLE	NUEZ DE LA GARGANTA_ADAM’S APPLE
Huber-1992-375-236	104	nutria	otter	15	OTTER	NUTRIA, PERRO DE AGUA_OTTER
Huber-1992-375-237	278	oir	hear	1408	HEAR	OÍR_HEAR
Huber-1992-375-238	6	ojo	eye	1248	EYE	OJO_EYE
Huber-1992-375-239	362	oler	smell	1586	SMELL (PERCEIVE)	OLER_SMELL
Huber-1992-375-240	82	olla	cooking pot	1462	POT	OLLA_COOKING POT
Huber-1992-375-241	318	ombligo	navel	1838	NAVEL	OMBLIGO_NAVEL
Huber-1992-375-242	7	oreja	ear	1247	EAR	OREJA_EAR
Huber-1992-375-243	196	orejera, arete	ear ornament			OREJERA, ARETE_EAR ORNAMENT
Huber-1992-375-244	328	oscuro	dark	706	DARK	OSCURO_DARK
Huber-1992-375-245	109	oso hormiguero	anteater	181	ANTEATER	OSO HORMIGUERO_ANTEATER
Huber-1992-375-246	307	otro	other	197	OTHER	OTRO_OTHER
Huber-1992-375-247	110	paca, guagua	paca	316	PACA	PACA, GUAGUA, MAJAS_PACA
Huber-1992-375-248	44	padre	father	1217	FATHER	PADRE_FATHER
Huber-1992-375-249	127	pájaro	bird	937	BIRD	PÁJARO_BIRD
Huber-1992-375-250	150	pajonal, sabana	open grassland	260	SAVANNA	PAJONAL, SABANA_OPEN GRASSLAND
Huber-1992-375-251	160	palo	stick	1295	STICK	PALO_STICK
Huber-1992-375-252	52	pantano	swamp	1145	SWAMP	PANTANO_SWAMP
Huber-1992-375-253	136	pava de monte	guan	437	GUAN	PAVA DE MONTE_GUAN
Huber-1992-375-254	134	pavo	curassow	315	CURASSOW	PAYO_CURASSOW
Huber-1992-375-255	14	pecho	chest	1592	CHEST	PECHO_CHEST
Huber-1992-375-256	236	pelo largo	long hair	444	LONG HAIR	PELO LARGO_LONG HAIR
Huber-1992-375-257	36	pene	penis	1222	PENIS	PENE_PENIS
Huber-1992-375-258	360	pensar	think	2271	THINK	PENSAR_THINK
Huber-1992-375-259	221	pequeño	small	1246	SMALL	PEQUEÑO_SMALL
Huber-1992-375-260	132	perico	parakeet	886	PARAKEET	PERICO, PIHUICHO_PARAKEET
Huber-1992-375-261	101	perro	dog	2009	DOG	PERRO_DOG
Huber-1992-375-262	337	pesado	heavy	1210	HEAVY	PESADO_HEAVY
Huber-1992-375-263	138	pescado	fish	227	FISH	PESCADO_FISH
Huber-1992-375-264	128	picaflor, colibrí	hummingbird	1589	HUMMINGBIRD	PICAFLOR, COLIBRÍ_HUMMINGBIRD
Huber-1992-375-265	29	pie	foot	1301	FOOT	PIE_FOOT
Huber-1992-375-266	73	piedra	stone	857	STONE	PIEDRA_STONE
Huber-1992-375-267	251	piedrecillas	pebbles	961	PEBBLES	PIEDRECILLAS_PEBBLES
Huber-1992-375-268	31	piel	skin	763	SKIN	PIEL_SKIN
