ID	NUMBER	ENGLISH	ENGLISH_FREQUENCY	SPANISH_FREQUENCY	RUSSIAN_FREQUENCY	GREEK_FREQUENCY	PORTUGUESE_FREQUENCY	CHINESE_FREQUENCY	SWAHILI_FREQUENCY	CHILEAN_FREQUENCY	FINNISH_FREQUENCY	ESTONIAN_FREQUENCY	FRENCH_FREQUENCY	TURKISH_FREQUENCY	CZECH_FREQUENCY	POLISH_FREQUENCY	BASQUE_FREQUENCY	MAORI_FREQUENCY	TOK_PISIN_FREQUENCY	CONCEPTICON_ID	CONCEPTICON_GLOSS
Calude-2011-200-32	32	DRY (SUBSTANCE)	1.748188027	1.3796786917	2.0554547849	0.9813886582	1.8815748449	1.300160537	1.1303337685	1.4324704294	0.9115585964	1.8920946027	1.6440444928	1.6334684556	1.8524189929	1.5788683287	1.8876173003	1.278753601	2.8651233608	1398	DRY
Calude-2011-200-33	33	DULL (KNIFE)	1.2552725051	-0.531478917	1.5169318089	-0.7560027918	1.7531573217	1.9436923271	0.6532125138	-1.7501225268	0.5848232005	1	-0.3187587626	0.7781512504	1.1075491297	0.6059033304	0.5563025008		-	379	BLUNT
Calude-2011-200-34	34	DUST	1.414973348	1.3105058875	1.9915804572	1.1504669359	1.2797683081	1.6620018794	1.3802112417	1.3530395376	0.6004282739	1.6627578317	1.6847556221	1.361727836	1.7666358863	1.0832636683	1.6354837468	1.7708520116	0.9081321429	2	DUST
Calude-2011-200-35	35	EAR	1.7708520116	2.0082243219	2.3881012016	1.3236306089	1.6559916659	1.3794868137	2.0354297382	1.1758981964	0.7044331036	2.2988530764	1.806179974	1.5682017241	2.0197807304	1.6076217984	2.079181246	2.1139433523	2.0586692975	1247	EAR
Calude-2011-200-36	36	EARTH (SOIL)	1.9867717343	2.138766936	2.7941184254	2.0450577381	2.9852368062	1.9859650783	1.7558748557	1.8555326157	2.1893916637	2.8645110811	2.5196180122	1.8976270913	2.9650181575	2.3628007067	2.8992731873	3.3621053193	3.0652001646	1228	EARTH (SOIL)
Calude-2011-200-37	37	TO EAT	2.1583624921	2.4318365943	3.1411549175	1.9131978274	2.47321114	2.6786367241	3.0716979452	1.913413505	1.3144620246	2.4742162641	1.8881233073	2.1643528558	1.9385197252	2.6701509826	2.6246945313	3.0182843084	2.773151468	1336	EAT
Calude-2011-200-38	38	EGG	1.7923916895	1.3493346752	1.6603910984	0.735358902	1.6473829701	1.3416323358	1.5185139399	1.3425981179	0.4771893221	1.8129133566	1.2242740143	1.079181246	1.8085485512	1.1841865106	1.895422546	2.69019608	2.0630341029	744	EGG
Calude-2011-200-39	39	EYE	2.593286067	2.372153599	3.1168467394	2.1513413771	2.8169921016	2.3356584523	2.8003733549	2.0055903907	1.1510162911	3.0603200287	2.2496141023	3.2464985808	2.8267807674	2.6692796803	2.6986224297	1.8195439355	2.8589141202	1248	EYE
Calude-2011-200-40	40	TO FALL (DROP)	2.436162647	2.353882303	1.9964678903	2.3224993384	2.5245836195	2.0326187609	2.3829171351	2.323288777	0.8171373838	2.3201462861	1.8781194847	2.940018155	1.7994094796	1.9482825274	2.4000196351	2.414973348	2.9672084712	1280	FALL
Calude-2011-200-41	41	FAR	2.4593924878	1.9584795624	2.5981117333	1.9251253333	2.3288777255	2.1978592317	2.6897526961	1.8669695939	1.7658297285	2.3096301674	2.5113886518	2.0951693514	1.6093809443	1.7037688872	2.4176377397	1.8976270913	2.6821274335	1406	FAR
