ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	GREEK	LENGTH	FREQUENCY	NAME_AGREEMENT_PERCENT	VISUAL_COMPLEXITY_MEAN	GREEK_AOA_MEAN	GREEK_AOA_SD
Dimitropoulou-2009-260-214	214	Spool of thread 			θισζηή 	6	2.2	52.66	2.29	2.77	0.88
Dimitropoulou-2009-260-215	215	Spoon	1378	SPOON	θνπηάιη 	7	1.2	98.18	1.69	1.61	0.64
Dimitropoulou-2009-260-216	216	Squirrel	1628	SQUIRREL	ζθίνπξνο 	8	0.2	98.47	3.16	2.77	0.89
Dimitropoulou-2009-260-217	217	Star	1430	STAR	αζηέξη 	6	6.3	99.39	1.75	1.82	0.72
Dimitropoulou-2009-260-218	218	Stool	2058	STOOL	ζθακπό 	6	0.2	91.44	2.19	2.49	0.78
Dimitropoulou-2009-260-219	219	Stove	859	STOVE	θνπδίλα 	7	12.2	64.51	2.97	2.33	0.84
Dimitropoulou-2009-260-220	220	Strawberry	3138	STRAWBERRY	θξάνπια 	7	0.2	100.0	2.09	2.12	0.73
Dimitropoulou-2009-260-221	221	Suitcase	4005	SUITCASE	βαιίηζα 	7	3.9	100.0	2.36	2.42	0.77
Dimitropoulou-2009-260-222	222	Sun	1343	SUN	ήιηνο 	5	18.9	100.0	1.4	1.42	0.57
Dimitropoulou-2009-260-223	223	Swan	2837	SWAN	θύθλνο 	6	0.4	91.19	2.68	2.56	0.85
Dimitropoulou-2009-260-224	224	Sweater	4035	SWEATER	πνπιόβεξ 	8	1.5	77.30	2.04	2.29	0.83
Dimitropoulou-2009-260-225	225	Swing	3101	SWING	θνύληα 	6	1.6	97.55	2.02	1.54	0.68
