ID	NUMBER	ENGLISH	RUSSIAN	SEMANTIC_LINKS	CONCEPTICON_ID	CONCEPTICON_GLOSS
Starostin-2017-401-215	215	MOUTH	РОТ	DOOR; FACE; HOLE; LIP	674	MOUTH
Starostin-2017-401-216	216	NAIL (finger)	НОГОТЬ	FINGER; HOOF; HORN; SCRATCH	1258	FINGERNAIL
Starostin-2017-401-217	217	NAME	ИМЯ	CALL; WORD	1405	NAME
Starostin-2017-401-218	218	NARROW	УЗКИЙ	THIN1; THIN2	1267	NARROW
Starostin-2017-401-219	219	NAVEL	ПУПОК		1838	NAVEL
Starostin-2017-401-220	220	NEAR (adj.)	БЛИЗКИЙ	EDGE; SHORT; THIS	3735	NEAR (IN SPACE)
Starostin-2017-401-221	221	NECK	ШЕЯ	THROAT	1333	NECK
Starostin-2017-401-222	222	NEEDLE	ИГЛА		1382	NEEDLE (FOR SEWING)
Starostin-2017-401-223	223	NEST	ГНЕЗДО	HOUSE	539	NEST
Starostin-2017-401-224	224	NEW	НОВЫЙ	FRESH; GREEN; WHITE; YOUNG	1231	NEW
Starostin-2017-401-225	225	NIGHT	НОЧЬ	BLACK; DARK; EVENING	1233	NIGHT
Starostin-2017-401-226	226	NIT	ГНИДА	LOUSE	267	NIT
Starostin-2017-401-227	227	NOSE	НОС	BEAK; FACE; FRONT	1221	NOSE
Starostin-2017-401-228	228	NOT1 (indic.)	НЕ1 (изъяв.)	NOT2	1240	NOT
Starostin-2017-401-229	229	NOT2 (prohib.)	НЕ2 (запрет.)	NOT1	1269	NO
Starostin-2017-401-230	230	OIL (fat)	МАСЛО (жир)	FAT1	1484	OIL (ORGANIC SUBSTANCE)
Starostin-2017-401-231	231	OLD1 (of things)	СТАРЫЙ1 (о вещах)	YEAR	2113	OLD (USED)
Starostin-2017-401-232	232	OLD2 (of people)	СТАРЫЙ2 (о людях)	YEAR	2112	OLD (AGED)
Starostin-2017-401-233	233	ONE	ОДИН	OTHER; THAT1; THIS	1493	ONE
Starostin-2017-401-234	234	OPEN (vb.)	ОТКРЫВАТЬ		1156	OPEN
Starostin-2017-401-235	235	OTHER	ДРУГОЙ	ONE; TWO	197	OTHER
Starostin-2017-401-236	236	OUTSIDE (n.)	СНАРУЖИ			
Starostin-2017-401-237	237	PAINT (vb.)	РИСОВАТЬ		3194	PAINT (SOMETHING) OR PAINTING
Starostin-2017-401-238	238	PAIR	ПАРА	TWO	1888	PAIR
Starostin-2017-401-239	239	PALM	ЛАДОНЬ	HAND	1183	PALM OF HAND
Starostin-2017-401-240	240	PENIS	ЧЛЕН	MAN; TAIL	1222	PENIS
Starostin-2017-401-241	241	PERSON	ЧЕЛОВЕК	MAN; WHO	683	PERSON
Starostin-2017-401-242	242	PLACENTA	ПЛАЦЕНТА		3388	PLACENTA
Starostin-2017-401-243	243	POISON	ЯД		655	POISON
Starostin-2017-401-244	244	POUR	ЛИТЬ	FLOW	1487	POUR
Starostin-2017-401-245	245	PREGNANT	БЕРЕМЕННАЯ	FULL; HEAVY	1123	PREGNANT
Starostin-2017-401-246	246	PRESS (vb.)	ДАВИТЬ (жать)	MILK2	1913	PRESS
Starostin-2017-401-247	247	PULL (vb.)	ТЯНУТЬ		1455	PULL
Starostin-2017-401-248	248	PUPPY	ЩЕНОК	DOG	74	PUPPY
Starostin-2017-401-249	249	PUS	ГНОЙ	ROTTEN	1808	PUS
Starostin-2017-401-250	250	PUSH	ТОЛКАТЬ		1452	PUSH
Starostin-2017-401-251	251	PUT (down)	КЛАСТЬ	DO; LIE; TAKE; THROW	998	PUT
Starostin-2017-401-252	252	RAIN1 (n.)	ДОЖДЬ	RAIN2; SKY; WATER; WET; WINTER	658	RAIN (PRECIPITATION)
Starostin-2017-401-253	253	RAIN2 (vb.)	ДОЖДИТЬ	FALL; RAIN1	1253	RAIN (RAINING)
Starostin-2017-401-254	254	RAW	СЫРОЙ	FRESH; MEAT; SOUR; WET	1959	RAW
Starostin-2017-401-255	255	RED	КРАСНЫЙ	BLOOD	156	RED
Starostin-2017-401-256	256	REST (vb.)	ОТДЫХАТЬ	BREATHE; LIVE2	168	REST
