ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	SPANISH	GBIF_ID	GBIF_NAME	KINGDOM	CLASS	GENUS
Brid-2022-324-48	48	Schinopsis balansae				3190533	Schinopsis balansae Engl.	Plantae	Magnoliopsida	Schinopsis
Brid-2022-324-49	49	Schinopsis lorentzii				3190531	Schinopsis lorentzii Engl.	Plantae	Magnoliopsida	Schinopsis
Brid-2022-324-50	50	red	156	RED	rojo					
Brid-2022-324-51	51	Pycnoporus sanguineus				5246472	Pycnoporus sanguineus (L.) Murrill	Fungi	Agaricomycetes	Pycnoporus
Brid-2022-324-52	52	tree (cf 08.600)	906	TREE	árbol					
Brid-2022-324-53	53	ear	1247	EAR	oreja					
Brid-2022-324-54	54	Pectis odorata				5405564	Pectis odorata Griseb.	Plantae	Magnoliopsida	Pectis
Brid-2022-324-55	55	bee	665	BEE	abeja					
Brid-2022-324-56	56	hand	1277	HAND	mano					
Brid-2022-324-57	57	arm	1673	ARM	brazo					
Brid-2022-324-58	58	beard	678	BEARD	barba					
Brid-2022-324-59	59	mouth	674	MOUTH	boca					
Brid-2022-324-60	60	door, gate	1567	DOOR	puerta					
Brid-2022-324-61	61	chin	1510	CHIN	mentón, barbilla					
Brid-2022-324-62	62	lip	478	LIP	labio					
Brid-2022-324-63	63	thumb	1781	THUMB	pulgar					
Brid-2022-324-64	64	finger	1303	FINGER	dedo					
Brid-2022-324-65	65	large, big	1202	BIG	grande					
Brid-2022-324-66	66	mother	1216	MOTHER	madre					
Brid-2022-324-67	67	lake	624	LAKE	lago					
Brid-2022-324-68	68	womb	804	WOMB	matriz, vientre					
Brid-2022-324-69	69	parents	505	PARENTS	padres					
Brid-2022-324-70	70	eyelid	17	EYELID	párpado					
Brid-2022-324-71	71	window	1375	WINDOW	ventana					
Brid-2022-324-72	72	house	1252	HOUSE	casa					
Brid-2022-324-73	73	village	930	VILLAGE	pueblo					
Brid-2022-324-74	74	seed	714	SEED	semilla					
Brid-2022-324-75	75	skin, hide	763	SKIN	piel, cutis, pellejo					
Brid-2022-324-76	76	cover	761	COVER	cubrir					
Brid-2022-324-77	77	nipple, teat	796	NIPPLE	pezón					
Brid-2022-324-78	78	breast (of woman)	1402	BREAST	seno					
Brid-2022-324-79	79	head	1256	HEAD	cabeza					
Brid-2022-324-80	80	beak	73	BEAK	pico					
Brid-2022-324-81	81	spine	805	SPINE	espinazo, espina dorsal					
Brid-2022-324-82	82	back	1291	BACK	espalda					
Brid-2022-324-83	83	bone	1394	BONE	hueso					
Brid-2022-324-84	84	vein, artery	525	BLOOD VESSEL	vena, arteria					
Brid-2022-324-85	85	blood	946	BLOOD	sangre					
Brid-2022-324-86	86	path	2252	PATH	camino, senda					
Brid-2022-324-87	87	place	723	PLACE (POSITION)	lugar, sitio					
Brid-2022-324-88	88	skull	1605	SKULL	cráneo, calavera					
Brid-2022-324-89	89	fur	580	FUR	piel (de animal)					
Brid-2022-324-90	90	bark	1204	BARK	corteza					
Brid-2022-324-91	91	fishscale	266	SCALE	escama					
Brid-2022-324-92	92	cloud	1489	CLOUD	nube					
Brid-2022-324-93	93	sky	1732	SKY	cielo					
Brid-2022-324-94	94	fingernail	1258	FINGERNAIL	uña					
Brid-2022-324-95	95	claw	72	CLAW	garra					
Brid-2022-324-96	96	fin (dorsal)	213	FIN	aleta					
Brid-2022-324-97	97	fish	227	FISH	pez, pescado					
Brid-2022-324-98	98	wing	1257	WING	ala					
Brid-2022-324-99	99	palm of hand	1183	PALM OF HAND	palma de la mano					
Brid-2022-324-100	100	small, little	1246	SMALL	chico, pequeño					
Brid-2022-324-101	101	child	1304	CHILD (YOUNG HUMAN)	niño					
Brid-2022-324-102	102	horn	1393	HORN (ANATOMY)	cuerno					
Brid-2022-324-103	103	club	1763	CLUB	macana, garrote					
Brid-2022-324-104	104	soul, spirit	811	SOUL	alma					
Brid-2022-324-105	105	shade, shadow	1388	SHADE	sombra					
Brid-2022-324-106	106	year	1226	YEAR	año					
Brid-2022-324-107	107	summer	1342	SUMMER	verano					
Brid-2022-324-108	108	Prosopis alba				5358528	Prosopis alba Griseb.	Plantae	Magnoliopsida	Prosopis
Brid-2022-324-109	109	lightning	1654	LIGHTNING	relámpago					
Brid-2022-324-110	110	fight (vb)	1423	FIGHT	pelear					
Brid-2022-324-111	111	kill	1417	KILL	matar					
Brid-2022-324-112	112	guitara	3090	GUITAR	guitarra					
Brid-2022-324-113	113	horse (equine)	615	HORSE	caballo					
Brid-2022-324-114	114	tail	1220	TAIL	cola					
