ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	NUMBER	DSS_ID	URL	GLOSS	OCCURRENCES	OMEGAWIKI
Bulakh-2013-870-122	86e85b13-b2f4-4756-9b01-056dacf629a4	CROW	122	405	http://semshifts.iling-ran.ru/show-meaning.html?id=405	crow	3	388727
Bulakh-2013-870-123	40a10747-e61e-4106-adda-9b1d42f87135	CRUEL	123	408	http://semshifts.iling-ran.ru/show-meaning.html?id=408	cruel	3	156727
Bulakh-2013-870-124	22fcf4dc-f2d8-4a00-8fcc-b709efb216b6	CUCUMBER	124	410	http://semshifts.iling-ran.ru/show-meaning.html?id=410	cucumber	3	156381
Bulakh-2013-870-125	NAN		125	412	http://semshifts.iling-ran.ru/show-meaning.html?id=412	cunning person	5	NAN
Bulakh-2013-870-126	2fcb23ee-89f0-46cf-8fec-8ee4e19ac6f8	RIBES	126	415	http://semshifts.iling-ran.ru/show-meaning.html?id=415	currant-bush	3	941843
Bulakh-2013-870-127	a21e5ea7-5605-4032-821c-f7c509b23583	CURVED	127	416	http://semshifts.iling-ran.ru/show-meaning.html?id=416	curved	7	699272
Bulakh-2013-870-128	b808622c-62ba-4a0c-b0db-b5c89f79840d	DANDELION	128	419	http://semshifts.iling-ran.ru/show-meaning.html?id=419	dandelion (Taraxacum)	4	740921
Bulakh-2013-870-129	449f8a47-1ed4-475f-9841-93275e7dd4c8	DARK	129	423	http://semshifts.iling-ran.ru/show-meaning.html?id=423	dark (adj.)	14	335607
Bulakh-2013-870-130	4a388ad7-7c78-4b53-b5c3-d21d7ee0f808	DAY OF LIGHT	130	429	http://semshifts.iling-ran.ru/show-meaning.html?id=429	day	7	5477
	e6429073-7606-4ff5-90d3-5be0ea04f11e	DAY 24 HOURS	130	429	http://semshifts.iling-ran.ru/show-meaning.html?id=429	day	7	5533
Bulakh-2013-870-131	bacf57ff-c7c7-4e48-98c3-675cae1150f3	DEAF	131	433	http://semshifts.iling-ran.ru/show-meaning.html?id=433	deaf	4	428203
Bulakh-2013-870-132	b1d4982e-cd3e-4f1d-b021-962c8fad49c5	DECEIT	132	434	http://semshifts.iling-ran.ru/show-meaning.html?id=434	deception	3	1030671
Bulakh-2013-870-133	77970256-0860-47fa-8cbe-a544d6c4c519	DEEP	133	435	http://semshifts.iling-ran.ru/show-meaning.html?id=435	deep	8	6535
Bulakh-2013-870-134	905fb98e-4f08-4f2c-918b-5d541954c11b	DEFECT	134	436	http://semshifts.iling-ran.ru/show-meaning.html?id=436	defect	4	954604
Bulakh-2013-870-135	78abbbce-9713-4b6c-bc5e-6771c9a1d64f	THICK	135	438	http://semshifts.iling-ran.ru/show-meaning.html?id=438	dense, thick (liquid)	4	5503
Bulakh-2013-870-136	10840d35-3cc5-4920-82e2-4b078e4f58cc	DEW	136	447	http://semshifts.iling-ran.ru/show-meaning.html?id=447	dew	4	921645
Bulakh-2013-870-137	76322c61-947f-4723-a8ee-909869cdcf09	DIFFICULT	137	449	http://semshifts.iling-ran.ru/show-meaning.html?id=449	difficult	12	159359
Bulakh-2013-870-138	0fe4b388-ced1-47dd-b0f9-5f49fa120a4f	DIRTY	138	452	http://semshifts.iling-ran.ru/show-meaning.html?id=452	dirty	3	5483
Bulakh-2013-870-139	231c2566-622f-479b-a007-c60febdb1a57	DISEASE	139	453	http://semshifts.iling-ran.ru/show-meaning.html?id=453	disease	3	941
Bulakh-2013-870-140	4ad0a1f6-8320-4a2f-b2f7-a01384811108	MESS	140	455	http://semshifts.iling-ran.ru/show-meaning.html?id=455	disorder, mess	3	470273
Bulakh-2013-870-141	b2f874bc-ab83-4c15-9726-a511aab9e38f	DOG	141	459	http://semshifts.iling-ran.ru/show-meaning.html?id=459	dog	10	966
Bulakh-2013-870-142	7acbf2ed-e7a7-4fda-9fc9-743f27ca5d4d	DOG-ROSE	142	460	http://semshifts.iling-ran.ru/show-meaning.html?id=460	dog-rose	3	1580939
Bulakh-2013-870-143	3f7f07aa-aa85-4bb5-919a-d677ef30af3d	DOLL	143	461	http://semshifts.iling-ran.ru/show-meaning.html?id=461	doll	6	683096
Bulakh-2013-870-144	392c931f-3bf2-4969-a362-52a2b4a3cf83	DONKEY	144	463	http://semshifts.iling-ran.ru/show-meaning.html?id=463	donkey	3	8030
Bulakh-2013-870-145	b727ce19-9ba6-4383-8005-13688ab9ffc2	DOOR	145	465	http://semshifts.iling-ran.ru/show-meaning.html?id=465	door	9	6430
Bulakh-2013-870-146	ae30cf0a-f18b-4858-a4c6-4c3dd3bc8876	DRUNK	146	476	http://semshifts.iling-ran.ru/show-meaning.html?id=476	drunk	8	6098
Bulakh-2013-870-147	0eb95172-31e6-4b34-97da-77c582866431	DRY	147	479	http://semshifts.iling-ran.ru/show-meaning.html?id=479	dry	16	5989
Bulakh-2013-870-148	4bc4b882-f5c8-418f-aead-b04334b1cd36	DUMB	148	480	http://semshifts.iling-ran.ru/show-meaning.html?id=480	dumb	5	623922
Bulakh-2013-870-149	35d43413-8a16-4b92-b027-4a33df05eb97	DUST	149	483	http://semshifts.iling-ran.ru/show-meaning.html?id=483	dust	4	1009
Bulakh-2013-870-150	18f41536-cbfc-4018-ab18-ff26d663e5ad	EAR	150	485	http://semshifts.iling-ran.ru/show-meaning.html?id=485	ear	10	5510
Bulakh-2013-870-151	bafcf6f6-1dfa-4c7d-a4f5-c98cfc0118fb	SPIKE	151	486	http://semshifts.iling-ran.ru/show-meaning.html?id=486	ear, spike (of a grain plant)	3	5512
Bulakh-2013-870-152	8a57a10b-7521-499c-99e1-f01b9a9a8f1f	EARLY	152	487	http://semshifts.iling-ran.ru/show-meaning.html?id=487	early	3	331892
Bulakh-2013-870-153	e0cd5c3b-3f6b-4da2-9d2b-334090d6ad30	LAND	153	489	http://semshifts.iling-ran.ru/show-meaning.html?id=489	earth	5	2063
