ID	NUMBER	ENGLISH	GLOSS_IN_SOURCE	CONCEPTICON_ID	CONCEPTICON_GLOSS	BUCK_1949_1110
Tryon-1995-1310-179	03.560	GOOSE	GOOSE	1187	GOOSE	Buck-1949-1110-135
Tryon-1995-1310-180	03.570	DUCK	DUCK	1360	DUCK	Buck-1949-1110-136
Tryon-1995-1310-181	03.580	NEST	NEST	539	NEST
Tryon-1995-1310-182	03.581	BIRD	BIRD	937	BIRD
Tryon-1995-1310-183	03.582	SEAGULL	SEAGULL	950	SEAGULL
Tryon-1995-1310-184	03.583	HERON	HERON	758	HERON
Tryon-1995-1310-185	03.584	EAGLE	EAGLE	1905	EAGLE
Tryon-1995-1310-186	03.585	HAWK	HAWK	307	HAWK
Tryon-1995-1310-187	03.856	VULTURE	VULTURE	1185	VULTURE
Tryon-1995-1310-188	03.591	BAT	BAT	1793	BAT
Tryon-1995-1310-189	03.592	PARROT	PARROT	882	PARROT
Tryon-1995-1310-190	03.593	CROW	CROW	913	CROW
Tryon-1995-1310-191	03.594	DOVE	DOVE	1853	DOVE
Tryon-1995-1310-192	03.596	OWL	OWL	735	OWL
Tryon-1995-1310-193	03.610	DOG	DOG	2009	DOG	Buck-1949-1110-137
Tryon-1995-1310-194	03.614	RABBIT	RABBIT	1136	RABBIT
Tryon-1995-1310-195	03.620	CAT	CAT	1208	CAT	Buck-1949-1110-139
Tryon-1995-1310-196	03.622	OPOSSUM	OPOSSUM	309	OPOSSUM
Tryon-1995-1310-197	03.630	MOUSE, RAT	MOUSE, RAT	2139	MUROID (MOUSE OR RAT)	Buck-1949-1110-140
Tryon-1995-1310-198	03.650	FISH	FISH	227	FISH	Buck-1949-1110-142
Tryon-1995-1310-199	03.652	FIN (dorsal)	FIN (dorsal)	213	FIN
Tryon-1995-1310-200	03.653	FISHSCALE	FISHSCALE	266	SCALE
Tryon-1995-1310-201	03.654	GILL	GILL	1916	GILL
Tryon-1995-1310-202	03.655	SHELL	SHELL	598	SHELL
Tryon-1995-1310-203	03.661	SHARK	SHARK	1110	SHARK
Tryon-1995-1310-204	03.662	PORPOISE, DOLPHIN	PORPOISE, DOLPHIN	1479	DOLPHIN
Tryon-1995-1310-205	03.663	WHALE	WHALE	957	WHALE
Tryon-1995-1310-206	03.664	STINGRAY	STINGRAY	1910	STINGRAY
Tryon-1995-1310-207	03.665	FRESHWATER EEL	FRESHWATER EEL	1013	FRESHWATER EEL
Tryon-1995-1310-208	03.710	WOLF	WOLF	522	WOLF	Buck-1949-1110-143
Tryon-1995-1310-209	03.720	LION	LION	1386	LION	Buck-1949-1110-144
Tryon-1995-1310-210	03.730	BEAR	BEAR	1820	BEAR	Buck-1949-1110-145
Tryon-1995-1310-211	03.740	FOX	FOX	1312	FOX	Buck-1949-1110-146
Tryon-1995-1310-212	03.750	DEER	DEER	1936	DEER	Buck-1949-1110-147
Tryon-1995-1310-213	03.760	MONKEY	MONKEY	1350	MONKEY	Buck-1949-1110-148
Tryon-1995-1310-214	03.770	ELEPHANT	ELEPHANT	1290	ELEPHANT	Buck-1949-1110-150
Tryon-1995-1310-215	03.780	CAMEL	CAMEL	1871	CAMEL	Buck-1949-1110-149
Tryon-1995-1310-216	03.810	INSECT	INSECT	620	INSECT	Buck-1949-1110-152
Tryon-1995-1310-217	03.811	LOUSE	LOUSE	1392	LOUSE
Tryon-1995-1310-218	03.812	NIT (louse egg)	NIT (louse egg)	267	NIT
Tryon-1995-1310-219	03.813	FLEA	FLEA	232	FLEA
Tryon-1995-1310-220	03.814	CENTIPEDE	CENTIPEDE	1974	CENTIPEDE
Tryon-1995-1310-221	03.815	SCORPION	SCORPION	1538	SCORPION
Tryon-1995-1310-222	03.816	COCKROACH	COCKROACH	1575	COCKROACH
Tryon-1995-1310-223	03.817	ANT	ANT	587	ANT
Tryon-1995-1310-224	03.818	SPIDER	SPIDER	843	SPIDER
Tryon-1995-1310-225	03.819	SPIDER WEB	SPIDER WEB	1065	SPIDER WEB
Tryon-1995-1310-226	03.820	BEE	BEE	665	BEE	Buck-1949-1110-153
Tryon-1995-1310-227	03.821	BEEWAX	BEEWAX	1931	BEESWAX
Tryon-1995-1310-228	03.822	BEEHIVE	BEEHIVE	88	BEEHIVE
Tryon-1995-1310-229	03.823	WASP	WASP	1517	WASP
Tryon-1995-1310-230	03.830	FLY	FLY	1504	FLY (INSECT)	Buck-1949-1110-154
Tryon-1995-1310-231	03.831	SANDFLY (MIDGE), GNAT	SANDFLY (MIDGE), GNAT	95	SANDFLY
Tryon-1995-1310-232	03.832	MOSQUITO	MOSQUITO	1509	MOSQUITO
Tryon-1995-1310-233	03.840	WORM	WORM	1219	WORM	Buck-1949-1110-155
Tryon-1995-1310-234	03.850	SNAKE	SNAKE	730	SNAKE	Buck-1949-1110-156
Tryon-1995-1310-235	03.910	FIREFLY	FIREFLY	206	FIREFLY
Tryon-1995-1310-236	03.920	BUTTERFLY	BUTTERFLY	1791	BUTTERFLY
Tryon-1995-1310-237	03.930	GRASSHOPPER	GRASSHOPPER	607	GRASSHOPPER
Tryon-1995-1310-238	03.940	SNAIL	SNAIL	1543	SNAIL
Tryon-1995-1310-239	03.950	FROG	FROG	503	FROG
Tryon-1995-1310-240	03.960	LIZARD	LIZARD	632	LIZARD
Tryon-1995-1310-241	03.970	CROCODILE, ALLIGATOR	CROCODILE, ALLIGATOR	1857	CROCODILE
Tryon-1995-1310-242	03.980	TURTLE	TURTLE	112	TURTLE
Tryon-1995-1310-243	04.110	BODY	BODY	1480	BODY	Buck-1949-1110-157
Tryon-1995-1310-244	04.120	SKIN, HIDE	SKIN, HIDE	763	SKIN	Buck-1949-1110-158
Tryon-1995-1310-245	04.130	FLESH	FLESH	2259	FLESH	Buck-1949-1110-159
Tryon-1995-1310-246	04.140	HAIR (head)	HAIR (head)	2648	HAIR (HEAD)	Buck-1949-1110-160
Tryon-1995-1310-247	04.142	BEARD	BEARD	678	BEARD	Buck-1949-1110-161
Tryon-1995-1310-248	04.144	BODY HAIR	BODY HAIR	189	HAIR (BODY)
Tryon-1995-1310-249	04.145	PUBIC HAIR	PUBIC HAIR	36	PUBIC HAIR
Tryon-1995-1310-250	04.146	DANDRUFF	DANDRUFF	576	DANDRUFF
Tryon-1995-1310-251	04.150	BLOOD	BLOOD	946	BLOOD	Buck-1949-1110-162
Tryon-1995-1310-252	04.151	VEIN, ARTERY	VEIN, ARTERY	525	BLOOD VESSEL
Tryon-1995-1310-253	04.160	BONE	BONE	1394	BONE	Buck-1949-1110-163
Tryon-1995-1310-254	04.162	RIB	RIB	801	RIB	Buck-1949-1110-1109
Tryon-1995-1310-255	04.170	HORN	HORN	1393	HORN (ANATOMY)	Buck-1949-1110-164
Tryon-1995-1310-256	04.180	TAIL	TAIL	1220	TAIL	Buck-1949-1110-165
Tryon-1995-1310-257	04.190	BACK	BACK	1291	BACK	Buck-1949-1110-166
Tryon-1995-1310-258	04.191	SPINE	SPINE	805	SPINE
Tryon-1995-1310-259	04.200	HEAD	HEAD	1256	HEAD
Tryon-1995-1310-260	04.201	SIDE OF HEAD, TEMPLE	SIDE OF HEAD, TEMPLE	1604	TEMPLES
Tryon-1995-1310-261	04.202	SKULL	SKULL	1605	SKULL	Buck-1949-1110-168
Tryon-1995-1310-262	04.203	BRAIN	BRAIN	1583	BRAIN	Buck-1949-1110-169
Tryon-1995-1310-263	04.204	FACE	FACE	1560	FACE	Buck-1949-1110-170
Tryon-1995-1310-264	04.205	FOREHEAD	FOREHEAD	123	FOREHEAD	Buck-1949-1110-171
Tryon-1995-1310-265	04.207	JAW	JAW	798	JAW	Buck-1949-1110-173
Tryon-1995-1310-266	04.208	CHEEK	CHEEK	1730	CHEEK	Buck-1949-1110-174
Tryon-1995-1310-267	04.209	CHIN	CHIN	1510	CHIN	Buck-1949-1110-175
Tryon-1995-1310-268	04.210	EYE	EYE	1248	EYE	Buck-1949-1110-176
Tryon-1995-1310-269	04.212	EYEBROW	EYEBROW	1173	EYEBROW
Tryon-1995-1310-270	04.213	EYELID	EYELID	17	EYELID
Tryon-1995-1310-271	04.214	EYELASH	EYELASH	1540	EYELASH
Tryon-1995-1310-272	04.215	BLINK	BLINK	1655	BLINK
Tryon-1995-1310-273	04.220	EAR	EAR	1247	EAR	Buck-1949-1110-177
Tryon-1995-1310-274	04.221	EARLOBE	EARLOBE	18	EARLOBE
Tryon-1995-1310-275	04.222	EARWAX	EARWAX	32	EARWAX
Tryon-1995-1310-276	04.230	NOSE	NOSE	1221	NOSE	Buck-1949-1110-178
Tryon-1995-1310-277	04.231	NOSTRIL	NOSTRIL	1178	NOSTRIL
Tryon-1995-1310-278	04.232	MUCUS (nasal)	MUCUS (nasal)	208	NASAL MUCUS (SNOT)
Tryon-1995-1310-279	04.240	MOUTH	MOUTH	674	MOUTH	Buck-1949-1110-179
Tryon-1995-1310-280	04.241	BEAK	BEAK	73	BEAK
