ID	NUMBER	ENGLISH	KANJI	KANA	ROMAJI	CONCEPTICON_ID	CONCEPTICON_GLOSS
Huisman-2025-255-212	212	there	彼処	あそこ	asoko	1937	THERE
Huisman-2025-255-213	213	thick (cylindrical)	太い	ふとい	futoi	1244	THICK
Huisman-2025-255-214	214	thick (2D)	厚い	あつい	atsui	1244	THICK
Huisman-2025-255-215	215	thin (cylindrical)	細い	ほそい	hosoi	2308	THIN
Huisman-2025-255-216	216	thin (2D)	薄い	うすい	usui	2308	THIN
Huisman-2025-255-217	217	to think	思う	おもう	omou	2271	THINK
Huisman-2025-255-218	218	this	此れ	これ	kore	1214	THIS
Huisman-2025-255-219	219	thou (pol.)	貴方	あなた	anata	1215	THOU
Huisman-2025-255-220	220	thou (col.)	お前	おまえ	omae	1215	THOU
Huisman-2025-255-221	221	three	三つ	みっつ	mittsu	492	THREE
Huisman-2025-255-222	222	to throw	投げる	なげる	nageru	1456	THROW
Huisman-2025-255-223	223	thunder	雷	かみなり	kaminari	1150	THUNDER
Huisman-2025-255-224	224	to tie	結ぶ	むすぶ	musubu	1917	TIE
Huisman-2025-255-225	225	tongue	舌	した	shita	1205	TONGUE
Huisman-2025-255-226	226	tooth	歯	は	ha	1380	TOOTH
Huisman-2025-255-227	227	tree	木	き	ki	906	TREE
Huisman-2025-255-228	228	to turn	曲がる	まがる	magaru	1588	TURN
Huisman-2025-255-229	229	two	二つ	ふたつ	futatsu	1498	TWO
Huisman-2025-255-230	230	thigh	腿	もも	momo	471	UPPER LEG (THIGH)
Huisman-2025-255-231	231	to walk	歩く	あるく	aruku	1443	WALK
Huisman-2025-255-232	232	warm	暖かい	あたたかい	atatakai	1232	WARM
Huisman-2025-255-233	233	to wash	洗う	あらう	arau	1453	WASH
Huisman-2025-255-234	234	water	水	みず	mizu	948	WATER
Huisman-2025-255-235	235	we	私達	わたしたち	watashitachi	1212	WE
Huisman-2025-255-236	236	wet	濡れる	ぬれる	nureru	1726	WET
Huisman-2025-255-237	237	what?	何	なに	nani	1236	WHAT
Huisman-2025-255-238	238	when?	何時	いつ	itsu	1238	WHEN
Huisman-2025-255-239	239	where?	何処	どこ	doko	1237	WHERE
Huisman-2025-255-240	240	white	白い	しろい	shiroi	1335	WHITE
Huisman-2025-255-241	241	who?	誰	だれ	dare	1235	WHO
Huisman-2025-255-242	242	wide	広い	ひろい	hiroi	1243	WIDE
Huisman-2025-255-243	243	wife	妻	つま	tsuma	1199	WIFE
Huisman-2025-255-244	244	wind	風	かぜ	kaze	960	WIND
Huisman-2025-255-245	245	to wipe	拭く	ふく	fuku	1454	WIPE
Huisman-2025-255-246	246	with	と	と	to	1340	WITH
Huisman-2025-255-247	247	woman	女	おんな	onna	962	WOMAN
Huisman-2025-255-248	248	to work	働く	はたらく	hataraku	1086	WORK (ACTIVITY)
Huisman-2025-255-249	249	worm	蚯蚓	みみず	mimizu	1219	WORM
Huisman-2025-255-250	250	yawn	欠伸	あくび	akubi	1028	YAWN
Huisman-2025-255-251	251	year	年	とし	toshi	1226	YEAR
Huisman-2025-255-252	252	yellow	黄色い	きいろい	kiiroi	1424	YELLOW
Huisman-2025-255-253	253	yesterday	昨日	きのう	kinou	1174	YESTERDAY
Huisman-2025-255-254	254	you (pol.)	貴方達	あなたたち	anatatachi	1213	YOU
Huisman-2025-255-255	255	you (col.)	お前ら	おまえら	omaera	1213	YOU
