ID	NUMBER	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	IDS_IN_SOURCE	LINKS	POLYSEMY_CLASS	FREQUENCY_CLASS	DEGREE_CLASS	RELATION_TYPE	FORWARD_SCORES	BACKWARD_SCORES
Lapesa-2014-772-379	379	kill	verb	1417	KILL	415:to-kill-to-revive:0 416:to-kill-to-murder:0 417:to-kill-to-revive:0 418:to-kill-to-end:0 419:to-kill-to-harm:0 420:to-kill-to-terminate:0	→558 →439 →558 →228 →307 →661	poli3 poli3 poli3 poli3 poli3 poli3	freqMax freqMax freqMax freqMax freqMax freqMax	NOT HIGH NOT HIGH LOW LOW	HYP SYN SYN HYP HYP SYN	0 4.4 0 4.6 4.6 4.1	0 4.6 0 4.4 4.8 4.5
Lapesa-2014-772-380	380	kiwi	noun	3247	KIWIFRUIT	724:kiwi-vegetable:0 725:kiwi-gooseberry:0 726:kiwi-fruit:0	→738 →292 →278	poli3 poli3 poli3	freqMin freqMin freqMin	NOT LOW HIGH	SYN SYN SYN	0 1.2 3	0.3 0.7 2.9
Lapesa-2014-772-381	381	know	verb	3626	KNOW	253:to-accustom-to-know:1	←11	poli1	freqMed	LOW	SYN	2.7	2.6
Lapesa-2014-772-382	382	knowledge	noun	3874	KNOWLEDGE	673:education-knowledge:1	←214	poli3	freqMax	LOW	HYP	3.3	2.7
Lapesa-2014-772-383	383	known	adjective			202:unknown-known:1	←711	poli3	freqMax	HIGH	ANT	5	5
Lapesa-2014-772-384	384	labour	verb			541:to-toil-to-labour:1	←669	poli1	freqMed	LOW	HYP	3.2	4.4
Lapesa-2014-772-385	385	lack	verb	2329	LACK (NOT HAVE)	312:to-consist-to-lack:1	←134	poli1	freqMax	LOW	ANT	3.6	3.3
Lapesa-2014-772-386	386	landscape	noun	2342	LANDSCAPE	819:skyline-landscape:1	←605	poli2	freqMed	LOW	SYN	2.6	2.1
Lapesa-2014-772-387	387	lawful	adjective			207:unlawful-lawful:1 208:unlawful-lawful:1 213:unlawful-lawful:1	←712 ←712 ←712	poli3 poli3 poli3	freqMed freqMed freqMed	HIGH NOT NOT	ANT SYN HYP	4.9 0 0	5 0 0
Lapesa-2014-772-388	388	layperson	noun			761:pastor-layperson:1	←479	poli1	freqMed	NOT	SYN	0.1	0.4
Lapesa-2014-772-389	389	leader	noun	4097	LEADER	694:emperor-leader:1	←222	poli3	freqMed	LOW	HYP	4.8	5
Lapesa-2014-772-390	390	leaflet	noun			727:leaflet-book:0 728:leaflet-flyer:0 729:leaflet-pamphlet:0	→75 →267 →469	poli3 poli3 poli3	freqMax freqMax freqMax	NOT LOW HIGH	SYN SYN SYN	3 4.8 4.8	1.6 4.7 4.9
Lapesa-2014-772-391	391	learner	noun			684:educator-learner:1	←215	poli1	freqMax	LOW	ANT	4.2	3.8
Lapesa-2014-772-392	392	learning	noun			674:education-learning:1 675:education-learning:1	←214 ←214	poli3 poli3	freqMax freqMax	HIGH LOW	HYP SYN	3.5 3.9	3.8 3.7
Lapesa-2014-772-393	393	legal	adjective			211:unlawful-legal:1	←712	poli3	freqMed	LOW	ANT	4.9	4.9
Lapesa-2014-772-394	394	lengthen	verb	3700	LENGTHEN	422:to-lop-to-lengthen:1 425:to-lop-to-lengthen:1	←406 ←406	poli2 poli2	freqMin freqMin	NOT NOT	SYN HYP	0.3 0	0 0.2
Lapesa-2014-772-395	395	liberal	adjective			125:progressive-liberal:1	←510	poli3	freqMax	NOT	ANT	0.7	1.4
Lapesa-2014-772-396	396	lie	noun	2826	LIE (FALSEHOOD)	799:rumour-lie:1	←565	poli1	freqMax	HIGH	SYN	1.9	2.4
Lapesa-2014-772-397	397	light	adjective	1052	LIGHT (WEIGHT)	241:weightless-light:1 245:weightless-light:1	←751 ←751	poli1 poli1	freqMin freqMin	NOT HIGH	ANT HYP	0.4 4.8	0.9 4.375
Lapesa-2014-772-398	398	like	verb	1117	LIKE	364:to-fancy-to-like:1	←254	poli2	freqMed	HIGH	SYN	4.5	4.6
Lapesa-2014-772-399	399	likely	adjective			116:probable-likely:1 117:probable-likely:1 123:probable-likely:1	←508 ←508 ←508	poli3 poli3 poli3	freqMax freqMax freqMax	NOT HIGH HIGH	ANT SYN HYP	0.1 4.9 4.6	0 4.8 4.5
Lapesa-2014-772-400	400	limit	verb			316:to-constrict-to-limit:1	←137	poli2	freqMin	LOW	HYP	4.6	4.6
Lapesa-2014-772-401	401	list	verb			300:to-catalogue-to-list:1	←91	poli2	freqMed	LOW	HYP	4.6	4.8
Lapesa-2014-772-402	402	listen	verb	1608	LISTEN	489:to-screech-to-listen:1	←580	poli3	freqMin	LOW	ANT	3.2	2.7
Lapesa-2014-772-403	403	literal	adjective			111:poetic-literal:1	←494	poli2	freqMed	LOW	ANT	3.9	4
Lapesa-2014-772-404	404	live	verb	1422	BE ALIVE	377:to-inhabit-to-live:1 379:to-inhabit-to-live:1 380:to-inhabit-to-live:1	←358 ←358 ←358	poli2 poli2 poli2	freqMax freqMax freqMax	HIGH HIGH NOT	SYN HYP ANT	4.6 3.6 0.7	4 4.6 0.5
Lapesa-2014-772-405	405	lobster	noun	2397	LOBSTER	730:lobster-fish:0 731:lobster-crayfish:0 732:lobster-crustacean:0 733:lobster-crustacean:0 734:lobster-fish:0 735:lobster-seafood:0	→261 →148 →155 →155 →261 →583	poli2 poli2 poli2 poli2 poli2 poli2	freqMed freqMed freqMed freqMed freqMed freqMed	NOT LOW HIGH LOW NOT HIGH	HYP SYN SYN HYP SYN HYP	1.4 2.5 3.1 5 1.6 4.9	1.2 2.3 2.7 4.9 0.7 5
Lapesa-2014-772-406	406	lop	verb			421:to-lop-to-cut:0 422:to-lop-to-lengthen:0 423:to-lop-to-cut:0 424:to-lop-to-trim:0 425:to-lop-to-lengthen:0 426:to-lop-to-hit:0	→157 →394 →157 →677 →394 →317	poli2 poli2 poli2 poli2 poli2 poli2	freqMin freqMin freqMin freqMin freqMin freqMin	HIGH NOT HIGH LOW NOT LOW	SYN SYN HYP SYN HYP HYP	4.5 0.3 4.7 3.5 0 2.4	4.5 0 4.2 3.1 0.2 1.4
Lapesa-2014-772-407	407	lose	verb	1660	LOSE	261:to-achieve-to-lose:1	←12	poli1	freqMax	LOW	ANT	4.3	4.2
Lapesa-2014-772-408	408	lost	adjective	3667	LOST	142:recoverable-lost:1	←535	poli3	freqMin	HIGH	ANT	4.8	4.3
Lapesa-2014-772-409	409	lump	verb			427:to-lump-to-group:0 428:to-lump-to-gather:0 429:to-lump-to-separate:0	→303 →282 →589	poli2 poli2 poli2	freqMin freqMin freqMin	HIGH LOW NOT	HYP HYP HYP	4.6 4 0.5	4.4 4 0.6
Lapesa-2014-772-410	410	lyrical	adjective			110:poetic-lyrical:1 112:poetic-lyrical:1	←494 ←494	poli2 poli2	freqMed freqMed	HIGH NOT	SYN ANT	4 0.4	4.3 0.1
Lapesa-2014-772-411	411	machine	noun	144	MACHINE	601:aircraft-machine:1	←24	poli1	freqMax	LOW	HYP	4.6	4.4
Lapesa-2014-772-412	412	magical	adjective			101:mystical-magical:1	←443	poli2	freqMed	HIGH	HYP	4.6	4.375
Lapesa-2014-772-413	413	make	verb	734	MAKE	430:to-make-to-destroy:0 431:to-make-to-do:0 432:to-make-to-destroy:0 433:to-make-to-create:0 434:to-make-to-create:0 435:to-make-to-destroy:0 436:to-make-to-create:0 437:to-make-to-prepare:0 438:to-make-to-build:0 472:to-replicate-to-make:1	→181 →206 →181 →149 →149 →181 →149 →502 →79 ←545	poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli1	freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax freqMax	NOT LOW NOT HIGH HIGH HIGH NOT LOW LOW LOW	HYP HYP SYN HYP SYN ANT ANT SYN ANT HYP	0.2 3.1 0 3.6 4.7 5 0 4.1 0 4	0 2.8 0 4.6 5 4.9 0.6 4 0 3.8
Lapesa-2014-772-414	414	mammal	noun			610:arachnid-mammal:1 685:elephant-mammal:1	←39 ←218	poli1 poli2	freqMin freqMax	NOT LOW	SYN HYP	0.5 5	0.1 4.9
Lapesa-2014-772-415	415	management	noun			844:workforce-management:1	←763	poli1	freqMax	NOT	SYN	1.2	0.9
Lapesa-2014-772-416	416	manual	adjective			88:manual-automatic:0 89:manual-physical:0 90:manual-automated:0	→50 →484 →49	poli3 poli3 poli3	freqMax freqMax freqMax	HIGH NOT LOW	ANT ANT ANT	4.5 0.4 4.7	4.4 0.5 4.7
Lapesa-2014-772-417	417	massage	verb	3119	MASSAGE (SOMEBODY)	478:to-rub-to-massage:1	←563	poli3	freqMax	HIGH	SYN	3.5	4.5
Lapesa-2014-772-418	418	massive	adjective			242:weightless-massive:1	←751	poli1	freqMin	LOW	ANT	3.6	3.8
Lapesa-2014-772-419	419	mating	noun			660:coupling-mating:1	←145	poli3	freqMed	LOW	SYN	4.2	4.5
Lapesa-2014-772-420	420	maximum	adjective			91:maximum-most:0 92:maximum-utmost:0 93:maximum-minimum:0	→436 →732 →427	poli3 poli3 poli3	freqMax freqMax freqMax	HIGH LOW NOT	SYN SYN SYN	4.6 4.4 0.5	4.6 4.4 0
Lapesa-2014-772-421	421	measure	noun			708:gauge-measure:1 709:gauge-measure:1	←283 ←283	poli1 poli1	freqMax freqMax	NOT HIGH	ANT SYN	1.3 4.6	0 4.3
Lapesa-2014-772-422	422	measurement	noun			736:measurement-size:0 737:measurement-guess:0 738:measurement-estimation:0	→604 →305 →235	poli2 poli2 poli2	freqMax freqMax freqMax	NOT HIGH LOW	ANT ANT ANT	0.3 3.4 2.3	0.6 3.9 3.1
Lapesa-2014-772-423	423	meeting	noun			784:rendezvous-meeting:1 788:rendezvous-meeting:1	←544 ←544	poli3 poli3	freqMin freqMin	HIGH HIGH	SYN HYP	4.5 3.6	4.5 4.4
Lapesa-2014-772-424	424	mental	adjective			131:psychiatric-mental:1 138:psychological-mental:1 139:psychological-mental:1 141:psychological-mental:1	←518 ←519 ←519 ←519	poli1 poli1 poli1 poli1	freqMax freqMax freqMax freqMax	HIGH NOT HIGH HIGH	HYP ANT HYP SYN	4.231 0.9 4.3 3.3	4.182 0.5 4.6 4.2
Lapesa-2014-772-425	425	metamorphosis	noun			739:metamorphosis-change:0 740:metamorphosis-stagnation:0 741:metamorphosis-transmutation:0 742:metamorphosis-change:0 743:metamorphosis-stagnation:0 744:metamorphosis-stasis:0 745:metamorphosis-stagnation:0 746:metamorphosis-reproduction:0 747:metamorphosis-change:0	→96 →626 →675 →96 →626 →629 →626 →548 →96	poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3 poli3	freqMin freqMin freqMin freqMin freqMin freqMin freqMin freqMin freqMin	HIGH NOT LOW NOT NOT LOW HIGH LOW HIGH	SYN HYP SYN ANT SYN ANT ANT HYP HYP	4.6 0 3.4 0.1 0 3.6 4.1 0.4 4.2	4.4 0.1 4.5 0.1 0 3.8 4.4 2.2 4.6
Lapesa-2014-772-426	426	metropolitan	adjective			94:metropolitan-urban:0 95:metropolitan-cosmopolitan:0 96:metropolitan-rural:0	→730 →144 →566	poli1 poli1 poli1	freqMed freqMed freqMed	HIGH LOW NOT	SYN SYN SYN	4.1 2.7 0.5	4.7 2.8 0
Lapesa-2014-772-427	427	minimum	adjective			93:maximum-minimum:1	←420	poli3	freqMax	NOT	SYN	0.5	0
Lapesa-2014-772-428	428	misconstrue	verb			320:to-construe-to-misconstrue:1 439:to-misconstrue-to-misunderstand:0 440:to-misconstrue-to-understand:0 441:to-misconstrue-to-misunderstand:0 442:to-misconstrue-to-twist:0 443:to-misconstrue-to-understand:0 444:to-misconstrue-to-clarify:0	←138 →431 →696 →431 →686 →696 →107	poli1 poli1 poli1 poli1 poli1 poli1 poli1	freqMed freqMin freqMin freqMin freqMin freqMin freqMin	HIGH NOT NOT HIGH LOW HIGH LOW	ANT ANT SYN SYN SYN ANT ANT	5 0.7 0 3.4 2.8 4.2 4.3	5 0.2 0 4.7 3.4 4.7 3.7
Lapesa-2014-772-429	429	miss	verb			358:to-evidence-to-miss:1 647:compass-miss:1	←241 ←120	poli3 poli3	freqMed freqMed	LOW NOT	ANT HYP	1.6 0	1.6 0
Lapesa-2014-772-430	430	mistreat	verb			251:to-abuse-to-mistreat:1	←5	poli3	freqMax	LOW	SYN	4.3	4.5
Lapesa-2014-772-431	431	misunderstand	verb			394:to-interpret-to-misunderstand:1 439:to-misconstrue-to-misunderstand:1 441:to-misconstrue-to-misunderstand:1	←367 ←428 ←428	poli3 poli1 poli1	freqMax freqMin freqMin	HIGH NOT HIGH	ANT ANT SYN	2.7 0.7 3.4	3.1 0.2 4.7
Lapesa-2014-772-432	432	mobilize	verb			375:to-immobilize-to-mobilize:1	←335	poli3	freqMin	NOT	SYN	0	0
Lapesa-2014-772-433	433	modest	adjective	4053	MODEST	61:humble-modest:1	←325	poli3	freqMax	NOT	ANT	0.6	0.4
Lapesa-2014-772-434	434	moon	noun	1313	MOON	764:planet-moon:1	←489	poli2	freqMax	HIGH	ANT	0.8	1.3
Lapesa-2014-772-435	435	mortal	adjective			66:immortal-mortal:1 69:immortal-mortal:1 97:mortal-eternal:0 98:mortal-fatal:0 99:mortal-immortal:0	←336 ←336 →236 →256 →336	poli3 poli3 poli2 poli2 poli2	freqMed freqMed freqMed freqMed freqMed	HIGH NOT LOW NOT HIGH	ANT SYN ANT ANT ANT	5 0 4 0.5 5	5 0 4.2 0.4 5
Lapesa-2014-772-436	436	most	adjective			91:maximum-most:1	←420	poli3	freqMax	HIGH	SYN	4.6	4.6
Lapesa-2014-772-437	437	move	verb	765	MOVE	413:to-journey-to-move:1	←376	poli2	freqMed	LOW	HYP	4.5	4.5
Lapesa-2014-772-438	438	muddle	verb			367:to-hone-to-muddle:1	←321	poli2	freqMed	LOW	ANT	2.7	3.6
Lapesa-2014-772-439	439	murder	verb	845	MURDER	416:to-kill-to-murder:1	←379	poli3	freqMax	HIGH	SYN	4.4	4.6
Lapesa-2014-772-440	440	murmur	verb			576:to-whisper-to-murmur:1 577:to-whisper-to-murmur:1	←755 ←755	poli1 poli1	freqMed freqMed	NOT HIGH	ANT SYN	0.4 3.9	0.3 3.7
Lapesa-2014-772-441	441	music	noun	642	MUSIC	836:trombone-music:1	←679	poli1	freqMed	LOW	HYP	1.4	3
Lapesa-2014-772-442	442	musical	adjective			158:symphonic-musical:1	←655	poli1	freqMin	HIGH	HYP	4.5	4.625
Lapesa-2014-772-443	443	mystical	adjective			100:mystical-paranormal:0 101:mystical-magical:0 102:mystical-real:0	→470 →412 →532	poli2 poli2 poli2	freqMed freqMed freqMed	LOW HIGH NOT	HYP HYP HYP	4 4.6 0.2	4 4.375 0
Lapesa-2014-772-444	444	naivety	noun			748:naivety-inexperience:0 749:naivety-innocence:0 750:naivety-experience:0	→354 →360 →247	poli1 poli1 poli1	freqMin freqMin freqMin	LOW HIGH NOT	SYN SYN SYN	4.1 4.5 0.5	3.3 3.8 0.1
Lapesa-2014-772-445	445	necessary	adjective	1030	NECESSARY	240:vital-necessary:1	←744	poli1	freqMax	LOW	HYP	4.7	4.75
Lapesa-2014-772-446	446	neighbor	adjective	1332	NEIGHBOUR	24:civic-neighbor:1	←105	poli2	freqMed	LOW	HYP	2	2.667
Lapesa-2014-772-447	447	neutron	noun			751:neutron-particle:0 752:neutron-proton:0 753:neutron-electron:0	→477 →514 →216	poli1 poli1 poli1	freqMed freqMed freqMed	HIGH NOT LOW	SYN SYN SYN	3 0.7 0.3	3.4 0.5 0.5
Lapesa-2014-772-448	448	noise	noun	1182	NOISE	828:thump-noise:1	←667	poli2	freqMin	LOW	HYP	4.6	4.7
Lapesa-2014-772-449	449	nonsense	noun			776:rationale-nonsense:1	←528	poli1	freqMed	NOT	SYN	0	0
Lapesa-2014-772-450	450	nose	verb	1221	NOSE	445:to-nose-to-ignore:0 446:to-nose-to-stomp:0 447:to-nose-to-sniff:0	→329 →636 →613	poli3 poli3 poli3	freqMin freqMin freqMin	HIGH LOW NOT	ANT ANT ANT	3.8 0.4 0.1	2.2 1.1 0.7
Lapesa-2014-772-451	451	notify	verb			267:to-alert-to-notify:1 289:to-bill-to-notify:1	←27 ←64	poli1 poli3	freqMax freqMed	LOW LOW	SYN HYP	4.4 2.9	4.5 3.1
Lapesa-2014-772-452	452	nursery	noun			640:cemetery-nursery:1 642:cemetery-nursery:1	←92 ←92	poli1 poli1	freqMax freqMax	NOT HIGH	SYN ANT	0 2.8	0 3.6
Lapesa-2014-772-453	453	oat	noun	60	OAT	623:barley-oat:1 626:barley-oat:1	←55 ←55	poli2 poli2	freqMed freqMed	NOT NOT	HYP SYN	0.8 1.5	2.6 2.4
Lapesa-2014-772-454	454	obtain	verb			257:to-achieve-to-obtain:1	←12	poli1	freqMax	LOW	SYN	3.8	4.2
Lapesa-2014-772-455	455	occupy	verb			381:to-inhabit-to-occupy:1 382:to-inhabit-to-occupy:1	←358 ←358	poli2 poli2	freqMax freqMax	LOW LOW	SYN HYP	4.6 4.6	4.9 4.6
Lapesa-2014-772-456	456	omnivore	noun			754:omnivore-glutton:0 755:omnivore-vegan:0 756:omnivore-herbivore:0	→289 →737 →314	poli2 poli2 poli2	freqMin freqMin freqMin	NOT LOW HIGH	ANT ANT ANT	0.3 2.2 3.1	0.2 3.8 3.2
Lapesa-2014-772-457	457	open	verb	1156	OPEN	314:to-constrict-to-open:1	←137	poli2	freqMin	LOW	ANT	5	4.5
Lapesa-2014-772-458	458	opening	noun			698:encore-opening:1	←226	poli1	freqMed	NOT	HYP	0.2	0.3
Lapesa-2014-772-459	459	oppose	verb			282:to-battle-to-oppose:1 325:to-contrast-to-oppose:1	←57 ←141	poli1 poli3	freqMax freqMax	LOW NOT	HYP ANT	3.4 1	4.4 0.6
Lapesa-2014-772-460	460	orbital	adjective			103:orbital-constant:0 104:orbital-cyclical:0 105:orbital-circular:0	→136 →158 →104	poli2 poli2 poli2	freqMin freqMin freqMin	NOT LOW HIGH	HYP HYP HYP	1.2 3.538 4.6	1.5 3.364 3.75
Lapesa-2014-772-461	461	orchestral	adjective			159:symphonic-orchestral:1	←655	poli1	freqMin	LOW	HYP	3.8	4.333
Lapesa-2014-772-462	462	organic	adjective			21:chemical-organic:1	←101	poli2	freqMax	NOT	SYN	1	0.6
Lapesa-2014-772-463	463	organize	verb			298:to-catalogue-to-organize:1 448:to-organize-to-arrange:0 449:to-organize-to-group:0 450:to-organize-to-disorganize:0 518:to-structure-to-organize:1	←91 →42 →303 →198 ←642	poli2 poli1 poli1 poli1 poli1	freqMed freqMax freqMax freqMax freqMax	HIGH HIGH LOW NOT LOW	HYP SYN SYN SYN HYP	4.8 4.3 3.7 0 4.2	4.4 4.8 3.8 0 4.3
Lapesa-2014-772-464	464	organized	adjective			224:unstructured-organized:1	←723	poli3	freqMin	LOW	ANT	4.8	4.7
Lapesa-2014-772-465	465	pachyderm	noun			690:elephant-pachyderm:1 691:elephant-pachyderm:1	←218 ←218	poli2 poli2	freqMax freqMax	HIGH NOT	SYN ANT	4.4 0.5	3.9 0
Lapesa-2014-772-466	466	paid	adjective			52:funded-paid:1	←281	poli1	freqMax	HIGH	HYP	4.308	4.182
Lapesa-2014-772-467	467	painter	noun	4101	PAINTER	614:artist-painter:1	←44	poli1	freqMax	HIGH	SYN	3.3	4.4
Lapesa-2014-772-468	468	pairing	noun			658:coupling-pairing:1	←145	poli3	freqMed	HIGH	SYN	4.6	4.8
Lapesa-2014-772-469	469	pamphlet	noun			729:leaflet-pamphlet:1	←390	poli3	freqMax	HIGH	SYN	4.8	4.9
Lapesa-2014-772-470	470	paranormal	adjective			100:mystical-paranormal:1	←443	poli2	freqMed	LOW	HYP	4	4
Lapesa-2014-772-471	471	pardon	verb			451:to-pardon-to-condemn:0 452:to-pardon-to-discuss:0 453:to-pardon-to-forgive:0 454:to-pardon-to-convict:0 455:to-pardon-to-condemn:0 456:to-pardon-to-excuse:0 457:to-pardon-to-condemn:0 458:to-pardon-to-forgive:0 459:to-pardon-to-forgive:0	→128 →194 →271 →142 →128 →245 →128 →271 →271	poli2 poli2 poli2 poli2 poli2 poli2 poli2 poli2 poli2	freqMin freqMin freqMin freqMin freqMin freqMin freqMin freqMin freqMin	NOT LOW HIGH LOW HIGH LOW NOT NOT HIGH	HYP HYP SYN ANT ANT SYN SYN ANT HYP	0.1 1.4 4.7 4.5 5 4.5 0 0 4.5	0 0.9 4.8 4.9 5 4.8 0 0.2 4.5
Lapesa-2014-772-472	472	pare	verb			547:to-trim-to-pare:1	←677	poli3	freqMed	LOW	SYN	4	3.8
Lapesa-2014-772-473	473	park	verb			460:to-park-to-place:0 461:to-park-to-ride:0 462:to-park-to-drive:0	→487 →559 →210	poli2 poli2 poli2	freqMax freqMax freqMax	NOT LOW HIGH	ANT ANT ANT	0.5 4.6 4.1	0.5 4.6 4.3
Lapesa-2014-772-474	474	parody	noun			757:parody-comedy:0 758:parody-act:0 759:parody-documentary:0	→116 →14 →208	poli2 poli2 poli2	freqMed freqMed freqMed	HIGH LOW NOT	HYP HYP HYP	4.6 3.3 0.2	4.1 3.5 1.8
Lapesa-2014-772-475	475	part	verb			513:to-split-to-part:1	←624	poli3	freqMax	LOW	HYP	4.4	3.8
Lapesa-2014-772-476	476	partial	adjective			106:partial-small:0 107:partial-whole:0 108:partial-incomplete:0	→609 →756 →347	poli2 poli2 poli2	freqMax freqMax freqMax	LOW NOT HIGH	SYN SYN SYN	1.4 0 4.7	1.4 0 4.5
Lapesa-2014-772-477	477	particle	noun			751:neutron-particle:1	←447	poli1	freqMed	HIGH	SYN	3	3.4
Lapesa-2014-772-478	478	parting	noun			785:rendezvous-parting:1 787:rendezvous-parting:1	←544 ←544	poli3 poli3	freqMin freqMin	NOT NOT	SYN HYP	0 0	0 0.6
Lapesa-2014-772-479	479	pastor	noun			760:pastor-reverend:0 761:pastor-layperson:0 762:pastor-preacher:0	→556 →388 →500	poli1 poli1 poli1	freqMed freqMed freqMed	LOW NOT HIGH	SYN SYN SYN	4.6 0.1 4.5	4.5 0.4 4.6
Lapesa-2014-772-480	480	pay	verb	718	PAY	287:to-bill-to-pay:1 288:to-bill-to-pay:1 290:to-bill-to-pay:1	←64 ←64 ←64	poli3 poli3 poli3	freqMed freqMed freqMed	HIGH NOT NOT	ANT SYN HYP	4.1 0.2 0.8	2.9 0.1 0.8
Lapesa-2014-772-481	481	peasant	noun	979	FARMER	695:emperor-peasant:1	←222	poli3	freqMed	NOT	HYP	0	0
Lapesa-2014-772-482	482	performance	noun			699:encore-performance:1	←226	poli1	freqMed	HIGH	HYP	4.5	4.1
Lapesa-2014-772-483	483	photographer	noun			633:cameraman-photographer:1 636:cameraman-photographer:1	←83 ←83	poli1 poli1	freqMin freqMin	HIGH NOT	SYN ANT	4.2 0.3	3.4 0
Lapesa-2014-772-484	484	physical	adjective			89:manual-physical:1 135:psychological-physical:1 136:psychological-physical:1 137:psychological-physical:1	←416 ←519 ←519 ←519	poli3 poli1 poli1 poli1	freqMax freqMax freqMax freqMax	NOT NOT HIGH NOT	ANT HYP ANT SYN	0.4 0.077 3.5 0.4	0.5 0.727 2.8 0.5
Lapesa-2014-772-485	485	piano	noun	3994	PIANO (INSTRUMENT)	838:trombone-piano:1 840:trombone-piano:1	←679 ←679	poli1 poli1	freqMed freqMed	NOT NOT	SYN HYP	0.8 0	0.1 0
Lapesa-2014-772-486	486	picture	verb			463:to-picture-to-imagine:0 464:to-picture-to-imagine:0 465:to-picture-to-illustrate:0 466:to-picture-to-forget:0 467:to-picture-to-forget:0 468:to-picture-to-see:0	→334 →334 →332 →270 →270 →585	poli2 poli2 poli2 poli2 poli2 poli2	freqMax freqMax freqMax freqMax freqMax freqMax	HIGH HIGH LOW NOT NOT LOW	SYN HYP SYN HYP SYN HYP	4.6 4.6 2.4 0.1 0 4	4.7 4.6 2.8 0 0 3.5
Lapesa-2014-772-487	487	place	verb			460:to-park-to-place:1	←473	poli2	freqMax	NOT	ANT	0.5	0.5
Lapesa-2014-772-488	488	plane	noun	1597	AIRPLANE	605:aircraft-plane:1	←24	poli1	freqMax	HIGH	SYN	4.8	4.9
Lapesa-2014-772-489	489	planet	noun	4042	PLANET	763:planet-star:0 764:planet-moon:0 765:planet-world:0	→627 →434 →764	poli2 poli2 poli2	freqMax freqMax freqMax	LOW HIGH NOT	ANT ANT ANT	1.2 0.8 0.4	1.3 1.3 0.2
Lapesa-2014-772-490	490	plausible	adjective			118:probable-plausible:1	←508	poli3	freqMax	LOW	SYN	3.4	4.1
Lapesa-2014-772-491	491	play	verb	1413	PLAY	520:to-strum-to-play:1	←645	poli1	freqMin	HIGH	HYP	4.3	4.1
Lapesa-2014-772-492	492	playwright	noun			635:cameraman-playwright:1	←83	poli1	freqMin	LOW	ANT	1.2	1.8
Lapesa-2014-772-493	493	pocket	noun	1851	POCKET	766:pocket-pouch:0 767:pocket-holder:0 768:pocket-give:0	→498 →320 →288	poli3 poli3 poli3	freqMax freqMax freqMax	HIGH LOW NOT	SYN SYN SYN	3.6 2.7 0.1	4.1 2.9 0
Lapesa-2014-772-494	494	poetic	adjective			109:poetic-prosaic:0 110:poetic-lyrical:0 111:poetic-literal:0 112:poetic-lyrical:0 113:poetic-imaginative:0 114:poetic-prosaic:0	→512 →410 →403 →410 →333 →512	poli2 poli2 poli2 poli2 poli2 poli2	freqMed freqMed freqMed freqMed freqMed freqMed	NOT HIGH LOW NOT LOW HIGH	SYN SYN ANT ANT SYN ANT	2.5 4 3.9 0.4 2.3 3.2	1.3 4.3 4 0.1 2.5 3.5
Lapesa-2014-772-495	495	polish	verb	3659	POLISH (SOMETHING)	469:to-polish-to-rub:0 470:to-polish-to-clean:0 471:to-polish-to-dull:0	→563 →109 →212	poli3 poli3 poli3	freqMed freqMed freqMed	LOW HIGH NOT	HYP HYP HYP	4.6 4.7 0.1	3.8 4.1 0.1
Lapesa-2014-772-496	496	poor	adjective	1674	POOR	220:unsatisfactory-poor:1	←721	poli3	freqMed	LOW	SYN	3.9	4.1
Lapesa-2014-772-497	497	possible	adjective			119:probable-possible:1	←508	poli3	freqMax	LOW	HYP	3.538	4.273
Lapesa-2014-772-498	498	pouch	noun	2951	POUCH	766:pocket-pouch:1	←493	poli3	freqMax	HIGH	SYN	3.6	4.1
Lapesa-2014-772-499	499	praise	verb			337:to-critique-to-praise:1 496:to-slam-to-praise:1	←154 ←606	poli1 poli3	freqMin freqMed	HIGH HIGH	ANT ANT	4.2 3.9	4.2 4
Lapesa-2014-772-500	500	preacher	noun			762:pastor-preacher:1	←479	poli1	freqMed	HIGH	SYN	4.5	4.6
Lapesa-2014-772-501	501	preferred	adjective			190:unfavorable-preferred:1	←702	poli3	freqMin	LOW	ANT	3.8	3.9
Lapesa-2014-772-502	502	prepare	verb	2909	PREPARE	437:to-make-to-prepare:1	←413	poli3	freqMax	LOW	SYN	4.1	4
Lapesa-2014-772-503	503	preparedness	noun			769:preparedness-trait:0 770:preparedness-unpreparedness:0 771:preparedness-state:0	→673 →717 →630	poli1 poli1 poli1	freqMin freqMin freqMin	LOW NOT HIGH	HYP HYP HYP	3.9 0.1 3.3	3.7 0 4.5
Lapesa-2014-772-504	504	press	verb	1913	PRESS	404:to-iron-to-press:1 405:to-iron-to-press:1 406:to-iron-to-press:1	←374 ←374 ←374	poli1 poli1 poli1	freqMed freqMed freqMed	NOT HIGH HIGH	ANT SYN HYP	0 4.5 3.6	0.2 4.4 4.3
Lapesa-2014-772-505	505	price	noun	657	PRICE	701:fee-price:1	←258	poli2	freqMax	LOW	SYN	4	4.3
Lapesa-2014-772-506	506	pristine	adjective			177:unclean-pristine:1	←692	poli3	freqMin	LOW	ANT	4.7	4.9
