ID	NUMBER	DUTCH	ENGLISH	AUDITORY_MEAN	GUSTATORY_MEAN	OLFACTORY_MEAN	HAPTIC_MEAN	VISUAL_MEAN	PERCEPTUAL_DOMINANT	PERCEPTUAL_EXCLUSIVITY	AROUSAL_MEAN	DOMINANCE_MEAN	VALENCE_MEAN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Speed-2017-485-220	220	kroon	crown	0	0	0	1.4	3.8	zien	0.730769231	3.916666667	4.833333333	4.166666667	1943	CROWN (OF HEAD)
Speed-2017-485-221	221	kruidnagel	cloves	0	4.214285714	3.071428571	0.357142857	2.5	proeven	0.415492958	3.5	4.5	4.083333333	2000	CLOVE
Speed-2017-485-222	222	kruis	cross	0.133333333	0	0	1	3.866666667	zien	0.773333333	3.666666667	4.25	4.25	1367	CROSS
Speed-2017-485-223	223	kubus	cube	0	0	0	1.733333333	4.2	zien	0.707865169	4.583333333	3.083333333	4.083333333		
Speed-2017-485-224	224	kuch	clear one's throat	4.066666667	0	0.066666667	0.533333333	2.066666667	horen	0.603960396	4.583333333	4.333333333	2.833333333		
Speed-2017-485-225	225	kurkentrekker	corkscrew	1	0	0.066666667	2.6	3.133333333	zien	0.460784314	4.5	4.416666667	3.833333333		
Speed-2017-485-226	226	kussen	pillow	0.6875	0.875	0.75	4.1875	3.125	voelen	0.363636364	2.916666667	3.666666667	5.833333333	1044	PILLOW
Speed-2017-485-227	227	kwark	quark	0.133333333	4.266666667	1.933333333	0.4	2.666666667	proeven	0.439716312	3.166666667	3.166666667	4.416666667		
Speed-2017-485-228	228	kwee	kwee	0	0.857142857	1.857142857	1.285714286	2.428571429	zien	0.377777778	3.5	3.333333333	3.75		
Speed-2017-485-229	229	ladder	ladder	0.533333333	0	0	1.866666667	4.066666667	zien	0.628865979	4.583333333	4.25	4.083333333	1464	LADDER
Speed-2017-485-230	230	lak	paint	0.066666667	0	2.466666667	1	3	zien	0.459183673	3.5	4.333333333	4	647	PAINT (PIGMENTS)
Speed-2017-485-231	231	lam	lamb	2.666666667	1.466666667	0.8	1.666666667	3.733333333	zien	0.283870968	3.916666667	3	4.583333333	820	LAMB
Speed-2017-485-232	232	lantaarnpaal	lamppost	0.066666667	0	0	0.866666667	4.333333333	zien	0.82278481	3.833333333	4.166666667	4.333333333		
Speed-2017-485-233	233	lasso	lasso	0.933333333	0	0	1.4	4.333333333	zien	0.65	4.416666667	4.583333333	3.25	340	LASSO
Speed-2017-485-234	234	latex	latex	0.375	0.0625	1.6875	3.1875	3.8125	zien	0.410958904	4.166666667	5	2.833333333		
Speed-2017-485-235	235	lavendel	lavender	0.133333333	0.8	4.733333333	1.266666667	3.4	ruiken	0.44516129	2.25	4.166666667	4.583333333		
Speed-2017-485-236	236	leer	leather	0.333333333	0.4	2.8	3.266666667	3.733333333	zien	0.32278481	3.666666667	4.583333333	4.333333333	629	LEATHER
Speed-2017-485-237	237	leeuw	lion	2.8	0	0.066666667	1.133333333	4.266666667	zien	0.516129032	5.416666667	6.083333333	4.666666667	1386	LION
Speed-2017-485-238	238	legpuzzel	jigsaw puzzle	0.0625	0	0.1875	3.25	4.375	zien	0.555555556	2.833333333	2.833333333	4.75		
Speed-2017-485-239	239	licht	light	0.666666667	0	0.066666667	0.866666667	4.333333333	zien	0.730337079	4.666666667	5.083333333	5.333333333	630	LIGHT (RADIATION)
Speed-2017-485-240	240	lijm	glue	0.0625	0.3125	3.875	2.625	3	ruiken	0.386075949	3.75	4.583333333	4.25	1069	GLUE
Speed-2017-485-241	241	limonade	lemonade	0.066666667	4.4	2.933333333	0.4	2.6	proeven	0.416666667	3.666666667	3.166666667	4.583333333		
Speed-2017-485-242	242	lint	ribbon	0.266666667	0.066666667	0.2	2.533333333	3.6	zien	0.53	3.75	3.666666667	4.083333333	2969	RIBBON
Speed-2017-485-243	243	linze	lentil	0	3.769230769	1.307692308	1.076923077	3	proeven	0.411764706	3.333333333	2.833333333	3.416666667	3330	LENTILS
Speed-2017-485-244	244	lippenbalsem	lip balm	0.125	2.75	2.4375	3.5	2.75	voelen	0.291891892	3.083333333	3	5.25		
Speed-2017-485-245	245	lucifer	match	2	0	2.4	2.866666667	3.8	zien	0.343373494	4.5	4.583333333	4.75	1133	MATCH
Speed-2017-485-246	246	lychee	litchi	0.066666667	4.066666667	2.4	2.2	3.466666667	proeven	0.327868852	2.833333333	3.666666667	4.416666667	2768	LITCHI
Speed-2017-485-247	247	maan	moon	0	0	0	0	4.625	zien	1	3.75	4.75	5.583333333	1313	MOON
Speed-2017-485-248	248	machinegeweer	machine gun	2.928571429	0	0	1.285714286	3.142857143	zien	0.427184466	5.75	5.25	1.916666667		
Speed-2017-485-249	249	mango	mango	0.133333333	4.733333333	3.2	2.133333333	3.6	proeven	0.333333333	3.416666667	3.75	5.25	2398	MANGO
Speed-2017-485-250	250	maracas	maracas	2.416666667	0.416666667	0.166666667	1.083333333	2.833333333	zien	0.385542169	4.333333333	3.916666667	4.25		
Speed-2017-485-251	251	markeerstift	highlighter	0.533333333	0	1.266666667	1.933333333	3.666666667	zien	0.495495495	4.583333333	4.583333333	4.5		
