ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Bowern-2012-644-241	241	hand	1277	HAND
Bowern-2012-644-242	242	handle of basket		
Bowern-2012-644-243	243	hang (to)	357	HANG UP
Bowern-2012-644-244	244	hard	1884	HARD
Bowern-2012-644-245	245	hasten (to)	754	HURRY
Bowern-2012-644-246	246	hawk	307	HAWK
Bowern-2012-644-247	247	he:she:they	2642	HE OR SHE
Bowern-2012-644-248	248	head	1256	HEAD
Bowern-2012-644-249	249	hear (to)	1408	HEAR
Bowern-2012-644-250	250	heart	1223	HEART
Bowern-2012-644-251	251	heathland (healthy ground with open forest)		
Bowern-2012-644-252	252	heaven ('England')	1565	HEAVEN
Bowern-2012-644-253	253	heavy	1210	HEAVY
Bowern-2012-644-254	254	heel	980	HEEL
Bowern-2012-644-255	255	help (to)	1897	HELP
Bowern-2012-644-256	256	here	136	HERE
Bowern-2012-644-257	257	here : there	136	HERE
Bowern-2012-644-258	258	hide (to)	602	HIDE (CONCEAL)
Bowern-2012-644-259	259	high	1265	HIGH
Bowern-2012-644-260	260	hill	614	HILL
Bowern-2012-644-261	261	hip	1745	HIP
Bowern-2012-644-262	262	hip bone	2820	HIP BONE
Bowern-2012-644-263	263	hit (to)	1433	HIT
Bowern-2012-644-264	264	hither and thither		
Bowern-2012-644-265	265	hold (to)	1448	HOLD
Bowern-2012-644-266	266	hole	1667	HOLE
Bowern-2012-644-267	267	honeysuckle		
Bowern-2012-644-268	268	horn of crayfish		
Bowern-2012-644-269	269	horse	615	HORSE
Bowern-2012-644-270	270	hot	1286	HOT
Bowern-2012-644-271	271	house : hut	1252	HOUSE
Bowern-2012-644-272	272	hungry	1533	BE HUNGRY
Bowern-2012-644-273	273	hunt (to)	1435	HUNT
Bowern-2012-644-274	274	I	1209	I
Bowern-2012-644-275	275	ice	617	ICE
Bowern-2012-644-276	276	insect	620	INSECT
Bowern-2012-644-277	277	instep		
Bowern-2012-644-278	278	island	622	ISLAND
Bowern-2012-644-279	279	itch (to)	148	ITCH
Bowern-2012-644-280	280	jawbone (mandible)	798	JAW
Bowern-2012-644-281	281	jelaous	2821	JEALOUS
Bowern-2012-644-282	282	jump (to)	1829	JUMP
Bowern-2012-644-283	283	jump up (to)	1829	JUMP
Bowern-2012-644-284	284	kangaroo (red-necked wallaby)	164	KANGAROO
Bowern-2012-644-285	285	kangaroo rat	2822	KANGAROO RAT
Bowern-2012-644-286	286	kangaroo skin	2823	KANGAROO SKIN
Bowern-2012-644-287	287	kangaroo-apple		
Bowern-2012-644-288	288	keel		
Bowern-2012-644-289	289	kill (to)	1417	KILL
Bowern-2012-644-290	290	kingfisher	2444	KINGFISHER
Bowern-2012-644-291	291	knee	1371	KNEE
Bowern-2012-644-292	292	kneel (to)	66	KNEEL
Bowern-2012-644-293	293	know (to)	2238	KNOW OR BE ABLE
Bowern-2012-644-294	294	knuckle	2824	KNUCKLE
Bowern-2012-644-295	295	lake	624	LAKE
Bowern-2012-644-296	296	lame	320	LAME
Bowern-2012-644-297	297	large	1202	BIG
Bowern-2012-644-298	298	last	1529	LAST (FINAL)
Bowern-2012-644-299	299	later		
Bowern-2012-644-300	300	laugh (to)	1355	LAUGH
Bowern-2012-644-301	301	lazy	1564	LAZY
Bowern-2012-644-302	302	leaf	628	LEAF
Bowern-2012-644-303	303	leafless		
Bowern-2012-644-304	304	leech	2273	LEECH
Bowern-2012-644-305	305	left-handed	2825	LEFT HANDED
Bowern-2012-644-306	306	leg	1297	LEG
Bowern-2012-644-307	307	lick (to)	319	LICK
Bowern-2012-644-308	308	lie (a)	2826	LIE (FALSEHOOD)
Bowern-2012-644-309	309	light (make) the fire (to)		
Bowern-2012-644-310	310	lightning	1654	LIGHTNING
Bowern-2012-644-311	311	limpet		
Bowern-2012-644-312	312	lips	478	LIP
Bowern-2012-644-313	313	lizard	632	LIZARD
Bowern-2012-644-314	314	long time ago		
Bowern-2012-644-315	315	look (to)	1819	LOOK
Bowern-2012-644-316	316	lose (to)	1660	LOSE
Bowern-2012-644-317	317	louse	1392	LOUSE
Bowern-2012-644-318	318	love	923	LOVE
Bowern-2012-644-319	319	low	721	LOW
Bowern-2012-644-320	320	magpie	2039	MAGPIE
Bowern-2012-644-321	321	make (to)	734	MAKE
Bowern-2012-644-322	322	make basket (to)		
Bowern-2012-644-323	323	manna		
Bowern-2012-644-324	324	marine crayfish ('crawfish')		
Bowern-2012-644-325	325	marrow	1835	MARROW
Bowern-2012-644-326	326	marry (to)	203	MARRY
Bowern-2012-644-327	327	Mars group		
Bowern-2012-644-328	328	meat	2615	FLESH OR MEAT
