"ID"	"NUMBER"	"GLOSS"	"CONCEPTICON_ID"	"CONCEPTICON_GLOSS"
"RonaTas-2011-512-259"	259	"man of grit, stout fellow"		
"RonaTas-2011-512-260"	260	"sheepfold, cattlegrid, stockyard, a yard encircled by a fence, shed for animals"		
"RonaTas-2011-512-261"	261	"pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ"	3446	"PINK"
"RonaTas-2011-512-262"	262	"pink, several kinds of pink, Danthus, D. caryophyllus, several members of the Caryophillaceæ"	3446	"PINK"
"RonaTas-2011-512-263"	263	"stake, pale, stick"	1295	"STICK"
"RonaTas-2011-512-264"	264	"a fishing water bird with black feathers, cormorant,Phalacrocorax carbo"	840	"CORMORANT"
"RonaTas-2011-512-265"	265	"sparrow hawk, Accipiter n. nisus"		
"RonaTas-2011-512-266"	266	"chicory, Cichorium sp., Cichorium intybus"		
"RonaTas-2011-512-267"	267	"an ethnic name, Kazar"		
"RonaTas-2011-512-268"	268	"bosom, breast"	1402	"BREAST"
"RonaTas-2011-512-269"	269	"goat, Capra hircus"	1502	"GOAT"
"RonaTas-2011-512-270"	270	"blue"	837	"BLUE"
"RonaTas-2011-512-271"	271	"trousseau, dowry, gift given with the bride or bridegroom"	3168	"DOWRY"
"RonaTas-2011-512-272"	272	"hemp, Cannabis"	2041	"HEMP"
"RonaTas-2011-512-273"	273	"mercury"		
"RonaTas-2011-512-274"	274	"picture, shape, form"	2401	"PICTURE"
"RonaTas-2011-512-275"	275	"shock, shook, sheaves placed crosswise, also a unit of grain paid orgiven"		
"RonaTas-2011-512-276"	276	"a kind of ship"		
"RonaTas-2011-512-277"	277	"to ruminate (of bovines)"	3680	"RUMINATE"
"RonaTas-2011-512-278"	278	"cud"		
"RonaTas-2011-512-279"	279	"garden, place for animals"	586	"GARDEN"
"RonaTas-2011-512-280"	280	"vulture, Vultur"	1185	"VULTURE"
"RonaTas-2011-512-281"	281	"to be, become late"	1579	"BE"
"RonaTas-2011-512-282"	282	"small, little"	1246	"SMALL"
"RonaTas-2011-512-283"	283	"small, little"	1246	"SMALL"
"RonaTas-2011-512-284"	284	"small"	1246	"SMALL"
"RonaTas-2011-512-285"	285	"small, little"	1246	"SMALL"
"RonaTas-2011-512-286"	286	"felt"	325	"FELT"
"RonaTas-2011-512-287"	287	"wild/meadow saffron, Colchicum autumnale; lions tooth, Taraxacum"	2230	"UNTAMED OR WILD"
"RonaTas-2011-512-288"	288	"a bird similar to a falcon, a kind of bird of prey"		
"RonaTas-2011-512-289"	289	"pain"	1783	"PAIN"
"RonaTas-2011-512-290"	290	"gourd, calabash, Lagenaria vulgaris; head, billy-cock-hat"	1256	"HEAD"
"RonaTas-2011-512-291"	291	"lute, cittern"	2681	"LUTE"
"RonaTas-2011-512-292"	292	"to beg, to mendicate"	3534	"BEG"
"RonaTas-2011-512-293"	293	"beggar"	1934	"BEGGAR"
"RonaTas-2011-512-294"	294	"beggar"	1934	"BEGGAR"
"RonaTas-2011-512-295"	295	"hops, Humulus lupulus"	3316	"HOPS"
"RonaTas-2011-512-296"	296	"timothy-grass, phleum, Phleum sp."		
"RonaTas-2011-512-297"	297	"a kind of Hungarian sheepdog"		
"RonaTas-2011-512-298"	298	"gloomy, grave, morose, sombre, dull-coloured; not properly castrated"	1773	"GRAVE"
"RonaTas-2011-512-299"	299	"coffin"	2011	"COFFIN"
"RonaTas-2011-512-300"	300	"age, period"	1789	"AGE"
"RonaTas-2011-512-301"	301	"tomb, small hill, elevated, dry place in a marsh"	1773	"GRAVE"
"RonaTas-2011-512-302"	302	"dry stalk of weed"		
"RonaTas-2011-512-303"	303	"soot"	830	"SOOT"
"RonaTas-2011-512-304"	304	"ram"	1344	"RAM"
"RonaTas-2011-512-305"	305	"burn"	2102	"BURN"
"RonaTas-2011-512-306"	306	"frock, sheepskin waistcoat"		
"RonaTas-2011-512-307"	307	"frock, sheepskin waistcoat"		
"RonaTas-2011-512-308"	308	"blackthorn, Prunus spinosa"		
"RonaTas-2011-512-309"	309	"loan"		
"RonaTas-2011-512-310"	310	"the navel; various parts of agricultural and other instruments,around which something turns or rotates or which is in the centre"	1838	"NAVEL"
"RonaTas-2011-512-311"	311	"young of an animal, kid, puppy, lad"	1972	"KID"
"RonaTas-2011-512-312"	312	"pounder, beater, small mortar"	2459	"GRINDSTONE"
"RonaTas-2011-512-313"	313	"breast strap"		
"RonaTas-2011-512-314"	314	"breast strap"		
"RonaTas-2011-512-315"	315	"book"	963	"BOOK"
"RonaTas-2011-512-316"	316	"book"	963	"BOOK"
"RonaTas-2011-512-317"	317	"stumpy, a small, thick man"	1246	"SMALL"
"RonaTas-2011-512-318"	318	"a kind of Hungarian sheepdog, komondor"		
"RonaTas-2011-512-319"	319	"cloak, gown, overcoat"	326	"CLOAK"
"RonaTas-2011-512-320"	320	"churn, beehive, anything with a hollow part in which something canbe fitted in, a trough, tray for channelling water, the same used as a small bridge (the latter in Translyvania)"	88	"BEEHIVE"
"RonaTas-2011-512-321"	321	"ash tree, Fraxinus sp."		
"RonaTas-2011-512-322"	322	"mellow, powdery, crumbly, rotten, mouldy"	1728	"ROTTEN"
"RonaTas-2011-512-323"	323	"pear, Pyrus communis"	922	"PEAR"
"RonaTas-2011-512-324"	324	"pear, Pyrus communis"	922	"PEAR"
"RonaTas-2011-512-325"	325	"to greet, to thank"	3552	"GREET"
"RonaTas-2011-512-326"	326	"the Cuman ethnic group in Hungary"		
"RonaTas-2011-512-327"	327	"a kind of dog, a Hungarian breed of sheepdog"		
"RonaTas-2011-512-328"	328	"laughing bird, Picus viridis"		
"RonaTas-2011-512-329"	329	"a fish living at the bottom of the river, gudgeon, Gobio fluviatilis"		
"RonaTas-2011-512-330"	330	"laughing bird, Picus viridis"		
"RonaTas-2011-512-331"	331	"dry summer fog, rainbow"	1733	"RAINBOW"
"RonaTas-2011-512-332"	332	"the name of a group of military people in Hungary,the Cuman bodyguard to the Hungarian king"		
"RonaTas-2011-512-333"	333	"chaff, husks, winnowings, tailings, refuse of grain"	2363	"CHAFF (HUSK)"
"RonaTas-2011-512-334"	334	"cause, reason"	860	"CAUSE"
"RonaTas-2011-512-335"	335	"to teach"	709	"TEACH"
"RonaTas-2011-512-336"	336	"sty, cattle pen, sheepfold"		
"RonaTas-2011-512-337"	337	"cheap"	1887	"CHEAP"
"RonaTas-2011-512-338"	338	"kid (of a goat)"	1972	"KID"
"RonaTas-2011-512-339"	339	"sperm, seminal fluid"	1505	"SPERM"
"RonaTas-2011-512-340"	340	"crumb (of bread), morsel, a small piece of bread"		
"RonaTas-2011-512-341"	341	"crumb (of bread), morsel, a small piece of bread"		
"RonaTas-2011-512-342"	342	"Russian"		
"RonaTas-2011-512-343"	343	"lion"	1386	"LION"
"RonaTas-2011-512-344"	344	"spindle, whorl"	277	"SPINDLE"
"RonaTas-2011-512-345"	345	"thief"	1160	"THIEF"
"RonaTas-2011-512-346"	346	"physician"	597	"PHYSICIAN"
"RonaTas-2011-512-347"	347	"cune in play in ostábla"		
"RonaTas-2011-512-348"	348	"ox"	1169	"OX"
"RonaTas-2011-512-349"	349	"to stitch, to put on a dress"		
"RonaTas-2011-512-350"	350	"hawk, buzzard, Buteo buteo"	307	"HAWK"
"RonaTas-2011-512-351"	351	"to take root, to grow stronger (plant, animal)"	619	"ANIMAL"
"RonaTas-2011-512-352"	352	"to grind, mill"	1033	"GRIND"
"RonaTas-2011-512-353"	353	"milling product"		
"RonaTas-2011-512-354"	354	"Armenian"		
"RonaTas-2011-512-355"	355	"eternal"		
"RonaTas-2011-512-356"	356	"to rejoice, to be glad"	2192	"REJOICE"
"RonaTas-2011-512-357"	357	"to become mad"		
"RonaTas-2011-512-358"	358	"whirlpool, eddy"	1982	"WHIRLPOOL"
"RonaTas-2011-512-359"	359	"whirlpool, eddy"	1982	"WHIRLPOOL"
"RonaTas-2011-512-360"	360	"whirlpool, eddy"	1982	"WHIRLPOOL"
"RonaTas-2011-512-361"	361	"whirlpool, eddy"	1982	"WHIRLPOOL"
"RonaTas-2011-512-362"	362	"whirlpool, eddy"	1982	"WHIRLPOOL"
"RonaTas-2011-512-363"	363	"whirlpool, eddy"	1982	"WHIRLPOOL"
