ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	LEXIBANK_GLOSS
Marrison-1967-917-888	888	wonderful			wonderful
Marrison-1967-917-889	889	wood (timber)	1803	WOOD	wood (timber)
Marrison-1967-917-890	890	word	1599	WORD	word
Marrison-1967-917-891	891	work (n)	984	WORK (LABOUR)	work//work (n)
Marrison-1967-917-892	892	world	965	WORLD	world
Marrison-1967-917-893	893	worm	1219	WORM	worm
Marrison-1967-917-894	894	to worship	257	WORSHIP	worship//to worship
Marrison-1967-917-895	895	a wound	1109	WOUND	wound//a wound
Marrison-1967-917-896	896	to wrap	1113	WRAP	wrap//to wrap
Marrison-1967-917-897	897	wrist	799	WRIST	wrist
Marrison-1967-917-898	898	to write	1672	WRITE	write//to write
Marrison-1967-917-899	899	wrong	1390	WRONG	wrong
Marrison-1967-917-900	900	yam	410	YAM	yam
Marrison-1967-917-901	901	year	1226	YEAR	year
Marrison-1967-917-902	902	yeast	967	YEAST	yeast
Marrison-1967-917-903	903	yellow	1424	YELLOW	yellow
Marrison-1967-917-904	904	yes	1268	YES	yes
Marrison-1967-917-905	905	yesterday	1174	YESTERDAY	yesterday
Marrison-1967-917-906	906	yoke	14	YOKE	yoke
Marrison-1967-917-907	907	you	1213	YOU	you
Marrison-1967-917-908	908	you two	2111	YOU TWO	you two
Marrison-1967-917-909	909	young	1207	YOUNG	young
Marrison-1967-917-910	910	young man	76	YOUNG MAN	young man
Marrison-1967-917-911	911	young woman	77	YOUNG WOMAN	young woman
