ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CATEGORY
BirketSmith-1928-510-275	275	Kayak rib			Boats and Sledge
BirketSmith-1928-510-276	276	Kayak cross bar			Boats and Sledge
BirketSmith-1928-510-277	277	Kayak sidelath			Boats and Sledge
BirketSmith-1928-510-278	278	Kayak gunwale			Boats and Sledge
BirketSmith-1928-510-279	279	Kayak cross strap			Boats and Sledge
BirketSmith-1928-510-280	280	Kayak paddle			Boats and Sledge
BirketSmith-1928-510-281	281	Kayak scraper			Boats and Sledge
BirketSmith-1928-510-282	282	Sledge	16	SLED	Boats and Sledge
BirketSmith-1928-510-283	283	Sledge runner			Boats and Sledge
BirketSmith-1928-510-284	284	Sledge crossbar			Boats and Sledge
BirketSmith-1928-510-285	285	Sledge shoe			Boats and Sledge
BirketSmith-1928-510-286	286	Sledge upstander			Boats and Sledge
BirketSmith-1928-510-287	287	Sledge draught line			Boats and Sledge
BirketSmith-1928-510-288	288	Umiak			Boats and Sledge
BirketSmith-1928-510-289	289	Whip	2630	WHIP	Boats and Sledge
BirketSmith-1928-510-290	290	Whip lash			Boats and Sledge
BirketSmith-1928-510-291	291	Whip handle			Boats and Sledge
BirketSmith-1928-510-292	292	Adze	290	ADZE	Tools
BirketSmith-1928-510-293	293	Carving knife			Tools
BirketSmith-1928-510-294	294	Drill	3423	DRILL	Tools
BirketSmith-1928-510-295	295	Drill bow			Tools
BirketSmith-1928-510-296	296	Drill mouthpiece			Tools
BirketSmith-1928-510-297	297	Needle	1382	NEEDLE (FOR SEWING)	Tools
BirketSmith-1928-510-298	298	Needle case			Tools
BirketSmith-1928-510-299	299	Scraper, fat			Tools
BirketSmith-1928-510-300	300	Scraper, sharp			Tools
BirketSmith-1928-510-301	301	Scraper softening			Tools
BirketSmith-1928-510-302	302	Scraping board			Tools
BirketSmith-1928-510-303	303	Sinew thread			Tools
BirketSmith-1928-510-304	304	Stitch, «over and over»			Tools
BirketSmith-1928-510-305	305	Stitch, running			Tools
BirketSmith-1928-510-306	306	Stitch, blind			Tools
BirketSmith-1928-510-307	307	Thimble			Tools
BirketSmith-1928-510-308	308	Thimble guard			Tools
BirketSmith-1928-510-309	309	Thumbprotector			Tools
BirketSmith-1928-510-310	310	Woman's knife			Tools
BirketSmith-1928-510-311	311	Amulet	2804	AMULET	Sociology and Religion
BirketSmith-1928-510-312	312	Ball			Sociology and Religion
BirketSmith-1928-510-313	313	Bull roarer			Sociology and Religion
BirketSmith-1928-510-314	314	Buzz			Sociology and Religion
BirketSmith-1928-510-315	315	Charm			Sociology and Religion
BirketSmith-1928-510-316	316	Conjurer	394	SHAMAN (FOLK HEALER)	Sociology and Religion
BirketSmith-1928-510-317	317	Dance	3472	DANCE (MOVEMENT)	Sociology and Religion
BirketSmith-1928-510-318	318	Drum	908	DRUM	Sociology and Religion
BirketSmith-1928-510-319	319	Drum skin			Sociology and Religion
BirketSmith-1928-510-320	320	Drum stick			Sociology and Religion
BirketSmith-1928-510-321	321	Mask	2005	MASK	Sociology and Religion
BirketSmith-1928-510-322	322	Ring and pin game			Sociology and Religion
BirketSmith-1928-510-323	323	Song	1096	SONG	Sociology and Religion
BirketSmith-1928-510-324	324	Soul	811	SOUL	Sociology and Religion
BirketSmith-1928-510-325	325	Spirit, assisting			Sociology and Religion
BirketSmith-1928-510-326	326	Relation			Relationship
BirketSmith-1928-510-327	327	Ancestors	1669	ANCESTORS	Relationship
BirketSmith-1928-510-328	328	Great Grandfather			Relationship
BirketSmith-1928-510-329	329	Great Grandmother			Relationship
BirketSmith-1928-510-330	330	Grandfather	1383	GRANDFATHER	Relationship
BirketSmith-1928-510-331	331	Grandmother	1496	GRANDMOTHER	Relationship
BirketSmith-1928-510-332	332	Father	1217	FATHER	Relationship
BirketSmith-1928-510-333	333	Mother	1216	MOTHER	Relationship
BirketSmith-1928-510-334	334	Husband	1200	HUSBAND	Relationship
BirketSmith-1928-510-335	335	Wife	1199	WIFE	Relationship
BirketSmith-1928-510-336	336	Temporary husband			Relationship
BirketSmith-1928-510-337	337	Temporary wife			Relationship
BirketSmith-1928-510-338	338	Son	1620	SON	Relationship
BirketSmith-1928-510-339	339	Daughter	1357	DAUGHTER	Relationship
BirketSmith-1928-510-340	340	«Sibling»	1640	SIBLING	Relationship
BirketSmith-1928-510-341	341	Elder brother (of man)	2414	OLDER BROTHER (OF MAN)	Relationship
BirketSmith-1928-510-342	342	Elder sister (of woman)	2419	OLDER SISTER (OF WOMAN)	Relationship
