ID	NUMBER	SOURCE_ID	ENGLISH	POS	CONCEPTICON_ID	CONCEPTICON_GLOSS	HUNGARIAN	LATIN	POLISH	DEFINITION
Kornai-2018-1400-203	203	1108	bow	N	994	BOW	íj	arcus	łuk	weapon, shot INSTRUMENT, arrow
Kornai-2018-1400-204	204	2700	bow	V			meghajol	flecto	kłaniać sié	bow/2698
Kornai-2018-1400-205	205	1462	bowl	N	1530	BOWL	kupa	scyphus	miska	round, wide, food IN/2758
Kornai-2018-1400-206	206	478	box	N	1465	BOX	doboz	capsa	pudełko	container, HAS lid, cube
Kornai-2018-1400-207	207	66	branch	N	1531	BRANCH	ág	ramus	gałáź	part, long, <tree HAS>, depend
Kornai-2018-1400-208	208	340	brass	N	3743	BRASS	bronz	aes	bráz	metal, yellowish
Kornai-2018-1400-209	209	2715	brass	N			rézfúvos	aerisonus	déte	instrument, HAS [metal(tube)], air[move] FOR/2782
Kornai-2018-1400-210	210	213	brave	A	3	BRAVE	bátor	fortis	odwaźny	confident, AT/2744 bad[<danger>], active
Kornai-2018-1400-211	211	1292	bread	N	1368	BREAD	kenyér	panis	chleb	food, FROM/2742 flour, bake MAKE
Kornai-2018-1400-212	212	2411	break	V	680	BREAK (DESTROY OR GET DESTROYED)	tör	frango	łamać	=PAT[object], =PAT[rigid], after(separate), after(=PAT HAS more(piece)), sudden, violent
Kornai-2018-1400-213	213	1501	breathe	U	1407	BREATHE	lélegzik	spiro	oddechać	breath
Kornai-2018-1400-214	214	2352	breed	V			tenyészt	educo	hodować	
Kornai-2018-1400-215	215	1037	bridge	N	1011	BRIDGE	híd	pons	most	structure, PART_OF road, vertical(ER <river>)
Kornai-2018-1400-216	216	2629	bright	A	679	BRIGHT	világos	clarus	jasny	shine
Kornai-2018-1400-217	217	1088	bring	V	692	BRING	hoz	fero	przynosić	=AGT CAUSE[=PAT[here]]
Kornai-2018-1400-218	218	231	brown	A	2409	BROWN	barna	fuscus	brázowy	colour
Kornai-2018-1400-219	219	1277	brush	N	1821	BRUSH	kefe	peniculus	szczotka	device, HAS hair/3359, HAS handle, clean INSTRUMENT, polish INSTRUMENT, paint INSTRUMENT
Kornai-2018-1400-220	220		bubble	N	3689	BUBBLE	buborék			air, IN liquid
Kornai-2018-1400-221	221	513	build	V	1840	BUILD	épít	aedifico	budować	make, =PAT[<building>] HAS structure, before(material), thing PART_OF =PAT
Kornai-2018-1400-222	222	3125	building	N	3396	BUILDING	épület	aedificium	budynek	artefact, structure, lack(outdoor) IN/2758, HAS roof, HAS more(wall), <house>
Kornai-2018-1400-223	223	497	burn	U	2102	BURN	ég	ardeo	palić	=AGT[fire] CAUSE =PAT[lack]
Kornai-2018-1400-224	224	594	bury	V	1719	BURY	elás	infodio	zakopać	=AGT CAUSE[=PAT IN/2758 ground]
Kornai-2018-1400-225	225	2347	bury	V			temet	humo	grzebać	
Kornai-2018-1400-226	226	356	bus	N	1070	BUS	busz	autocarrus	autobus	vehicle, [more(passenger)] IN/2758, HAS motor, HAS stop, HAS regular(way)
Kornai-2018-1400-227	227	2974	business	N	2931	BUSINESS	üzlet	negotium	biznes	organization, MAKE money
Kornai-2018-1400-228	228	450	but	D	3843	BUT	de	sed	ale	opposition
Kornai-2018-1400-229	229	902	button	N	757	BUTTON	gomb	bulla/malleolus	guzik	artefact, PART_OF machine[electric], finger PUSH
Kornai-2018-1400-230	230	2609	buy	V	1869	BUY	vesz	emo	kupować	exchange, =AGT CAUSE[=AGT HAS =PAT, =FROM HAS money], before(=AGT HAS money), before(=FROM HAS =PAT), =AGT[pay/812]
Kornai-2018-1400-231	231	40	by	G			-ra	per	przy	FOLLOW =REL
Kornai-2018-1400-232	232	2434	cake	N	2408	CAKE	torta	scriblita	ciasto	food, sweet, [ ' MAKE] INSTRUMENT bake, FROM/2742 flour, FROM/2742 butter, FROM/2742 sugar, FROM/2742 egg
Kornai-2018-1400-233	233	1045	call	V	1084	CALL	hív	voco	wołać	speak, =AGT MAKE[contact]
Kornai-2018-1400-234	234	1827	calm	A	258	CALM	nyugodt	tranquillus	spokojny	lack(motion), quiet, lack(angry), lack(nervous), lack(upset)
Kornai-2018-1400-235	235	1246	can	U	972	BE ABLE	képes	potest	móc	<do>
Kornai-2018-1400-236	236	1427	can	N	1051	CAN	konzerv	cibus conservatus	puszka	cylinder, metal, CONTAIN [<food>,<drink>]
Kornai-2018-1400-237	237	184	car	N	1111	CAR	autó	automobile	samochód	vehicle, HAS four(wheel), <HAS engine>
Kornai-2018-1400-238	238	3426	carbon	N			szén	carboneum	wégiel	
