ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
Luangthongkum-2019-340-286	286	sunlight, hot		
Luangthongkum-2019-340-287	287	sway, swing	573	SWAY
Luangthongkum-2019-340-288	288	swollen, swelling		
Luangthongkum-2019-340-289	289	tail	1220	TAIL
Luangthongkum-2019-340-290	290	tasteless, faded	1771	TASTELESS
Luangthongkum-2019-340-291	291	ten	1515	TEN
Luangthongkum-2019-340-292	292	tendon	1137	TENDON
Luangthongkum-2019-340-293	293	termite	883	TERMITE
Luangthongkum-2019-340-294	294	termite (winged~)		
Luangthongkum-2019-340-295	295	termite mound		
Luangthongkum-2019-340-296	296	thick	1244	THICK
Luangthongkum-2019-340-297	297	thin (as of cloth)	2306	THIN (OF LEAF AND CLOTH)
Luangthongkum-2019-340-298	298	thousand	1843	THOUSAND
Luangthongkum-2019-340-299	299	thread (a needle)	1161	THREAD
Luangthongkum-2019-340-300	300	three	492	THREE
Luangthongkum-2019-340-301	301	tick	1527	TICK
Luangthongkum-2019-340-302	302	tie (a string)	1917	TIE
Luangthongkum-2019-340-303	303	tiger	846	TIGER
Luangthongkum-2019-340-304	304	tilted		
Luangthongkum-2019-340-305	305	toad	894	TOAD
Luangthongkum-2019-340-306	306	tomorrow	1329	TOMORROW
Luangthongkum-2019-340-307	307	tongue	1205	TONGUE
Luangthongkum-2019-340-308	308	torn		
Luangthongkum-2019-340-309	309	tortoise	895	TORTOISE
Luangthongkum-2019-340-310	310	tread	575	TREAD
Luangthongkum-2019-340-311	311	trunk (of a tree), firewood		
Luangthongkum-2019-340-312	312	trunk (of an elephant)	3678	ELEPHANT TRUNK
Luangthongkum-2019-340-313	313	two	1498	TWO
Luangthongkum-2019-340-314	314	urine	1142	URINE
Luangthongkum-2019-340-315	315	vagina	1836	VAGINA
Luangthongkum-2019-340-316	316	vomit (v.)	1278	VOMIT
Luangthongkum-2019-340-317	317	vulture	1185	VULTURE
Luangthongkum-2019-340-318	318	waist	1681	WAIST
Luangthongkum-2019-340-319	319	wart	2665	WART
Luangthongkum-2019-340-320	320	warm	1232	WARM
Luangthongkum-2019-340-321	321	wash (the face)		
Luangthongkum-2019-340-322	322	wash (clothes)	3434	WASH (CLOTHES)
Luangthongkum-2019-340-323	323	wasp	1517	WASP
Luangthongkum-2019-340-324	324	water	948	WATER
Luangthongkum-2019-340-325	325	wear (a shoulder bag)	413	CARRY ON SHOULDER
Luangthongkum-2019-340-326	326	weave (cloth), loom		
Luangthongkum-2019-340-327	327	weave (baskets)	3296	WEAVE (BASKET)
Luangthongkum-2019-340-328	328	weevil		
Luangthongkum-2019-340-329	329	wet	1726	WET
Luangthongkum-2019-340-330	330	white	1335	WHITE
Luangthongkum-2019-340-331	331	wide	1243	WIDE
Luangthongkum-2019-340-332	332	wife	1199	WIFE
Luangthongkum-2019-340-333	333	wild	2230	UNTAMED OR WILD
Luangthongkum-2019-340-334	334	win	866	WIN
Luangthongkum-2019-340-335	335	wing	1257	WING
Luangthongkum-2019-340-336	336	wrong, mistake, error		
Luangthongkum-2019-340-337	337	yam, potato	410	YAM
Luangthongkum-2019-340-338	338	year	1226	YEAR
Luangthongkum-2019-340-339	339	yellow	1424	YELLOW
Luangthongkum-2019-340-340	340	yes	1268	YES
