ID	NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN	CONCEPTICON_ID	CONCEPTICON_GLOSS	CHINESE_SIMPLIFIED
BeijingDaxue-1964-905-151	151	甘薯	76	noun	plants	五、植物	名 詞	sweet potato	gān shǔ	159	SWEET POTATO	甘薯
BeijingDaxue-1964-905-152	152	馬鈴薯	76	noun	plants	五、植物	名 詞	potato	mǎ líng shǔ	593	POTATO	马铃薯
BeijingDaxue-1964-905-153	153	蔬菜	77	noun	plants	五、植物	名 詞	vegetable	shū cài	924	VEGETABLES	蔬菜
BeijingDaxue-1964-905-154	154	卷心菜	77	noun	plants	五、植物	名 詞	cabbage	juǎn xīn cài	774	CABBAGE	卷心菜
BeijingDaxue-1964-905-155	155	南瓜	78	noun	plants	五、植物	名 詞	pumpkin	nán guā	864	PUMPKIN	南瓜
BeijingDaxue-1964-905-156	156	冬瓜	78	noun	plants	五、植物	名 詞	wax gourd (white gourd)	dōng guā	411	GOURD	冬瓜
BeijingDaxue-1964-905-157	157	黃瓜	79	noun	plants	五、植物	名 詞	cucumber	huáng guā	496	CUCUMBER	黄瓜
BeijingDaxue-1964-905-158	158	蘿蔔	79	noun	plants	五、植物	名 詞	radish	luó bó	2365	RADISH	萝卜
BeijingDaxue-1964-905-159	159	茄子	80	noun	plants	五、植物	名 詞	eggplant	jiā zi	1146	AUBERGINE	茄子
BeijingDaxue-1964-905-160	160	番茄	80	noun	plants	五、植物	名 詞	tomato	fān jiā	986	TOMATO	番茄
BeijingDaxue-1964-905-161	161	韭菜	81	noun	plants	五、植物	名 詞	tuber onion	jiǔ cài			韭菜
BeijingDaxue-1964-905-162	162	蔥	81	noun	plants	五、植物	名 詞	scallions (green onions)	cōng	2366	ONION	葱
BeijingDaxue-1964-905-163	163	蒜	82	noun	plants	五、植物	名 詞	garlic	suàn	2368	GARLIC	蒜
BeijingDaxue-1964-905-164	164	辣椒	82	noun	plants	五、植物	名 詞	chilli, red pepper	là jiāo	919	CHILI PEPPER	辣椒
BeijingDaxue-1964-905-165	165	水果	83	noun	plants	五、植物	名 詞	fruit	shuǐ guǒ	1507	FRUIT	水果
BeijingDaxue-1964-905-166	166	桃兒	83	noun	plants	五、植物	名 詞	peach	táo ér	2043	PEACH	桃儿
BeijingDaxue-1964-905-167	167	梨	84	noun	plants	五、植物	名 詞	pear	lí	922	PEAR	梨
BeijingDaxue-1964-905-168	168	桔子	84	noun	plants	五、植物	名 詞	mandarine	jú zi	2367	MANDARINE	桔子
BeijingDaxue-1964-905-169	169	柚子	85	noun	plants	五、植物	名 詞	pomelo	yòu zi			柚子
BeijingDaxue-1964-905-170	170	梅子	85	noun	plants	五、植物	名 詞	mume	méi zi			梅子
BeijingDaxue-1964-905-171	171	葡萄	86	noun	plants	五、植物	名 詞	grape	pú táo	920	GRAPE	葡萄
BeijingDaxue-1964-905-172	172	櫻桃	86	noun	plants	五、植物	名 詞	cherry	yīng táo	2765	CHERRY	樱桃
BeijingDaxue-1964-905-173	173	橄欖	87	noun	plants	五、植物	名 詞	olive	gǎn lǎn	1154	OLIVE	橄榄
BeijingDaxue-1964-905-174	174	荸薺	87	noun	plants	五、植物	名 詞	water chestnut	bí jì			荸荠
BeijingDaxue-1964-905-175	175	棗兒	88	noun	plants	五、植物	名 詞	jujube	zǎo ér			枣儿
BeijingDaxue-1964-905-176	176	栗子	88	noun	plants	五、植物	名 詞	chestnut	lì zi	2318	CHESTNUT	栗子
BeijingDaxue-1964-905-177	177	核桃	89	noun	plants	五、植物	名 詞	walnut	hé táo	2042	WALNUT	核桃
BeijingDaxue-1964-905-178	178	香蕉	89	noun	plants	五、植物	名 詞	banana	xiāng jiāo	868	BANANA	香蕉
BeijingDaxue-1964-905-179	179	荔枝	90	noun	plants	五、植物	名 詞	litchi (lychee)	lì zhī	2768	LITCHI	荔枝
BeijingDaxue-1964-905-180	180	桂圓	90	noun	plants	五、植物	名 詞	longan	guì yuán			桂圆
BeijingDaxue-1964-905-181	181	西瓜	91	noun	plants	五、植物	名 詞	watermelon	xī guā	2766	WATERMELON	西瓜
BeijingDaxue-1964-905-182	182	核兒	91	noun	plants	五、植物	名 詞	pit, stone (of fruit)	hé ér	1762	STONE (OF FRUIT)	核儿
BeijingDaxue-1964-905-183	183	果皮	92	noun	plants	五、植物	名 詞	peel, skin of fruit	guǒ pí	2373	SKIN (OF FRUIT)	果皮
BeijingDaxue-1964-905-184	184	早飯	92	noun	food	六、飮食	名 詞	breakfast	zǎo fàn	1322	BREAKFAST	早饭
BeijingDaxue-1964-905-185	185	午飯	93	noun	food	六、飮食	名 詞	lunch	wǔ fàn	768	LUNCH	午饭
BeijingDaxue-1964-905-186	186	晚飯	93	noun	food	六、飮食	名 詞	supper	wǎn fàn	1833	DINNER (SUPPER)	晚饭
BeijingDaxue-1964-905-187	187	米飯	94	noun	food	六、飮食	名 詞	cooked rice	mǐ fàn	1191	COOKED RICE	米饭
BeijingDaxue-1964-905-188	188	粥	94	noun	food	六、飮食	名 詞	rice gruel (congee)	zhōu	2049	CONGEE	粥
BeijingDaxue-1964-905-189	189	米湯	95	noun	food	六、飮食	名 詞	thin rice or millet gruel	mǐ tāng			米汤
BeijingDaxue-1964-905-190	190	饅頭	95	noun	food	六、飮食	名 詞	steamed bun	mán tóu	1969	MANTOU	馒头
BeijingDaxue-1964-905-191	191	包子	96	noun	food	六、飮食	名 詞	steamed stuffed bun	bāo zi	511	BAOZI	包子
