NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN	CONCEPTICON_ID	CONCEPTICON_GLOSS	MATCH_QUALITY
532	搬	266	verb	body-part related actions	三、肢體動作	動詞	transfer, move	bān	0	???	8

533	按	267	verb	body-part related actions	三、肢體動作	動詞	press	àn	0	???	8

534	推	267	verb	body-part related actions	三、肢體動作	動詞	push	chuī	1452	PUSH (verb)	3

535	擋	268	verb	body-part related actions	三、肢體動作	動詞	block	dàng	0	???	8

536	撐	268	verb	body-part related actions	三、肢體動作	動詞	stretch	chēng	0	???	8

537	拖	269	verb	body-part related actions	三、肢體動作	動詞	pull	tuō/duò	1455	PULL (verb)	3

538	拉	269	verb	body-part related actions	三、肢體動作	動詞	pull	lā	1455	PULL (verb)	3

539	拔	270	verb	body-part related actions	三、肢體動作	動詞	pull out	bá	1455	PULL (verb)	5

540	扶	270	verb	body-part related actions	三、肢體動作	動詞	support	fú	0	???	8

541	摟	271	verb	body-part related actions	三、肢體動作	動詞	hug	lóu	0	???	8

542	抱	271	verb	body-part related actions	三、肢體動作	動詞	embrace	bào	0	???	8

543	開	272	verb	body-part related actions	三、肢體動作	動詞	open	kāi	0	???	8

544	關	272	verb	body-part related actions	三、肢體動作	動詞	close	guān	0	???	8

545	封	273	verb	body-part related actions	三、肢體動作	動詞	close, lock	fēng	0	???	8

546	塞	273	verb	body-part related actions	三、肢體動作	動詞	clog	sāi	0	???	8

547	蓋	274	verb	body-part related actions	三、肢體動作	動詞	hide, cover	gě	602	HIDE, CONCEAL (verb)	2
547	蓋	274	verb	body-part related actions	三、肢體動作	動詞	hide, cover	gě	0	???	8

548	罩	274	verb	body-part related actions	三、肢體動作	動詞	cover	zhào	0	???	8

549	套	275	verb	body-part related actions	三、肢體動作	動詞	wrap, cover	tào	0	???	8

550	卷	275	verb	body-part related actions	三、肢體動作	動詞	wrap, spin	juàn	0	???	8

551	包	276	verb	body-part related actions	三、肢體動作	動詞	wrap, bundle	bāo	0	???	8

552	系	276	verb	body-part related actions	三、肢體動作	動詞	tie, bind	xì	0	???	8

553	解	277	verb	body-part related actions	三、肢體動作	動詞	loosen, untie	xiè	0	???	8

554	剝	277	verb	body-part related actions	三、肢體動作	動詞	peel	bō	0	???	8

555	折(折疊)	278	verb	body-part related actions	三、肢體動作	動詞	fold	shé (-shé-dié-)	0	???	8

556	疊(堆疊)	278	verb	body-part related actions	三、肢體動作	動詞	accumulate	dié (-duī-dié-)	0	???	8

557	鋪	279	verb	body-part related actions	三、肢體動作	動詞	spread	fū	0	???	8

558	裝	279	verb	body-part related actions	三、肢體動作	動詞	fill	zhuàng	0	???	8

559	打	280	verb	body-part related actions	三、肢體動作	動詞	beat	dǐng	0	???	8

560	捅	280	verb	body-part related actions	三、肢體動作	動詞	jab	tǒng	0	???	8

561	碰	281	verb	body-part related actions	三、肢體動作	動詞	collide, bump into	pèng	0	???	8

562	撕	281	verb	body-part related actions	三、肢體動作	動詞	rip, tear	xī	0	???	8

563	彈	282	verb	body-part related actions	三、肢體動作	動詞	strengh	tán	0	???	8

564	扔	282	verb	body-part related actions	三、肢體動作	動詞	throw, throw away	rèng	1456	THROW (verb)	3
564	扔	282	verb	body-part related actions	三、肢體動作	動詞	throw, throw away	rèng	1456	THROW (verb)	5

565	塡	283	verb	body-part related actions	三、肢體動作	動詞	fill in, fill up	tián	0	???	8

566	埋	283	verb	body-part related actions	三、肢體動作	動詞	bury	mái	0	???	8

567	走	284	verb	body-part related actions	三、肢體動作	動詞	walk, go (on foot), leave	zòu	1443	WALK (verb)	3
567	走	284	verb	body-part related actions	三、肢體動作	動詞	walk, go (on foot), leave	zòu	0	???	8

568	跑	284	verb	body-part related actions	三、肢體動作	動詞	run	bó	1519	RUN (verb)	3

569	跳	285	verb	body-part related actions	三、肢體動作	動詞	jump	tiáo	0	???	8

570	踩	285	verb	body-part related actions	三、肢體動作	動詞	step (on something with the foot)	cǎi	0	???	8

571	跨	286	verb	body-part related actions	三、肢體動作	動詞	stride	kuā	0	???	8

572	站	286	verb	body-part related actions	三、肢體動作	動詞	stand, stand up	zhàn	1442	STAND (verb)	3
572	站	286	verb	body-part related actions	三、肢體動作	動詞	stand, stand up	zhàn	1442	STAND (verb)	5

573	蹲	287	verb	body-part related actions	三、肢體動作	動詞	bend down	dūn/cún	215	LIE DOWN (verb)	5

574	靠	287	verb	body-part related actions	三、肢體動作	動詞	lean on, depend on	kào	0	???	8

575	躺	288	verb	body-part related actions	三、肢體動作	動詞	lie down, lie (sleep)	tǎng	215	LIE DOWN (verb)	3
575	躺	288	verb	body-part related actions	三、肢體動作	動詞	lie down, lie (sleep)	tǎng	???	???	8

576	摔	288	verb	body-part related actions	三、肢體動作	動詞	fall to the ground	shuāi	0	???	8

577	擠	289	verb	body-part related actions	三、肢體動作	動詞	squeeze, push against	jǐ	0	???	8
577	擠	289	verb	body-part related actions	三、肢體動作	動詞	squeeze, push against	jǐ	???	???	8

578	躱	289	verb	body-part related actions	三、肢體動作	動詞	hide	duǒ	602	HIDE, CONCEAL (verb)	2

579	挑	290	verb	body-part related actions	三、肢體動作	動詞	carry (on shoulder or back)	tāo	0	???	8

580	措	290	verb	body-part related actions	三、肢體動作	動詞	collect	cuò/cù	0	???	8

581	跟	291	verb	body-part related actions	三、肢體動作	動詞	follow	gēn	0	???	8

582	逃跑	291	verb	body-part related actions	三、肢體動作	動詞	flee, run away	táo-bó	0	???	8
582	逃跑	291	verb	body-part related actions	三、肢體動作	動詞	flee, run away	táo-bó	???	???	8

583	脫	292	verb	daily actions	四、日常操作	動詞	take off (clothes)	duó	0	???	8

584	戴	292	verb	daily actions	四、日常操作	動詞	wear (on head)	dài	0	???	8

585	洗	293	verb	daily actions	四、日常操作	動詞	wash	xǐ	0	???	8

586	刷	293	verb	daily actions	四、日常操作	動詞	brush	shuā	0	???	8

587	涮	294	verb	daily actions	四、日常操作	動詞	boil out	shuàn	0	???	8

588	漱口	294	verb	daily actions	四、日常操作	動詞	gargle	shù-kǒu	0	???	8

589	冼澡	295	verb	daily actions	四、日常操作	動詞	wash (onself)	xiǎn-zǎo	0	???	8

590	曬	295	verb	daily actions	四、日常操作	動詞	take a sunbath	xì	0	???	8

591	晾	296	verb	daily actions	四、日常操作	動詞	dry in the sun	liàng	1343	SUN (noun)	5

592	熨	296	verb	daily actions	四、日常操作	動詞	iron	yù	0	???	8

593	染	297	verb	daily actions	四、日常操作	動詞	dye (hair)	ràn	0	???	8

594	剪	297	verb	daily actions	四、日常操作	動詞	cut	jiǎn	0	???	8

595	裁	298	verb	daily actions	四、日常操作	動詞	cut	cái	0	???	8

596	切	298	verb	daily actions	四、日常操作	動詞	cut (in two parts)	qiē,	0	???	8

597	割	299	verb	daily actions	四、日常操作	動詞	cut off	gē	0	???	8

598	刴	299	verb	daily actions	四、日常操作	動詞	hack (to pieces)	duò	0	???	8

599	殺	300	verb	daily actions	四、日常操作	動詞	kill	shài	1417	KILL (verb)	3

600	宰	300	verb	daily actions	四、日常操作	動詞	to slaughter	zǎi	0	???	8

601	潑	301	verb	daily actions	四、日常操作	動詞	pour, splash	pō	0	???	8

602	澆	301	verb	daily actions	四、日常操作	動詞	water, sprinkle	ào	948	WATER (noun)	3
602	澆	301	verb	daily actions	四、日常操作	動詞	water, sprinkle	ào	0	???	8

603	掃	302	verb	daily actions	四、日常操作	動詞	sweep	sào	0	???	8

604	點	302	verb	daily actions	四、日常操作	動詞	point to, nod	diǎn	0	???	8

605	收拾	303	verb	daily actions	四、日常操作	動詞	gather, collect	shōu-shí	0	???	8

606	撹和	303	verb	daily actions	四、日常操作	動詞	mix, blend	jiǎo-hé	0	???	8

607	拌	304	verb	daily actions	四、日常操作	動詞	mix	bàn	0	???	8

608	選擇	304	verb	daily actions	四、日常操作	動詞	select	suǎn-zé	0	???	8

609	藏(收存)	305	verb	daily actions	四、日常操作	動詞	safe (money), collect (money)	zàng (-shōu-cún-)	0	???	8

610	說	305	verb	communication	五、交際、事務、人事	動詞	speak	yuè	0	???	8

611	閑淡	306	verb	communication	五、交際、事務、人事	動詞	talk, make smalltalk	xián-yǎn	0	???	8

612	問	306	verb	communication	五、交際、事務、人事	動詞	ask	wèn	0	???	8

613	理	307	verb	communication	五、交際、事務、人事	動詞	manage	lǐ	0	???	8

614	叫	307	verb	communication	五、交際、事務、人事	動詞	call	jiào	0	???	8

615	喊	308	verb	communication	五、交際、事務、人事	動詞	shout, cry	hǎn	0	???	8
615	喊	308	verb	communication	五、交際、事務、人事	動詞	shout, cry	hǎn	1839	CRY (verb)	3

616	笑	308	verb	communication	五、交際、事務、人事	動詞	smile	xiào	0	???	8

617	哭	309	verb	communication	五、交際、事務、人事	動詞	weep, cry	kū	0	???	8
617	哭	309	verb	communication	五、交際、事務、人事	動詞	weep, cry	kū	1839	CRY (verb)	3

618	駡	309	verb	communication	五、交際、事務、人事	動詞	shout, scold	mà	0	???	8

619	開玩笑	310	verb	communication	五、交際、事務、人事	動詞	make a joke	kāi-wán/wàn-xiào	0	???	8

620	發脾氣	310	verb	communication	五、交際、事務、人事	動詞	get angry	fā-pí-qì	0	???	8

621	吵架	311	verb	communication	五、交際、事務、人事	動詞	argue, quarell	chǎo-jià	0	???	8

622	打架	311	verb	communication	五、交際、事務、人事	動詞	fight	dǐng-jià	1423	FIGHT (verb)	3

623	勸	312	verb	communication	五、交際、事務、人事	動詞	recommend	quàn	0	???	8

624	吹牛	312	verb	communication	五、交際、事務、人事	動詞	boast	chuì-niú	0	???	8

625	拍馬	313	verb	communication	五、交際、事務、人事	動詞	flatter	pāi-mǎ	0	???	8

626	發誓	313	verb	communication	五、交際、事務、人事	動詞	swear, vow	fā-shì	0	???	8

627	陪	314	verb	communication	五、交際、事務、人事	動詞	accompany	péi	0	???	8

628	做事兒	314	verb	communication	五、交際、事務、人事	動詞	do something	zuò-zì-ní	0	???	8

629	幹活兒	315	verb	communication	五、交際、事務、人事	動詞	work	gàn-guō-ní	0	???	8

630	種地	315	verb	communication	五、交際、事務、人事	動詞	cultivate	zhòng-dì	0	???	8

631	開車	316	verb	communication	五、交際、事務、人事	動詞	drive a car	kāi-chē	0	???	8

632	買布	316	verb	communication	五、交際、事務、人事	動詞	buy cloth	mǎi-bù	???	???	8

633	買油	317	verb	communication	五、交際、事務、人事	動詞	buy oil	mǎi-yóu	???	???	8

634	買藥(買中藥)	317	verb	communication	五、交際、事務、人事	動詞	buy Chinese medicine	mǎi-yào (-mǎi-zhòng-yào-)	???	???	8

635	活	318	verb	communication	五、交際、事務、人事	動詞	live	guō	0	???	8

636	死	318	verb	communication	五、交際、事務、人事	動詞	die	sǐ	1494	DIE (verb)	3

637	結婚(指男方)	319	verb	communication	五、交際、事務、人事	動詞	marry (of a man)	jié-hūn (-zhǐ-nán-fāng-)	2164	MARRY (AS MAN) (verb)	3

638	結婚(指女方)	319	verb	communication	五、交際、事務、人事	動詞	marry (of a woman)	jié-hūn (-zhǐ-nǜ-fāng-)	2164	MARRY (AS MAN) (verb)	3

639	生(生育)	320	verb	communication	五、交際、事務、人事	動詞	give birth	shēng (-shēng-yù-)	???	???	8

640	上課	320	verb	culture, music	六、文化、娛樂	動詞	start class, go to class	shàng-kē	0	???	8

641	下課	321	verb	culture, music	六、文化、娛樂	動詞	finish class	xià-kē	0	???	8

642	敎	321	verb	culture, music	六、文化、娛樂	動詞	teach	jiào	0	???	8

643	學	322	verb	culture, music	六、文化、娛樂	動詞	learn	xué	504	LEARN (verb)	3

644	玩兒	322	verb	culture, music	六、文化、娛樂	動詞	play	wán/wàn-ní	1413	PLAY (verb)	3

645	遊泳	323	verb	culture, music	六、文化、娛樂	動詞	swim	yóu-yǒng	0	???	8

646	照相	323	verb	culture, music	六、文化、娛樂	動詞	take a picture	zhào-xiāng	0	???	8

647	贏	324	verb	culture, music	六、文化、娛樂	動詞	win	yíng	0	???	8

648	輸	324	verb	culture, music	六、文化、娛樂	動詞	transport, carry	shū	0	???	8

649	休息	325	verb	physiology and disease	七、生理、病理	動詞	rest	xiū-xī	0	???	8

650	睡覺	325	verb	physiology and disease	七、生理、病理	動詞	sleep	shuì-jiào	1585	SLEEP (verb)	3

651	打呵欠	326	verb	physiology and disease	七、生理、病理	動詞	yawn	dǐng-hē-qiàn	0	???	8

652	打瞌睡	326	verb	physiology and disease	七、生理、病理	動詞	doze off	dǎ-kē-shuì	0	???	8

653	打冷噤	327	verb	physiology and disease	七、生理、病理	動詞	shiver	dǐng-líng-jìn	0	???	8

654	哆嗦	327	verb	physiology and disease	七、生理、病理	動詞	tremble	duō-suo	0	???	8

655	噴嚏	328	verb	physiology and disease	七、生理、病理	動詞	sneeze	pèn-tì	0	???	8

656	抓癢	328	verb	physiology and disease	七、生理、病理	動詞	scratch (to relieve itch)	zhāo-yǎng	1436	SCRATCH (verb)	2

657	撒(撒尿)	329	verb	physiology and disease	七、生理、病理	動詞	pee, piss	sā (sā-niào)	0	???	8

658	拉(拉屎)	329	verb	physiology and disease	七、生理、病理	動詞	defecate, shit	lā (-lā-shǐ-)	0	???	8

659	生病	330	verb	physiology and disease	七、生理、病理	動詞	fall ill	shēng-bìng	0	???	8

660	著涼	330	verb	physiology and disease	七、生理、病理	動詞	catch a cold	zhuó-liáng	???	???	8

661	咳嗽	331	verb	physiology and disease	七、生理、病理	動詞	cough	hái-sù	0	???	8

662	頭暈	331	verb	physiology and disease	七、生理、病理	動詞	get dizzy	tóu-yùn	0	???	8

663	發燒	332	verb	physiology and disease	七、生理、病理	動詞	have a fever	fā-shāo	0	???	8

664	瀉肚	332	verb	physiology and disease	七、生理、病理	動詞	have diarrhoea	xiè-dǔ	0	???	8

665	生瘧疾	333	verb	physiology and disease	七、生理、病理	動詞	get malaria	shēng-nǜe-jí	0	???	8

666	喜歡	333	verb	perceive, reflect	八、感受、思維	動詞	like	xì-huān	0	???	8

667	討厭	334	verb	perceive, reflect	八、感受、思維	動詞	dislike	tǎo-yā	0	???	8

668	怪	334	verb	perceive, reflect	八、感受、思維	動詞	make responsible for	guài	0	???	8

669	恨	335	verb	perceive, reflect	八、感受、思維	動詞	hate	hèn	0	???	8

670	後悔	335	verb	perceive, reflect	八、感受、思維	動詞	regret	hòu-huì	0	???	8

671	怕	336	verb	perceive, reflect	八、感受、思維	動詞	fear	bó	0	???	8

672	知道	336	verb	perceive, reflect	八、感受、思維	動詞	know	zhī-dào	2248	KNOW (SOMEBODY) (verb)	3

673	想	337	verb	perceive, reflect	八、感受、思維	動詞	think	xiǎng	1513	THINK (BELIEVE) (verb)	3

674	打算	337	verb	perceive, reflect	八、感受、思維	動詞	plan, intend	dǐng-suàn	0	???	8

675	相信	338	verb	perceive, reflect	八、感受、思維	動詞	believe, trust	xiāng-xìn	0	???	8

676	懷疑	338	verb	perceive, reflect	八、感受、思維	動詞	doubt	huái-yí	0	???	8

677	小心	339	verb	perceive, reflect	八、感受、思維	動詞	take care	xiǎo-xīn	0	???	8

678	想念	339	verb	perceive, reflect	八、感受、思維	動詞	miss, long for	xiǎng-niàn	0	???	8
678	想念	339	verb	perceive, reflect	八、感受、思維	動詞	miss, long for	xiǎng-niàn	1203	LONG (adjective)	5

679	忘記	340	verb	perceive, reflect	八、感受、思維	動詞	forget	wáng-jì	1523	FORGET (verb)	3

680	要	340	verb	perceive, reflect	八、感受、思維	動詞	want	yāo	0	???	8

681	不要	341	verb	perceive, reflect	八、感受、思維	動詞	refrain from, do not want	fǒu-yāo	0	???	8

682	應該	341	verb	desire, judge	九、願望、判斷	動詞	must	yīng-gāi	0	???	8

683	値得	342	verb	desire, judge	九、願望、判斷	動詞	be necessary	zhí-děi	0	???	8

684	是	342	verb	desire, judge	九、願望、判斷	動詞	be	shì	0	???	8

685	不是	343	verb	desire, judge	九、願望、判斷	動詞	be not	fǒu-shì	0	???	8

686	沒有(無)	343	verb	desire, judge	九、願望、判斷	動詞	lack, have not	mò-yǒu (-mó-)	0	???	8

687	接吻	344	verb	other	十、其他	動詞	kiss	jiē--	0	???	8

688	上墳	344	verb	other	十、其他	動詞	visit a grave	shàng-fèn	0	???	8

689	遺失	345	verb	other	十、其他	動詞	loose	wèi-shī	0	???	8

690	浪費	345	verb	other	十、其他	動詞	waste	láng-fèi	0	???	8

691	大	346	adjective	appearance, situation	一、形狀、情況	形容詞	big	dà	1202	BIG (adjective)	3

692	小	346	adjective	appearance, situation	一、形狀、情況	形容詞	small	xiǎo	1246	SMALL (adjective)	3

693	高	347	adjective	appearance, situation	一、形狀、情況	形容詞	high	gāo	1265	HIGH (adjective)	3

694	低	347	adjective	appearance, situation	一、形狀、情況	形容詞	low	dī	0	???	8

695	矮	348	adjective	appearance, situation	一、形狀、情況	形容詞	short	ǎi	1645	SHORT (adjective)	3

696	長	348	adjective	appearance, situation	一、形狀、情況	形容詞	long	cháng	1203	LONG (adjective)	3

697	短	349	adjective	appearance, situation	一、形狀、情況	形容詞	short	duǎn	1645	SHORT (adjective)	3

698	粗	349	adjective	appearance, situation	一、形狀、情況	形容詞	rough	cū	0	???	8

699	細	350	adjective	appearance, situation	一、形狀、情況	形容詞	fine	xì	0	???	8

700	寬	350	adjective	appearance, situation	一、形狀、情況	形容詞	broad	kuān	0	???	8

701	窄	351	adjective	appearance, situation	一、形狀、情況	形容詞	narrow	zhǎi	1267	NARROW (adjective)	3

702	厚	351	adjective	appearance, situation	一、形狀、情況	形容詞	thick	hòu	1244	THICK (adjective)	3

703	薄	352	adjective	appearance, situation	一、形狀、情況	形容詞	thin	báo	1400	THIN (SLIM) (adjective)	3

704	深	352	adjective	appearance, situation	一、形狀、情況	形容詞	deep	shēn	0	???	8

705	淺	353	adjective	appearance, situation	一、形狀、情況	形容詞	shallow	jiān	0	???	8

706	空	353	adjective	appearance, situation	一、形狀、情況	形容詞	empty	kòng	0	???	8

707	滿	354	adjective	appearance, situation	一、形狀、情況	形容詞	full	mǎn	1429	FULL (adjective)	3

708	方	354	adjective	appearance, situation	一、形狀、情況	形容詞	angular, having the form of a square	fāng	0	???	8

709	圓	355	adjective	appearance, situation	一、形狀、情況	形容詞	circular, round	yuán	0	???	8
709	圓	355	adjective	appearance, situation	一、形狀、情況	形容詞	circular, round	yuán	1395	ROUND (adjective)	3

710	平	355	adjective	appearance, situation	一、形狀、情況	形容詞	flat	píng	0	???	8

711	正	356	adjective	appearance, situation	一、形狀、情況	形容詞	right	zhèng	1019	RIGHT (adjective)	3

712	反	356	adjective	appearance, situation	一、形狀、情況	形容詞	reverse, opposite	fǎn	0	???	8

713	歪	357	adjective	appearance, situation	一、形狀、情況	形容詞	slanted	wāi/huā	0	???	8

714	橫	357	adjective	appearance, situation	一、形狀、情況	形容詞	horizontal	héng	2376	HORIZONTAL (noun)	3

715	竪	358	adjective	appearance, situation	一、形狀、情況	形容詞	vertical	shù	0	???	8

716	直	358	adjective	appearance, situation	一、形狀、情況	形容詞	straight, erect	zhí	1404	STRAIGHT (adjective)	3
716	直	358	adjective	appearance, situation	一、形狀、情況	形容詞	straight, erect	zhí	0	???	8

717	斜	359	adjective	appearance, situation	一、形狀、情況	形容詞	slanting, inclined	xié	0	???	8

718	陡	359	adjective	appearance, situation	一、形狀、情況	形容詞	steep	dǒu	0	???	8

719	彎	360	adjective	appearance, situation	一、形狀、情況	形容詞	bend	wān	0	???	8

720	亮	360	adjective	appearance, situation	一、形狀、情況	形容詞	bright	liàng	0	???	8

721	暗	361	adjective	appearance, situation	一、形狀、情況	形容詞	dark	àn	706	DARK (adjective)	3

722	黑	361	adjective	appearance, situation	一、形狀、情況	形容詞	black	hēi	163	BLACK (adjective)	3

723	輕	362	adjective	appearance, situation	一、形狀、情況	形容詞	light (of weight)	qīng	737	LIGHT (IGNITE) (verb)	3

724	重	362	adjective	appearance, situation	一、形狀、情況	形容詞	heavy	zhòng	1210	HEAVY (adjective)	3

725	幹	363	adjective	appearance, situation	一、形狀、情況	形容詞	dry	gàn	1398	DRY (adjective)	3

726	濕	363	adjective	appearance, situation	一、形狀、情況	形容詞	wet	shī	1726	WET (adjective)	3

727	稠	364	adjective	appearance, situation	一、形狀、情況	形容詞	stiff (of eggs)	chóu	0	???	8

728	釅	364	adjective	appearance, situation	一、形狀、情況	形容詞	thick or strong (of tea)	yàn	1244	THICK (adjective)	3
728	釅	364	adjective	appearance, situation	一、形狀、情況	形容詞	thick or strong (of tea)	yàn	0	???	8

729	稀	365	adjective	appearance, situation	一、形狀、情況	形容詞	rare, scarce	xī	0	???	8

730	硬	365	adjective	appearance, situation	一、形狀、情況	形容詞	hard, firm	yìng	1884	HARD (adjective)	3
730	硬	365	adjective	appearance, situation	一、形狀、情況	形容詞	hard, firm	yìng	0	???	8

731	軟	366	adjective	appearance, situation	一、形狀、情況	形容詞	soft, flexible	ruǎn	1856	SOFT (adjective)	3
731	軟	366	adjective	appearance, situation	一、形狀、情況	形容詞	soft, flexible	ruǎn	0	???	8

732	老(不嫩)	366	adjective	appearance, situation	一、形狀、情況	形容詞	old	lǎo (-fǒu-nèn-)	2112	OLD (AGED)	2

733	嫩	367	adjective	appearance, situation	一、形狀、情況	形容詞	young	nèn	1207	YOUNG (adjective)	3

734	脆	367	adjective	appearance, situation	一、形狀、情況	形容詞	fragile	cuì	0	???	8

735	結實	368	adjective	appearance, situation	一、形狀、情況	形容詞	robust	jié-shí	0	???	8

736	生(不熟)	368	adjective	appearance, situation	一、形狀、情況	形容詞	unripe	shēng (-fǒu-shóu-)	0	???	8

737	整齊	369	adjective	appearance, situation	一、形狀、情況	形容詞	tidy, neat	zhěng-jì	0	???	8

738	亂	369	adjective	appearance, situation	一、形狀、情況	形容詞	untidy, chaotic	luàn	0	???	8

739	破	370	adjective	appearance, situation	一、形狀、情況	形容詞	broken	pò	0	???	8

740	幹淨	370	adjective	appearance, situation	一、形狀、情況	形容詞	clean	gàn-jìng	0	???	8

741	骯髒	371	adjective	appearance, situation	一、形狀、情況	形容詞	dirty	hàng-zǎng	1230	DIRTY (adjective)	3

742	熱鬧	371	adjective	appearance, situation	一、形狀、情況	形容詞	crowdy	rè-nào	0	???	8

743	淸楚	372	adjective	appearance, situation	一、形狀、情況	形容詞	transparent, clear	qīng-chǔ	0	???	8

744	模糊	372	adjective	appearance, situation	一、形狀、情況	形容詞	blurred, intransparent	mú-hú	0	???	8

745	渾	373	adjective	appearance, situation	一、形狀、情況	形容詞	muddy	hùn	0	???	8

746	快(鋒利)	373	adjective	appearance, situation	一、形狀、情況	形容詞	sharp (knife)	kuài (-fēng-lì-)	1396	SHARP (adjective)	3

747	快(迅速)	374	adjective	appearance, situation	一、形狀、情況	形容詞	quick, fast	kuài (-xìn-sù-)	0	???	8

748	早	374	adjective	appearance, situation	一、形狀、情況	形容詞	early	zǎo	672	EARLY	2

749	晚	375	adjective	appearance, situation	一、形狀、情況	形容詞	late	wǎn	477	LATE	2

750	好	375	adjective	character	二、性質	形容詞	good	hào	1035	GOOD (adjective)	3

751	壞	376	adjective	character	二、性質	形容詞	bad	guài	1292	BAD (adjective)	3

752	差	376	adjective	character	二、性質	形容詞	different, wrong	cī	0	???	8

753	難	377	adjective	character	二、性質	形容詞	difficult	nán	0	???	8

754	容易	377	adjective	character	二、性質	形容詞	easy	róng/yóng-yì	0	???	8

755	貴	378	adjective	character	二、性質	形容詞	expensive	guì	0	???	8

756	便宜	378	adjective	character	二、性質	形容詞	cheap	biàn-yí	0	???	8

757	熱	379	adjective	physiological perception	三、生理感覺	形容詞	hot	rè	1286	HOT (adjective)	3

758	冷	379	adjective	physiological perception	三、生理感覺	形容詞	cold	líng	1287	COLD (OF TEMPERATURE) (adjective)	3

759	燙	380	adjective	physiological perception	三、生理感覺	形容詞	hot (food), sharp (food)	tàng	1286	HOT (adjective)	3
759	燙	380	adjective	physiological perception	三、生理感覺	形容詞	hot (food), sharp (food)	tàng	1396	SHARP (adjective)	3

760	曖和	380	adjective	physiological perception	三、生理感覺	形容詞	warm	ài-hè	0	???	8

761	溫	381	adjective	physiological perception	三、生理感覺	形容詞	lukewarm	wēn	0	???	8

762	涼	381	adjective	physiological perception	三、生理感覺	形容詞	cold, cool	liáng	1287	COLD (OF TEMPERATURE) (adjective)	3
762	涼	381	adjective	physiological perception	三、生理感覺	形容詞	cold, cool	liáng	0	???	8

763	香	382	adjective	physiological perception	三、生理感覺	形容詞	fragrant	xiāng	0	???	8

764	臭	382	adjective	physiological perception	三、生理感覺	形容詞	stinking	chòu	0	???	8

765	餿	383	adjective	physiological perception	三、生理感覺	形容詞	rotten, sour	sōu	0	???	8

766	鹹	383	adjective	physiological perception	三、生理感覺	形容詞	salty	xián	1091	SALTY (adjective)	3

767	淡	384	adjective	physiological perception	三、生理感覺	形容詞	tasteless	yǎn	0	???	8

768	餓	384	adjective	physiological perception	三、生理感覺	形容詞	hungry	è	0	???	8

769	渴	385	adjective	physiological perception	三、生理感覺	形容詞	thirsty	kě	0	???	8

770	累	385	adjective	physiological perception	三、生理感覺	形容詞	tired	lèi	0	???	8

771	癢	386	adjective	physiological perception	三、生理感覺	形容詞	itchy	yǎng	0	???	8

772	舒服	386	adjective	physiological perception	三、生理感覺	形容詞	comfortable	shū-fú	0	???	8

773	忙	387	adjective	physiological perception	三、生理感覺	形容詞	busy	máng	0	???	8

774	閑	387	adjective	physiological perception	三、生理感覺	形容詞	idle	xián	0	???	8

775	胖	388	adjective	describing body appearance	四、形貌體態	形容詞	fat, obese	pàn	0	???	8

776	肥	388	adjective	describing body appearance	四、形貌體態	形容詞	fat, oily	féi	0	???	8

777	瘦	389	adjective	describing body appearance	四、形貌體態	形容詞	thin	shòu	1400	THIN (SLIM) (adjective)	3

778	老(不年輕)	389	adjective	describing body appearance	四、形貌體態	形容詞	old, aged	lǎo (-fǒu-nián-qīng-)	2112	OLD (AGED)	2
778	老(不年輕)	389	adjective	describing body appearance	四、形貌體態	形容詞	old, aged	lǎo (-fǒu-nián-qīng-)	0	???	8

779	年輕	390	adjective	describing body appearance	四、形貌體態	形容詞	young	nián-qīng	1207	YOUNG (adjective)	3

780	好看、漂亮	390	adjective	describing body appearance	四、形貌體態	形容詞	goodlooking, beautiful	hào-kàn-、-piāo-liàng	0	???	8

781	難看、醜	391	adjective	describing body appearance	四、形貌體態	形容詞	ugly	nán-kàn-、-chǒu	0	???	8

782	強壯	391	adjective	describing body appearance	四、形貌體態	形容詞	strong	qiáng-zhuàng	0	???	8

783	傻	392	adjective	behavior	五、品性、行為	形容詞	stupid	shuà	0	???	8

784	老實	392	adjective	behavior	五、品性、行為	形容詞	honest	lǎo-shí	0	???	8

785	狡猾	393	adjective	behavior	五、品性、行為	形容詞	cunning	jiǎo-huá	0	???	8

786	直爽	393	adjective	behavior	五、品性、行為	形容詞	honest, frank	zhí-shuǎng	0	???	8

787	大方	394	adjective	behavior	五、品性、行為	形容詞	generous	dà-fāng	0	???	8

788	小氣	394	adjective	behavior	五、品性、行為	形容詞	cheap, stingy	xiǎo-qì	0	???	8

789	驕傲	395	adjective	behavior	五、品性、行為	形容詞	proud	jiāo-ào	0	???	8

790	謙虛	395	adjective	behavior	五、品性、行為	形容詞	modest	qiān-xū	0	???	8

