NUMBER	ENGLISH	SUBSET	SOURCE
Shin-1995-1468-875	875	noise	(1500)	B. & Th.
Shin-1995-1468-876	876	noon	(700)	B. & Th., JHG
Shin-1995-1468-877	877	north	(700)	B. & Th., JHG
Shin-1995-1468-878	878	nose	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-879	879	nostril	(1500)	B. & Th.
Shin-1995-1468-880	880	not	(400)	B. & Th., C. & S., MS
Shin-1995-1468-881	881	nothing	(700)	B. & Th., JHG
Shin-1995-1468-882	882	nut	(1500)	K. & K.
Shin-1995-1468-883	883	oak	(1500)	K. & K.
Shin-1995-1468-884	884	oat flour	(1500)	K. & K.
Shin-1995-1468-885	885	oath	(1500)	K. & K.
Shin-1995-1468-886	886	oats	(1500)	K. & K.
Shin-1995-1468-887	887	obey	(1500)	CL
Shin-1995-1468-888	888	obtain	(700)	B. & Th., JHG
Shin-1995-1468-889	889	oil	(700)	B. & Th., JHG
Shin-1995-1468-890	890	oil palm	(1500)	B. & Th.
Shin-1995-1468-891	891	old	(200)	B. & Th., C. & S., CL, K. & K., MS
Shin-1995-1468-892	892	old man	(700)	B. & Th., JHG
Shin-1995-1468-893	893	old woman	(700)	B. & Th., JHG
Shin-1995-1468-894	894	one	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-895	895	oneself	(1500)	B. & Th.
Shin-1995-1468-896	896	onion	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-897	897	open	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-898	898	orderly	(1500)	CL
Shin-1995-1468-899	899	Orion	(1500)	B. & Th.
Shin-1995-1468-900	900	other	(200)	B. & Th., C. & S., CL, MS
Shin-1995-1468-901	901	outside	(700)	B. & Th., JHG
Shin-1995-1468-902	902	overcome	(1500)	CL
Shin-1995-1468-903	903	overtake	(1500)	B. & Th.
Shin-1995-1468-904	904	ox	(1500)	K. & K.
Shin-1995-1468-905	905	oyster	(1500)	B. & Th.
Shin-1995-1468-906	906	pack	(1500)	K. & K.
Shin-1995-1468-907	907	package	(1500)	B. & Th.
Shin-1995-1468-908	908	paddle	(1500)	B. & Th.
Shin-1995-1468-909	909	paint	(1500)	CL
Shin-1995-1468-910	910	panther	(700)	B. & Th.
Shin-1995-1468-911	911	papakha	(1500)	K. & K.
Shin-1995-1468-912	912	partridge	(1500)	K. & K.
Shin-1995-1468-913	913	pay	(700)	B. & Th., CL
Shin-1995-1468-914	914	pea	(1500)	K. & K.
Shin-1995-1468-915	915	pear	(1500)	K. & K.
Shin-1995-1468-916	916	peel	(1500)	CL
Shin-1995-1468-917	917	penis	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-918	918	pepper	(700)	B. & Th., JHG
Shin-1995-1468-919	919	person	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-920	920	persuade	(1500)	CL
Shin-1995-1468-921	921	pick	(1500)	K. & K.
Shin-1995-1468-922	922	pierce	(1500)	B. & Th.
Shin-1995-1468-923	923	pigeon	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-924	924	pimento	(1500)	B. & Th.
Shin-1995-1468-925	925	pimple	(1500)	K. & K.
Shin-1995-1468-926	926	pinch	(1500)	CL
Shin-1995-1468-927	927	pit	(1500)	K. & K.
Shin-1995-1468-928	928	pitchfork	(1500)	K. & K.
Shin-1995-1468-929	929	place	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-930	930	plait	(700)	B. & Th., JHG
Shin-1995-1468-931	931	plant	(700)	B. & Th., CL
Shin-1995-1468-932	932	plate	(1500)	K. & K.
Shin-1995-1468-933	933	play	(200)	B. & Th., C. & S., CL, MS
Shin-1995-1468-934	934	please	(1500)	CL
Shin-1995-1468-935	935	plough	(1500)	K. & K.
Shin-1995-1468-936	936	ploughshare	(1500)	K. & K.
Shin-1995-1468-937	937	plum	(1500)	K. & K.
Shin-1995-1468-938	938	point	(700)	B. & Th., K. & K.
Shin-1995-1468-939	939	poison	(1500)	B. & Th.
Shin-1995-1468-940	940	poison	(1500)	B. & Th.
Shin-1995-1468-941	941	pole	(1500)	K. & K.
Shin-1995-1468-942	942	poor	(700)	B. & Th., CL
Shin-1995-1468-943	943	possess	(1500)	CL
Shin-1995-1468-944	944	possible	(1500)	CL
Shin-1995-1468-945	945	pot	(700)	B. & Th., JHG
Shin-1995-1468-946	946	potter	(700)	B. & Th., JHG
Shin-1995-1468-947	947	pour	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-948	948	praise	(700)	CL, K. & K.
Shin-1995-1468-949	949	prayer	(1500)	K. & K.
Shin-1995-1468-950	950	predatory bird	(1500)	K. & K.
Shin-1995-1468-951	951	predatory night bird	(1500)	K. & K.
Shin-1995-1468-952	952	present	(1500)	CL
Shin-1995-1468-953	953	press	(1500)	CL
Shin-1995-1468-954	954	presuppose	(1500)	CL
Shin-1995-1468-955	955	pretty	(1500)	CL
Shin-1995-1468-956	956	prisoner	(1500)	B. & Th.
Shin-1995-1468-957	957	proboscis	(1500)	B. & Th.
Shin-1995-1468-958	958	proclaim	(1500)	B. & Th.
Shin-1995-1468-959	959	provoke	(1500)	B. & Th.
Shin-1995-1468-960	960	pubic hair	(1500)	B. & Th.
Shin-1995-1468-961	961	pull	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-962	962	puppy	(1500)	K. & K.
Shin-1995-1468-963	963	pus	(1500)	K. & K.
Shin-1995-1468-964	964	push	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-965	965	put	(400)	B. & Th., CL, K. & K.
Shin-1995-1468-966	966	put away	(700)	B. & Th., JHG
Shin-1995-1468-967	967	put down	(700)	B. & Th., JHG
Shin-1995-1468-968	968	put on	(1500)	K. & K.
Shin-1995-1468-969	969	put on clothing	(1500)	K. & K.
Shin-1995-1468-970	970	put on trousers	(1500)	K. & K.
Shin-1995-1468-971	971	put out	(1500)	K. & K.
Shin-1995-1468-972	972	python	(1500)	B. & Th.
Shin-1995-1468-973	973	quickly	(1500)	K. & K.
Shin-1995-1468-974	974	quiver	(700)	B. & Th., JHG
Shin-1995-1468-975	975	rabbit	(700)	B. & Th., JHG
Shin-1995-1468-976	976	rain	(1500)	CL
Shin-1995-1468-977	977	rain	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-978	978	rainy season	(700)	B. & Th., JHG
Shin-1995-1468-979	979	rake	(1500)	K. & K.
Shin-1995-1468-980	980	ram	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-981	981	raspberry	(1500)	K. & K.
Shin-1995-1468-982	982	rattan	(1500)	B. & Th.
Shin-1995-1468-983	983	rattle	(1500)	CL
Shin-1995-1468-984	984	reach	(700)	CL, K. & K.
Shin-1995-1468-985	985	read	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-986	986	reap	(1500)	K. & K.
Shin-1995-1468-987	987	receive	(1500)	B. & Th.
Shin-1995-1468-988	988	red	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-989	989	redo	(1500)	B. & Th.
Shin-1995-1468-990	990	reed	(1500)	B. & Th.
Shin-1995-1468-991	991	refuse	(400)	B. & Th., CL, JHG
Shin-1995-1468-992	992	reject	(1500)	CL
Shin-1995-1468-993	993	remaining	(1500)	CL
Shin-1995-1468-994	994	remember	(400)	B. & Th., CL, JHG
Shin-1995-1468-995	995	remove	(1500)	CL
Shin-1995-1468-996	996	render	(1500)	CL
Shin-1995-1468-997	997	rennet bag	(1500)	K. & K.
Shin-1995-1468-998	998	replace	(1500)	CL
Shin-1995-1468-999	999	reply	(1500)	B. & Th.
Shin-1995-1468-1000	1000	resemble	(700)	B. & Th., CL
Shin-1995-1468-1001	1001	resin	(1500)	K. & K.
Shin-1995-1468-1002	1002	respect	(1500)	CL
Shin-1995-1468-1003	1003	rest	(700)	B. & Th., JHG
Shin-1995-1468-1004	1004	return	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1005	1005	revive	(1500)	B. & Th.
Shin-1995-1468-1006	1006	rhinoceros	(1500)	B. & Th.
Shin-1995-1468-1007	1007	ribs	(700)	B. & Th., JHG
Shin-1995-1468-1008	1008	rich	(700)	B. & Th., CL
Shin-1995-1468-1009	1009	right	(700)	C. & S., MS
Shin-1995-1468-1010	1010	right	(100)	B. & Th.
Shin-1995-1468-1011	1011	rightside	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1012	1012	ring	(100)	B. & Th., JHG
Shin-1995-1468-1013	1013	ring	(100)	K. & K.
Shin-1995-1468-1014	1014	ripe	(100)	B. & Th., CL
Shin-1995-1468-1015	1015	ripen	(1500)	CL
Shin-1995-1468-1016	1016	river	(1500)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1017	1017	river sand	(1500)	B. & Th.
Shin-1995-1468-1018	1018	road	(1500)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1019	1019	roast	(1500)	B. & Th., JHG, K. & K.
Shin-1995-1468-1020	1020	roasted grain	(1500)	K. & K.
Shin-1995-1468-1021	1021	robe	(1500)	B. & Th., JHG
Shin-1995-1468-1022	1022	rock	(1500)	K. & K.
Shin-1995-1468-1023	1023	rock	(1500)	B. & Th., K. & K.
Shin-1995-1468-1024	1024	roe	(1500)	K. & K.
Shin-1995-1468-1025	1025	roll	(1500)	CL
Shin-1995-1468-1026	1026	roof	(1500)	B. & Th., JHG
Shin-1995-1468-1027	1027	room	(1500)	B. & Th., JHG
Shin-1995-1468-1028	1028	root	(1500)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1029	1029	rope	(1500)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-1030	1030	rose-hip	(1500)	K. & K.
Shin-1995-1468-1031	1031	rot	(1500)	K. & K.
Shin-1995-1468-1032	1032	rotate	(1500)	CL
Shin-1995-1468-1033	1033	rotten	(1500)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-1034	1034	round	(1500)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-1035	1035	round stone for driving a roof smooth	(1500)	K. & K.
Shin-1995-1468-1036	1036	rub	(1500)	B. & Th., C. & S., CL, K. & K., MS
Shin-1995-1468-1037	1037	ruins	(1500)	K. & K.
Shin-1995-1468-1038	1038	run	(1500)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1039	1039	run away	(1500)	K. & K.
Shin-1995-1468-1040	1040	rye	(200)	K. & K.
Shin-1995-1468-1041	1041	sabre	(200)	K. & K.
Shin-1995-1468-1042	1042	sad	(200)	B. & Th., CL
Shin-1995-1468-1043	1043	saddle	(200)	K. & K.
Shin-1995-1468-1044	1044	saliva	(200)	B. & Th., JHG, K. & K.
Shin-1995-1468-1045	1045	salt	(200)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1046	1046	same as	(200)	CL
Shin-1995-1468-1047	1047	sand	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-1048	1048	save	(400)	CL
Shin-1995-1468-1049	1049	saw	(400)	CL, K. & K.
Shin-1995-1468-1050	1050	saw	(400)	K. & K.
Shin-1995-1468-1051	1051	say	(400)	B. & Th., C. & S., CL, JHG, MS
Shin-1995-1468-1052	1052	scabbard	(700)	K. & K.
Shin-1995-1468-1053	1053	scissors	(700)	B. & Th., JHG, K. & K.
Shin-1995-1468-1054	1054	scold	(700)	CL
Shin-1995-1468-1055	1055	scoop	(700)	K. & K.
Shin-1995-1468-1056	1056	scorpion	(700)	B. & Th., JHG
Shin-1995-1468-1057	1057	scratch	(700)	B. & Th., C. & S., CL, K. & K., MS
Shin-1995-1468-1058	1058	scythe	(700)	K. & K.
Shin-1995-1468-1059	1059	sea	(700)	C. & S., K. & K., MS
Shin-1995-1468-1060	1060	search	(700)	CL
Shin-1995-1468-1061	1061	seat	(1500)	K. & K.
Shin-1995-1468-1062	1062	secretions from eyes	(1500)	K. & K.
Shin-1995-1468-1063	1063	see	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-1064	1064	seed	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-1065	1065	seize	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1066	1066	self	(1500)	K. & K.
Shin-1995-1468-1067	1067	sell	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1068	1068	send	(700)	B. & Th., CL
Shin-1995-1468-1069	1069	separate	(1500)	B. & Th.
Shin-1995-1468-1070	1070	serve	(1500)	CL
Shin-1995-1468-1071	1071	set fire to	(1500)	K. & K.
Shin-1995-1468-1072	1072	set off	(1500)	B. & Th.
Shin-1995-1468-1073	1073	seven	(200)	B. & Th., JHG, K. & K., MS
Shin-1995-1468-1074	1074	seventeen	(700)	B. & Th., JHG
Shin-1995-1468-1075	1075	seventy	(700)	B. & Th., JHG
Shin-1995-1468-1076	1076	sew	(200)	C. & S., CL, K. & K., MS
Shin-1995-1468-1077	1077	shade	(1500)	K. & K.
Shin-1995-1468-1078	1078	shadow	(700)	B. & Th., JHG
Shin-1995-1468-1079	1079	shady slope of mountain	(1500)	K. & K.
Shin-1995-1468-1080	1080	shake	(700)	B. & Th., CL
Shin-1995-1468-1081	1081	shallow	(700)	B. & Th., JHG
Shin-1995-1468-1082	1082	shame	(1500)	B. & Th.
Shin-1995-1468-1083	1083	sharp	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-1084	1084	sharp	(700)	B. & Th., JHG
Shin-1995-1468-1085	1085	sharpen	(1500)	K. & K.
Shin-1995-1468-1086	1086	shave	(700)	CL, K. & K.
Shin-1995-1468-1087	1087	shawl	(1500)	K. & K.
Shin-1995-1468-1088	1088	she	(1500)	B. & Th.
Shin-1995-1468-1089	1089	sheaf	(1500)	K. & K.
Shin-1995-1468-1090	1090	sheep	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1091	1091	sheep-fold for milking	(1500)	K. & K.
Shin-1995-1468-1092	1092	sheep’s wool	(1500)	K. & K.
Shin-1995-1468-1093	1093	sheepskin coat	(1500)	K. & K.
Shin-1995-1468-1094	1094	shell	(1500)	B. & Th.
Shin-1995-1468-1095	1095	shepherd	(1500)	K. & K.
Shin-1995-1468-1096	1096	shin	(1500)	K. & K.
Shin-1995-1468-1097	1097	shine	(700)	B. & Th., CL
Shin-1995-1468-1098	1098	shiny	(1500)	B. & Th.
Shin-1995-1468-1099	1099	shirt	(1500)	K. & K.
Shin-1995-1468-1100	1100	shit	(1500)	CL
Shin-1995-1468-1101	1101	shoe	(700)	B. & Th., JHG
Shin-1995-1468-1102	1102	shoot	(200)	B. & Th., CL, JHG., K. & K., MS
Shin-1995-1468-1103	1103	short	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-1104	1104	shoulder	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1105	1105	shout	(400)	B. & Th., CL, K. & K.
Shin-1995-1468-1106	1106	show	(700)	B. & Th., JHG
Shin-1995-1468-1107	1107	shrink	(1500)	CL
Shin-1995-1468-1108	1108	shut	(1500)	CL
Shin-1995-1468-1109	1109	shute	(1500)	K. & K.
Shin-1995-1468-1110	1110	sick	(1500)	CL
Shin-1995-1468-1111	1111	sickle	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1112	1112	sickness	(700)	B. & Th., JHG
Shin-1995-1468-1113	1113	side	(1500)	K. & K.
Shin-1995-1468-1114	1114	sieve	(700)	B. & Th., K. & K.
Shin-1995-1468-1115	1115	sift	(700)	B. & Th., K. & K.
Shin-1995-1468-1116	1116	silent	(1500)	B. & Th.
Shin-1995-1468-1117	1117	silver	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1118	1118	similar	(700)	CL, K. & K.
Shin-1995-1468-1119	1119	sing	(200)	B. & Th., C. & S., CL, JHG, MS
Shin-1995-1468-1120	1120	sink	(1500)	CL
Shin-1995-1468-1121	1121	sister	(200)	B. & Th., JHG, K. & K., MS
Shin-1995-1468-1122	1122	sit	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-1123	1123	sit down	(1500)	CL
Shin-1995-1468-1124	1124	situated	(1500)	CL
Shin-1995-1468-1125	1125	six	(200)	B. & Th., JHG, K. & K., MS
Shin-1995-1468-1126	1126	sixteen	(700)	B. & Th., JHG
Shin-1995-1468-1127	1127	sixty	(700)	B. & Th., JHG
Shin-1995-1468-1128	1128	skimmer	(1500)	K. & K.
Shin-1995-1468-1129	1129	skin	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1130	1130	skin	(1500)	K. & K.
Shin-1995-1468-1131	1131	skull	(700)	B. & Th., JHG
Shin-1995-1468-1132	1132	sky	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1133	1133	slap	(1500)	CL
Shin-1995-1468-1134	1134	slaughter	(1500)	K. & K.
Shin-1995-1468-1135	1135	slave	(700)	B. & Th., JHG
Shin-1995-1468-1136	1136	sledge	(1500)	K. & K.
Shin-1995-1468-1137	1137	sledge-hammer	(1500)	K. & K.
Shin-1995-1468-1138	1138	sleep	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1139	1139	sleep	(400)	B. & Th., CL, JHG
Shin-1995-1468-1140	1140	sleeping sickness	(1500)	B. & Th.
Shin-1995-1468-1141	1141	sleeve	(1500)	K. & K.
Shin-1995-1468-1142	1142	slide	(1500)	CL
Shin-1995-1468-1143	1143	slim	(700)	B. & Th., CL
Shin-1995-1468-1144	1144	slip	(400)	B. & Th., CL, K. & K.
Shin-1995-1468-1145	1145	slippery	(1500)	B. & Th.
Shin-1995-1468-1146	1146	slow	(1500)	CL
Shin-1995-1468-1147	1147	slowly	(1500)	K. & K.
Shin-1995-1468-1148	1148	small	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-1149	1149	small strap	(1500)	K. & K.
Shin-1995-1468-1150	1150	smear	(700)	B. & Th., K. & K.
Shin-1995-1468-1151	1151	smell	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-1152	1152	smoke	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1153	1153	smooth	(700)	C. & S., MS
Shin-1995-1468-1154	1154	snake	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1155	1155	sneeze	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1156	1156	sniff	(1500)	CL
Shin-1995-1468-1157	1157	snivel	(1500)	K. & K.
Shin-1995-1468-1158	1158	snore	(1500)	B. & Th.
Shin-1995-1468-1159	1159	snow	(400)	C. & S., K. & K., MS
Shin-1995-1468-1160	1160	soar	(1500)	CL
Shin-1995-1468-1161	1161	sob	(1500)	K. & K.
Shin-1995-1468-1162	1162	soft	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1163	1163	some	(700)	C. & S., MS
Shin-1995-1468-1164	1164	son	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1165	1165	song	(1500)	K. & K.
Shin-1995-1468-1166	1166	son-in-law	(700)	B. & Th., JHG
Shin-1995-1468-1167	1167	sore	(700)	B. & Th., JHG
Shin-1995-1468-1168	1168	sort	(1500)	B. & Th.
Shin-1995-1468-1169	1169	soup	(700)	B. & Th., JHG
Shin-1995-1468-1170	1170	sour	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1171	1171	sour cream	(1500)	K. & K.
Shin-1995-1468-1172	1172	south	(700)	B. & Th., JHG
Shin-1995-1468-1173	1173	sow	(400)	B. & Th., CL, K. & K.
Shin-1995-1468-1174	1174	spade	(1500)	K. & K.
Shin-1995-1468-1175	1175	spark	(1500)	B. & Th.
Shin-1995-1468-1176	1176	speak	(400)	B. & Th., CL, MS
Shin-1995-1468-1177	1177	spear	(400)	B. & Th., JHG, MS
Shin-1995-1468-1178	1178	speech	(1500)	K. & K.
Shin-1995-1468-1179	1179	spell	(1500)	B. & Th.
Shin-1995-1468-1180	1180	sperm	(700)	B. & Th., K. & K.
Shin-1995-1468-1181	1181	spider	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1182	1182	spill	(1500)	CL
Shin-1995-1468-1183	1183	spin	(1500)	K. & K.
Shin-1995-1468-1184	1184	spindle	(1500)	K. & K.
Shin-1995-1468-1185	1185	spit	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-1186	1186	spleen	(1500)	K. & K.
Shin-1995-1468-1187	1187	split	(700)	C. & S., MS
Shin-1995-1468-1188	1188	spoiled	(1500)	B. & Th.
Shin-1995-1468-1189	1189	spoon	(1500)	K. & K.
Shin-1995-1468-1190	1190	spring	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1191	1191	spring	(1500)	CL
Shin-1995-1468-1192	1192	spring	(1500)	K. & K.
Shin-1995-1468-1193	1193	squat	(1500)	CL
Shin-1995-1468-1194	1194	squeak	(1500)	K. & K.
Shin-1995-1468-1195	1195	squeeze	(200)	B. & Th., C. & S., CL, K. & K., MS
Shin-1995-1468-1196	1196	squirrel	(700)	B. & Th., JHG
Shin-1995-1468-1197	1197	stab	(700)	C. & S., MS
Shin-1995-1468-1198	1198	stack	(1500)	K. & K.
Shin-1995-1468-1199	1199	stake	(1500)	K. & K.
Shin-1995-1468-1200	1200	stallion	(1500)	K. & K.
Shin-1995-1468-1201	1201	stand	(200)	C. & S., CL, K. & K., MS
Shin-1995-1468-1202	1202	stand up	(1500)	CL
Shin-1995-1468-1203	1203	star	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1204	1204	start	(700)	CL, K. & K.
Shin-1995-1468-1205	1205	stay	(700)	CL, K. & K.
Shin-1995-1468-1206	1206	steal	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1207	1207	stick	(1500)	CL
Shin-1995-1468-1208	1208	stick	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1209	1209	stick to	(1500)	K. & K.
Shin-1995-1468-1210	1210	still	(1500)	B. & Th.
Shin-1995-1468-1211	1211	stirrup	(1500)	K. & K.
Shin-1995-1468-1212	1212	stomach	(1500)	K. & K.
Shin-1995-1468-1213	1213	stone	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1214	1214	stone	(1500)	K. & K.
Shin-1995-1468-1215	1215	stone slab	(1500)	K. & K.
Shin-1995-1468-1216	1216	stone stairs	(1500)	K. & K.
Shin-1995-1468-1217	1217	stool	(1500)	K. & K.
Shin-1995-1468-1218	1218	stop	(700)	CL, K. & K.
Shin-1995-1468-1219	1219	stout	(1500)	K. & K.
Shin-1995-1468-1220	1220	straight	(400)	C. & S., K. & K., MS
Shin-1995-1468-1221	1221	straw	(1500)	K. & K.
Shin-1995-1468-1222	1222	strawberry	(1500)	K. & K.
Shin-1995-1468-1223	1223	stream	(1500)	B. & Th.
Shin-1995-1468-1224	1224	strew	(1500)	CL
Shin-1995-1468-1225	1225	strong	(400)	B. & Th., CL, JHG
Shin-1995-1468-1226	1226	stumble	(1500)	CL
Shin-1995-1468-1227	1227	stump	(1500)	K. & K.
Shin-1995-1468-1228	1228	succeed	(1500)	B. & Th.
Shin-1995-1468-1229	1229	such as	(1500)	CL
Shin-1995-1468-1230	1230	suck	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-1231	1231	suffer	(1500)	CL
Shin-1995-1468-1232	1232	suffice	(1500)	CL
Shin-1995-1468-1233	1233	sultry	(1500)	CL
Shin-1995-1468-1234	1234	summer	(1500)	K. & K.
Shin-1995-1468-1235	1235	sun	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1236	1236	sunny slope of mountain	(1500)	K. & K.
Shin-1995-1468-1237	1237	sunrise	(700)	B. & Th., JHG
Shin-1995-1468-1238	1238	sunset	(700)	B. & Th., JHG
Shin-1995-1468-1239	1239	supporting post	(1500)	K. & K.
Shin-1995-1468-1240	1240	surpass	(700)	B. & Th., JHG
Shin-1995-1468-1241	1241	surprise	(1500)	B. & Th.
Shin-1995-1468-1242	1242	surround	(700)	B. & Th., CL
Shin-1995-1468-1243	1243	swallow	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1244	1244	swallow	(1500)	CL
Shin-1995-1468-1245	1245	swallow	(1500)	K. & K.
Shin-1995-1468-1246	1246	sweat	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1247	1247	sweep	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1248	1248	sweet	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1249	1249	sweet banana	(1500)	B. & Th.
Shin-1995-1468-1250	1250	swell	(200)	B. & Th., C. & S., K. & K., MS
Shin-1995-1468-1251	1251	swim	(200)	B. & Th., C. & S., CL, MS
Shin-1995-1468-1252	1252	sword	(700)	B. & Th., JHG
Shin-1995-1468-1253	1253	taboo	(1500)	B. & Th.
Shin-1995-1468-1254	1254	tail	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1255	1255	take	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1256	1256	take away	(1500)	K. & K.
Shin-1995-1468-1257	1257	take off	(400)	B. & Th., CL, K. & K.
Shin-1995-1468-1258	1258	take off clothing	(1500)	K. & K.
Shin-1995-1468-1259	1259	take off trousers	(1500)	K. & K.
Shin-1995-1468-1260	1260	tale	(1500)	K. & K.
Shin-1995-1468-1261	1261	talk	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1262	1262	tall	(1500)	B. & Th.
Shin-1995-1468-1263	1263	tame	(1500)	CL
Shin-1995-1468-1264	1264	taro	(1500)	B. & Th.
Shin-1995-1468-1265	1265	taste	(400)	B. & Th., CL, JHG
Shin-1995-1468-1266	1266	teach	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1267	1267	tear	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1268	1268	tear	(1500)	K. & K.
Shin-1995-1468-1269	1269	tell	(200)	B. & Th., CL, JHG, K. & K.
Shin-1995-1468-1270	1270	ten	(200)	B. & Th., JHG, K. & K., MS
Shin-1995-1468-1271	1271	tendom	(1500)	B. & Th.
Shin-1995-1468-1272	1272	termite	(700)	B. & Th., JHG
Shin-1995-1468-1273	1273	testicles	(700)	B. & Th., JHG
Shin-1995-1468-1274	1274	tether	(1500)	K. & K.
Shin-1995-1468-1275	1275	that	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-1276	1276	thaw	(1500)	K. & K.
Shin-1995-1468-1277	1277	the young of a sheep	(1500)	K. & K.
Shin-1995-1468-1278	1278	there	(100)	B. & Th., C. & S., CL, JHG, K. & K., MS
Shin-1995-1468-1279	1279	they	(400)	B. & Th., C. & S., MS
Shin-1995-1468-1280	1280	thick	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1281	1281	thief	(700)	B. & Th., JHG
Shin-1995-1468-1282	1282	thigh	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1283	1283	thimble	(1500)	K. & K.
Shin-1995-1468-1284	1284	thin	(100)	B. & Th., C. & S., JHG, K. & K., MS
Shin-1995-1468-1285	1285	thing	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1286	1286	think	(200)	B. & Th., C. & S., CL, JHG, MS
Shin-1995-1468-1287	1287	thirst	(700)	B. & Th., JHG
Shin-1995-1468-1288	1288	thirsty	(1500)	CL
Shin-1995-1468-1289	1289	thirteen	(700)	B. & Th., JHG
Shin-1995-1468-1290	1290	thirty	(400)	B. & Th., JHG, K. & K.
Shin-1995-1468-1291	1291	this	(200)	B. & Th., C. & S., JHG, MS
Shin-1995-1468-1292	1292	thorn	(400)	B. & Th., JHG, K. & K.
