NUMBER	CHINESE	PAGENO	POS	SEMANTIC_FIELD	SF_IN_SOURCE	POS_IN_SOURCE	GLOSS	PINYIN
677	小心	339	verb	perceive, reflect	八、感受、思維	動詞	take care	xiǎo-xīn
678	想念	339	verb	perceive, reflect	八、感受、思維	動詞	miss, long for	xiǎng-niàn
679	忘記	340	verb	perceive, reflect	八、感受、思維	動詞	forget	wáng-jì
680	要	340	verb	perceive, reflect	八、感受、思維	動詞	want	yāo
681	不要	341	verb	perceive, reflect	八、感受、思維	動詞	refrain from, do not want	fǒu-yāo
682	應該	341	verb	desire, judge	九、願望、判斷	動詞	must	yīng-gāi
683	値得	342	verb	desire, judge	九、願望、判斷	動詞	be necessary	zhí-děi
684	是	342	verb	desire, judge	九、願望、判斷	動詞	be	shì
685	不是	343	verb	desire, judge	九、願望、判斷	動詞	be not	fǒu-shì
686	沒有(無)	343	verb	desire, judge	九、願望、判斷	動詞	lack, have not	mò-yǒu (-mó-)
687	接吻	344	verb	other	十、其他	動詞	kiss	jiē--
688	上墳	344	verb	other	十、其他	動詞	visit a grave	shàng-fèn
689	遺失	345	verb	other	十、其他	動詞	loose	wèi-shī
690	浪費	345	verb	other	十、其他	動詞	waste	láng-fèi
691	大	346	adjective	appearance, situation	一、形狀、情況	形容詞	big	dà
692	小	346	adjective	appearance, situation	一、形狀、情況	形容詞	small	xiǎo
693	高	347	adjective	appearance, situation	一、形狀、情況	形容詞	high	gāo
694	低	347	adjective	appearance, situation	一、形狀、情況	形容詞	low	dī
695	矮	348	adjective	appearance, situation	一、形狀、情況	形容詞	short	ǎi
696	長	348	adjective	appearance, situation	一、形狀、情況	形容詞	long	cháng
697	短	349	adjective	appearance, situation	一、形狀、情況	形容詞	short	duǎn
698	粗	349	adjective	appearance, situation	一、形狀、情況	形容詞	rough	cū
699	細	350	adjective	appearance, situation	一、形狀、情況	形容詞	fine	xì
700	寬	350	adjective	appearance, situation	一、形狀、情況	形容詞	broad	kuān
701	窄	351	adjective	appearance, situation	一、形狀、情況	形容詞	narrow	zhǎi
702	厚	351	adjective	appearance, situation	一、形狀、情況	形容詞	thick	hòu
703	薄	352	adjective	appearance, situation	一、形狀、情況	形容詞	thin	báo
704	深	352	adjective	appearance, situation	一、形狀、情況	形容詞	deep	shēn
705	淺	353	adjective	appearance, situation	一、形狀、情況	形容詞	shallow	jiān
706	空	353	adjective	appearance, situation	一、形狀、情況	形容詞	empty	kòng
707	滿	354	adjective	appearance, situation	一、形狀、情況	形容詞	full	mǎn
708	方	354	adjective	appearance, situation	一、形狀、情況	形容詞	angular, having the form of a square	fāng
709	圓	355	adjective	appearance, situation	一、形狀、情況	形容詞	circular, round	yuán
710	平	355	adjective	appearance, situation	一、形狀、情況	形容詞	flat	píng
711	正	356	adjective	appearance, situation	一、形狀、情況	形容詞	right	zhèng
712	反	356	adjective	appearance, situation	一、形狀、情況	形容詞	reverse, opposite	fǎn
713	歪	357	adjective	appearance, situation	一、形狀、情況	形容詞	slanted	wāi/huā
714	橫	357	adjective	appearance, situation	一、形狀、情況	形容詞	horizontal	héng
715	竪	358	adjective	appearance, situation	一、形狀、情況	形容詞	vertical	shù
716	直	358	adjective	appearance, situation	一、形狀、情況	形容詞	straight, erect	zhí
717	斜	359	adjective	appearance, situation	一、形狀、情況	形容詞	slanting, inclined	xié
718	陡	359	adjective	appearance, situation	一、形狀、情況	形容詞	steep	dǒu
719	彎	360	adjective	appearance, situation	一、形狀、情況	形容詞	bend	wān
720	亮	360	adjective	appearance, situation	一、形狀、情況	形容詞	bright	liàng
721	暗	361	adjective	appearance, situation	一、形狀、情況	形容詞	dark	àn
722	黑	361	adjective	appearance, situation	一、形狀、情況	形容詞	black	hēi
723	輕	362	adjective	appearance, situation	一、形狀、情況	形容詞	light (of weight)	qīng
724	重	362	adjective	appearance, situation	一、形狀、情況	形容詞	heavy	zhòng
725	幹	363	adjective	appearance, situation	一、形狀、情況	形容詞	dry	gàn
726	濕	363	adjective	appearance, situation	一、形狀、情況	形容詞	wet	shī
727	稠	364	adjective	appearance, situation	一、形狀、情況	形容詞	stiff (of eggs)	chóu
728	釅	364	adjective	appearance, situation	一、形狀、情況	形容詞	thick or strong (of tea)	yàn
729	稀	365	adjective	appearance, situation	一、形狀、情況	形容詞	rare, scarce	xī
730	硬	365	adjective	appearance, situation	一、形狀、情況	形容詞	hard, firm	yìng
731	軟	366	adjective	appearance, situation	一、形狀、情況	形容詞	soft, flexible	ruǎn
732	老(不嫩)	366	adjective	appearance, situation	一、形狀、情況	形容詞	old	lǎo (-fǒu-nèn-)
733	嫩	367	adjective	appearance, situation	一、形狀、情況	形容詞	young	nèn
734	脆	367	adjective	appearance, situation	一、形狀、情況	形容詞	fragile	cuì
735	結實	368	adjective	appearance, situation	一、形狀、情況	形容詞	robust	jié-shí
736	生(不熟)	368	adjective	appearance, situation	一、形狀、情況	形容詞	unripe	shēng (-fǒu-shóu-)
737	整齊	369	adjective	appearance, situation	一、形狀、情況	形容詞	tidy, neat	zhěng-jì
738	亂	369	adjective	appearance, situation	一、形狀、情況	形容詞	untidy, chaotic	luàn
739	破	370	adjective	appearance, situation	一、形狀、情況	形容詞	broken	pò
740	幹淨	370	adjective	appearance, situation	一、形狀、情況	形容詞	clean	gàn-jìng
741	骯髒	371	adjective	appearance, situation	一、形狀、情況	形容詞	dirty	hàng-zǎng
742	熱鬧	371	adjective	appearance, situation	一、形狀、情況	形容詞	crowdy	rè-nào
743	淸楚	372	adjective	appearance, situation	一、形狀、情況	形容詞	transparent, clear	qīng-chǔ
744	模糊	372	adjective	appearance, situation	一、形狀、情況	形容詞	blurred, intransparent	mú-hú
745	渾	373	adjective	appearance, situation	一、形狀、情況	形容詞	muddy	hùn
746	快(鋒利)	373	adjective	appearance, situation	一、形狀、情況	形容詞	sharp (knife)	kuài (-fēng-lì-)
747	快(迅速)	374	adjective	appearance, situation	一、形狀、情況	形容詞	quick, fast	kuài (-xìn-sù-)
748	早	374	adjective	appearance, situation	一、形狀、情況	形容詞	early	zǎo
749	晚	375	adjective	appearance, situation	一、形狀、情況	形容詞	late	wǎn
750	好	375	adjective	character	二、性質	形容詞	good	hào
751	壞	376	adjective	character	二、性質	形容詞	bad	guài
752	差	376	adjective	character	二、性質	形容詞	different, wrong	cī
753	難	377	adjective	character	二、性質	形容詞	difficult	nán
754	容易	377	adjective	character	二、性質	形容詞	easy	róng/yóng-yì
755	貴	378	adjective	character	二、性質	形容詞	expensive	guì
756	便宜	378	adjective	character	二、性質	形容詞	cheap	biàn-yí
757	熱	379	adjective	physiological perception	三、生理感覺	形容詞	hot	rè
758	冷	379	adjective	physiological perception	三、生理感覺	形容詞	cold	líng
759	燙	380	adjective	physiological perception	三、生理感覺	形容詞	hot (food), sharp (food)	tàng
760	曖和	380	adjective	physiological perception	三、生理感覺	形容詞	warm	ài-hè
761	溫	381	adjective	physiological perception	三、生理感覺	形容詞	lukewarm	wēn
762	涼	381	adjective	physiological perception	三、生理感覺	形容詞	cold, cool	liáng
763	香	382	adjective	physiological perception	三、生理感覺	形容詞	fragrant	xiāng
764	臭	382	adjective	physiological perception	三、生理感覺	形容詞	stinking	chòu
765	餿	383	adjective	physiological perception	三、生理感覺	形容詞	rotten, sour	sōu
766	鹹	383	adjective	physiological perception	三、生理感覺	形容詞	salty	xián
767	淡	384	adjective	physiological perception	三、生理感覺	形容詞	tasteless	yǎn
768	餓	384	adjective	physiological perception	三、生理感覺	形容詞	hungry	è
769	渴	385	adjective	physiological perception	三、生理感覺	形容詞	thirsty	kě
770	累	385	adjective	physiological perception	三、生理感覺	形容詞	tired	lèi
771	癢	386	adjective	physiological perception	三、生理感覺	形容詞	itchy	yǎng
772	舒服	386	adjective	physiological perception	三、生理感覺	形容詞	comfortable	shū-fú
773	忙	387	adjective	physiological perception	三、生理感覺	形容詞	busy	máng
774	閑	387	adjective	physiological perception	三、生理感覺	形容詞	idle	xián
775	胖	388	adjective	describing body appearance	四、形貌體態	形容詞	fat, obese	pàn
776	肥	388	adjective	describing body appearance	四、形貌體態	形容詞	fat, oily	féi
777	瘦	389	adjective	describing body appearance	四、形貌體態	形容詞	thin	shòu
778	老(不年輕)	389	adjective	describing body appearance	四、形貌體態	形容詞	old, aged	lǎo (-fǒu-nián-qīng-)
779	年輕	390	adjective	describing body appearance	四、形貌體態	形容詞	young	nián-qīng
780	好看、漂亮	390	adjective	describing body appearance	四、形貌體態	形容詞	goodlooking, beautiful	hào-kàn-、-piāo-liàng
781	難看、醜	391	adjective	describing body appearance	四、形貌體態	形容詞	ugly	nán-kàn-、-chǒu
782	強壯	391	adjective	describing body appearance	四、形貌體態	形容詞	strong	qiáng-zhuàng
783	傻	392	adjective	behavior	五、品性、行為	形容詞	stupid	shuà
784	老實	392	adjective	behavior	五、品性、行為	形容詞	honest	lǎo-shí
785	狡猾	393	adjective	behavior	五、品性、行為	形容詞	cunning	jiǎo-huá
786	直爽	393	adjective	behavior	五、品性、行為	形容詞	honest, frank	zhí-shuǎng
787	大方	394	adjective	behavior	五、品性、行為	形容詞	generous	dà-fāng
788	小氣	394	adjective	behavior	五、品性、行為	形容詞	cheap, stingy	xiǎo-qì
789	驕傲	395	adjective	behavior	五、品性、行為	形容詞	proud	jiāo-ào
790	謙虛	395	adjective	behavior	五、品性、行為	形容詞	modest	qiān-xū
791	乖	396	adjective	behavior	五、品性、行為	形容詞	well-behaved	guāi
792	頑皮	396	adjective	behavior	五、品性、行為	形容詞	naughty	wán-pí
793	勤快	397	adjective	behavior	五、品性、行為	形容詞	diligent	qín-kuài
794	懶	397	adjective	behavior	五、品性、行為	形容詞	lazy	lǎn
795	能幹	398	adjective	behavior	五、品性、行為	形容詞	capable	nái-gàn
796	內行	398	adjective	behavior	五、品性、行為	形容詞	competent	nèi-hàng
797	外行	399	adjective	behavior	五、品性、行為	形容詞	incompetent	wài-hàng
798	髙興	399	adjective	mood	六、心理感受	形容詞	happy	gāo-xīng
799	合意	400	adjective	mood	六、心理感受	形容詞	suitable, pleasing	hé-yì
800	煩惱	400	adjective	mood	六、心理感受	形容詞	annoying	fán-nǎo
801	可憐	401	adjective	mood	六、心理感受	形容詞	pityful	kě-lián
802	倒黴	401	adjective	mood	六、心理感受	形容詞	having bad luck	dào-méi
803	奇怪	402	adjective	mood	六、心理感受	形容詞	strange	jī-guài
804	害怕	402	adjective	mood	六、心理感受	形容詞	scary	hài-bó
805	害羞	403	adjective	mood	六、心理感受	形容詞	shy	hài-xiū
806	我	403	pronoun	personal	一、人稱代詞	代詞	I (first person singular)	wǒ
807	你	404	pronoun	personal	一、人稱代詞	代詞	you (second person singular)	nǐ
808	他	404	pronoun	personal	一、人稱代詞	代詞	he, she, it (third person singular)	tā/tuō
809	我們	405	pronoun	personal	一、人稱代詞	代詞	we (first person plural)	wǒ-men
810	咱們	405	pronoun	personal	一、人稱代詞	代詞	we (first person plural inclusive)	zá-men
811	你們	406	pronoun	personal	一、人稱代詞	代詞	you (second person plural)	nǐ-men
812	他們	406	pronoun	personal	一、人稱代詞	代詞	they (third person plural)	tā-men
813	大家	407	pronoun	personal	一、人稱代詞	代詞	all, everybody	dà-jiā
814	自己	407	pronoun	personal	一、人稱代詞	代詞	self, oneself	zì-jǐ
815	人家	408	pronoun	personal	一、人稱代詞	代詞	they, the others (third person plural)	rén-jiā
816	我的	408	pronoun	possessive	二、物主代詞	代詞	my (first person singular)	wǒ-dì
817	你的	409	pronoun	possessive	二、物主代詞	代詞	your (second person singular)	nǐ-dì
818	他的	409	pronoun	possessive	二、物主代詞	代詞	his, her, its (third person singular)	tā/tuō-dì
819	別的	410	pronoun	possessive	二、物主代詞	代詞	others, of the others	bié-dì
820	這個	410	pronoun	demonstrative	三、指示代詞	代詞	this	yàn-gè
821	那個	411	pronoun	demonstrative	三、指示代詞	代詞	that	nuó-gè
822	這些	411	pronoun	demonstrative	三、指示代詞	代詞	these	yàn-suò
823	那些	412	pronoun	demonstrative	三、指示代詞	代詞	those	nuó-suò
824	這兒	412	pronoun	demonstrative	三、指示代詞	代詞	here	yàn-ní
825	那兒	413	pronoun	demonstrative	三、指示代詞	代詞	there	nuó-ní
826	這邊	413	pronoun	demonstrative	三、指示代詞	代詞	this side, here	yàn-biān
827	那邊	414	pronoun	demonstrative	三、指示代詞	代詞	that side, there	nuó-biān
828	這麽	414	pronoun	demonstrative	三、指示代詞	代詞	this way	yàn-mǒ
829	那麽	415	pronoun	demonstrative	三、指示代詞	代詞	that way	nuó-mǒ
830	誰	415	pronoun	interrogative	四、疑問代詞	代詞	who	shuí
831	什麽	416	pronoun	interrogative	四、疑問代詞	代詞	what	shí-mǒ
832	哪個	416	pronoun	interrogative	四、疑問代詞	代詞	which	nǎ-ge
833	哪兒	417	pronoun	interrogative	四、疑問代詞	代詞	where	nǎ-er
834	哪邊	417	pronoun	interrogative	四、疑問代詞	代詞	which place, where	nǎ-biān
835	怎麽	418	pronoun	interrogative	四、疑問代詞	代詞	how	zěn-me
836	多麽	418	pronoun	interrogative	四、疑問代詞	代詞	how much, to which degree	duō-mǒ
837	多少	419	pronoun	interrogative	四、疑問代詞	代詞	how much	duō-shào
838	多久	419	pronoun	interrogative	四、疑問代詞	代詞	how long	duō-jiǔ
839	一個人	420	classifier	nominal	一、物量詞	量詞	piece (classifier for persons)	yī-gè-rén
840	一頭牛	420	classifier	nominal	一、物量詞	量詞	head (classifier for cows)	yī-tóu-niú
841	一只雞	421	classifier	nominal	一、物量詞	量詞	piece (classifier for chickens)	yī-zhī-jī
842	一條魚	421	classifier	nominal	一、物量詞	量詞	piece (classifier for fishes)	yī-tiáo-yú
843	一棵樹	422	classifier	nominal	一、物量詞	量詞	piece (classifier for trees)	yī-huàn-shù
844	一叢草	422	classifier	nominal	一、物量詞	量詞	bush (classifier for grass)	yī-cóng-cǎo
845	一朵花兒	423	classifier	nominal	一、物量詞	量詞	bud (classifier for flower)	yī-duǒ-huā-ní
846	一串葡萄	423	classifier	nominal	一、物量詞	量詞	chain (classifier for grapes)	yī-chuàn-pú-táo
847	一頓飯	424	classifier	nominal	一、物量詞	量詞	portion (classifier for food)	yī-dùn-fàn
848	一支煙	424	classifier	nominal	一、物量詞	量詞	piece (classifier for cigarettes)	yī-zhī-yān
849	一瓶酒	425	classifier	nominal	一、物量詞	量詞	bottle (classifier for alcohol)	yī-píng-jiǔ
850	一口水	425	classifier	nominal	一、物量詞	量詞	mouth (classifier for water)	yī-kǒu-shuǐ
851	一套衣服	426	classifier	nominal	一、物量詞	量詞	piece (classifier for clothes)	yī-tào-yī-fú
852	一雙鞋	426	classifier	nominal	一、物量詞	量詞	pair (classifier for shoes)	yī-shuāng-xié
853	一條被子	427	classifier	nominal	一、物量詞	量詞	piece (classifier for blankets)	yī-tiáo-bì-zǐ
854	一頂帳子	427	classifier	nominal	一、物量詞	量詞	piece (classifier for heats)	yī-dǐng-zhàng-zǐ
855	一把刀	428	classifier	nominal	一、物量詞	量詞	handle (classifier for knives)	yī-bǎ-dāo
856	一根針	428	classifier	nominal	一、物量詞	量詞	piece (classifier for needles)	yī-gēn-zhēn
857	一座房子	429	classifier	nominal	一、物量詞	量詞	piece (classifier for houses)	yī-zuò-páng-zǐ
858	一座橋	429	classifier	nominal	一、物量詞	量詞	piece (classifier for bridges)	yī-zuò-qiáo
859	一扇門	430	classifier	nominal	一、物量詞	量詞	fan (classifier for doors)	yī-shàn-mén
860	一輛車	430	classifier	nominal	一、物量詞	量詞	piece (classifier for cars)	yī-liàng-chē
861	一只船	431	classifier	nominal	一、物量詞	量詞	piece (classifier for ship)	yī-zhī-chuán
862	一件事情	431	classifier	nominal	一、物量詞	量詞	piece (classifier for thing)	yī-jiàn-zì-qíng
863	一筆生意	432	classifier	nominal	一、物量詞	量詞	pencil (classifier for business deals)	yī-bǐ-shēng-yì
864	逼(看一遍)	432	classifier	verbal	二、動量詞	量詞	time (look one time)	bī (-kàn-yī-biàn-)
865	次(這一次)	433	classifier	verbal	二、動量詞	量詞	time (this time)	cì (-yàn-yī-cì-)
866	趟(走一趟)	433	classifier	verbal	二、動量詞	量詞	walk (walk a walk)	zhèng (-zòu-yī-zhèng-)
867	頓(打一頓)	434	classifier	verbal	二、動量詞	量詞	time (beat one time)	dùn (-dǐng-yī-dùn-)
868	下(打一下)	434	classifier	verbal	二、動量詞	量詞	a little bit (beat a little)	xià (-dǐng-yī-xià-)
869	從前	435	adverb			副詞	formerly	cōng-qián
870	剛才	435	adverb			副詞	just a short while ago	gāng-cái
871	現在	436	adverb			副詞	now	xiàn-zài
872	一向	437	adverb			副詞	all along	yī-shàng
873	預先	437	adverb			副詞	in advance	yù-xiān
874	巳經	438	adverb			副詞	already	sì-jīng
875	常常	438	adverb			副詞	often	cháng-cháng
876	趕快	439	adverb			副詞	fast, quick	gǎn-kuài
877	馬上	439	adverb			副詞	immediately	mǎ-shàng
878	很	440	adverb			副詞	very	hěn
879	更	440	adverb			副詞	more	gèng
880	最	441	adverb			副詞	most	zuì
881	太	441	adverb			副詞	too	tài
882	稍微	442	adverb			副詞	a little	shāo/shào-wēi/wéi
883	恰巧	442	adverb			副詞	by chance	qià-qiào
884	都	443	adverb			副詞	all	dū
885	統統	443	adverb			副詞	completely	tǒng-tǒng
886	一起	444	adverb			副詞	together	yī-qǐ
887	又	444	adverb			副詞	again	yòu
888	再	445	adverb			副詞	again	zài
889	仍舊	445	adverb			副詞	still	réng-jiù
890	反正	446	adverb			副詞	anyhow	fǎn-zhèng
891	大約	446	adverb			副詞	probably	dà-yuē
892	一定	447	adverb			副詞	certainly	yī-dìng
893	不	447	adverb			副詞	not	fǒu
894	沒〔有〕(未)	448	adverb			副 詞	not	mò-〔-yǒu-〕 (-wèi-)
895	別	448	adverb			副詞	other	bié
896	不用	449	adverb			副詞	need not	fǒu-yòng
897	把	449	preposition			介詞、連詞	regard as, with	bǎ
898	被	450	preposition			介詞、連詞	by	bì
899	替	450	preposition			介詞、連詞	instead of	tì
900	在	451	preposition			介詞、連詞	in	zài
901	從	451	preposition			介詞、連詞	from	cōng
902	到	452	preposition			介詞、連詞	until	dào
903	向	452	preposition			介詞、連詞	towards	shàng
904	和	453	preposition			介詞、連詞	and	hè
905	如果	453	preposition			介詞、連詞	if	rú-guǒ
